,list_length,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity
0,20,0,1434.0840862617379,0.8660033042903407,0.0028884387456012076,0.6007438053847904,0.002793014413998298,0.9999999999999998,0.0915100560228466,74.31907782713913,63.51542828398715,0.011631415812962849,0.3922046463795873,0.7885247911180441
1,20,1,1399.2057255363961,0.7544000979863007,0.14630466602749234,0.6884680150907929,0.12987067288220505,0.9999999999999998,0.13345323422556057,7.38183761649054,52.533223005627775,0.016196022978144056,0.4068721615592175,2.3578058628631124
2,20,2,1148.3201517873301,0.4395109525322328,2.220446049250313e-16,0.8052770860537114,0.25683810786504824,2.220446049250313e-16,0.22832730506420088,1.4159854266631087,87.22732346568834,0.014905344982074163,0.5139758394677199,7.454351196090701
3,20,3,1410.965130419842,0.44620358637758756,0.24757408034090958,0.9915176976182998,0.008972022389325065,0.9999999999999998,0.10746955938804534,3.295301553990022,83.89631701364145,0.010432838874682483,0.5021684688465108,1.684910794955069
4,20,4,1236.7665670923961,0.7959727653573315,2.220446049250313e-16,0.9958348493002479,0.00038559118437817713,2.220446049250313e-16,0.040027607823353135,100.0,59.63551864041723,0.016242513212755178,0.40685590375884045,0.6693110966401616
5,20,5,1514.3744394814616,0.4722528883695514,2.220446049250313e-16,0.8626927145681057,0.2885003852498345,0.9999999999999998,0.16262734354682223,3.977744182127943,46.985693989236566,0.01151675311120692,0.4009033256346011,6.066970822128592
6,20,6,1126.1049720951064,0.5939582789438984,0.4485088673534595,0.48496420160636794,0.3675777947657758,0.4664035487980877,0.17083188863116014,1.2168027360452727,49.65023606653887,0.0356593928360818,0.38478200972252385,7.223617512850086
7,20,7,1112.3252643836188,0.5370773209587187,2.220446049250313e-16,0.9036623895071249,0.32532658758450006,0.9999999999999998,0.15911281528571858,4.981740012167357,84.02580695931694,0.015801104574812447,0.507001839305224,6.162567839207216
8,20,8,1790.0204717492918,0.5129870815026112,2.220446049250313e-16,0.9999984261117574,0.026193739281312852,0.9999999999999998,0.1530204192180098,5.720941423148508,11.295690222693171,0.00924713532798761,0.3295216282123354,1.894456669819865
9,20,9,1608.5038726202545,0.8022480741704803,2.220446049250313e-16,0.9975501731590198,0.00017789424613041843,2.220446049250313e-16,0.031248179188925168,100.0,89.18829178419881,0.01317350441019612,0.3274979365682359,0.5348687152595428
