,condition,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity
0,control,18795.37209144634,0.7332544335574166,0.5509048330254784,0.9281445690045631,0.3445812781132998,2.220446049250313e-16,0.9348710008566689,0.7266198889340246,0.9301501090954397,0.02361711260492397,0.0912303753280079,5.02686763638937
1,massed,11599.828816640997,0.8677353408999425,0.701976173815776,0.9245630319800415,0.9999999999999998,2.220446049250313e-16,0.9999999999999998,1.5742346168571868,81.3698367151051,0.010622135805563895,0.20877500061349522,6.619073797452497
2,spaced,12384.60163440849,0.762635046062454,0.7854478168618851,0.9027295438403896,0.9790431620020869,0.7792533348641454,0.3412637067995234,1.4985943511867916,0.31118341213050854,0.008010118868333388,0.21926099069542873,6.189137902255498
3,mixed,17287.452536475947,0.8449157723045985,0.6127844319374002,0.9731636872106716,0.04512130274064019,2.220446049250313e-16,0.4894766334942865,2.022636010471103,20.485787094718056,0.021394139738085478,0.10682538351103195,1.2686065087045597
