,condition,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,familiarity_scale1,familiarity_scale2
0,control,0,691.5123707225769,0.7265997617813263,0.8217983866184779,0.9677042188371584,0.06875038346402751,0.218047317398275,0.4901911573327114,0.5291112212520125,83.6103648522697,9.062800585266206e-05,0.3663981895014338,2.2976745425958147,0.7208949454779607,0.8065912483407093
1,control,1,409.7248559315939,0.728759133160371,0.2247311506163502,0.951892808352863,0.09846446519466785,2.220446049250313e-16,0.7695864053823362,3.208197591719062,0.45162586244058955,0.011050571808604649,0.26647848790468237,2.156136886828663,0.5829265768164948,0.04290095574611097
2,control,2,682.8007555083032,0.868824066607116,0.0017436134547258177,0.9391686819773514,0.005120306613427597,0.0020326314113115807,0.4723261704109248,100.0,1.4178578639294386,0.0074341909974273805,0.12750053401148967,0.7132023675623811,0.9059902183797114,0.12301324815283726
3,control,3,280.2760962030008,0.9286057764995809,0.006041358034641756,0.9982210149456371,0.0014277853548357129,2.220446049250313e-16,0.5027335325922208,100.0,3.394821539274801,0.08006981538596136,0.08517345125030479,0.4747251626258254,0.9722318372165024,0.015539937966535189
4,control,4,665.202433381682,0.49163408134157294,0.9999999999999998,0.8771632252274237,0.03740761983782203,0.999982491382711,0.06482275070771205,0.03880073514348006,40.35681961211853,0.0027083296099899156,0.20799024977306915,5.2544647552210995,0.10643747550716046,0.9981571890297354
5,control,5,636.3174610659977,0.7246057653139117,2.220446049250313e-16,0.9665872219374431,0.2939624140248752,2.220446049250313e-16,0.9781074398989148,0.8625367338671318,20.234101173552443,0.0021998192015142007,0.2383710969205364,4.481067333128267,0.9943608552088737,0.32039447684549605
6,control,6,321.7028844265304,0.9662450848637896,0.49993084206345667,0.9993505741079852,0.0003548811355264586,0.3313323324672178,0.4637527114947003,24.929284842004243,3.2511464760462463,0.05494417413560052,0.11078257009511876,0.4190386466707295,0.8171880329113288,0.6369908394891646
7,control,7,599.0935357228369,0.9382571953654462,0.8985106120317362,0.9700417704859721,1.0099799820556876e-06,2.220446049250313e-16,0.3494036751835139,2.3019296931713407,31.357863577050406,0.019307818577489925,0.10397921214357911,0.6442559786655909,0.0001762771257487685,0.7261766209448882
8,control,8,467.9340684287602,0.744649754559199,0.12539393881305738,0.9540252739258677,0.08544201015164146,2.220446049250313e-16,0.6435356815336867,2.976751243732821,73.8130295624283,0.04121147109781698,0.03518610685786329,2.574863349621776,0.9908762365153302,0.30569309281080026
9,control,9,849.3102007491508,0.4938011429251591,0.47304467869403155,0.9434200752025239,0.6027930527798738,0.8441799911454924,0.4379434163320314,1.878540633717909,30.719950276392698,2.66736185182357e-05,0.4404476991412772,4.57327113282614,0.9427697006637378,0.6504241227567849
10,control,10,684.7375118119515,0.7397186506697228,0.683191832518068,0.9486100840868987,0.23562290276548642,2.220446049250313e-16,0.9999999999999998,0.6787138309882478,72.2727025165078,0.00018535557239523644,0.22538449699072732,6.0844458250277285,0.9430864692571634,0.3120029502819496
11,control,11,757.4555943214209,0.9543758151139723,0.9999196160389544,0.9952532187618439,0.0008182779706482511,2.220446049250313e-16,0.28671974226354563,7.910524995456139,51.00353734813261,0.0022036148803188382,0.20832743907007423,0.33953888362450435,0.8414107736762766,0.8247200218405195
12,control,12,893.9519995050259,0.7571832837711094,2.220446049250313e-16,0.9614419093908636,0.2378462317993465,2.220446049250313e-16,0.9999999999999998,0.7440713309406449,86.52302740042785,0.0005305490744726006,0.23857992190688504,3.3253192870428347,0.6769572834864129,0.8851658107714331
13,control,13,477.6120903346307,0.7006291106016056,0.2306513731259618,0.9822944706982496,0.5557516087369376,2.220446049250313e-16,0.7455337836977193,2.9818749016422723,56.73829337769377,0.0039027484633390925,0.23597703736242115,8.42733887340354,0.9979073353500121,0.057271599734676215
14,control,14,575.8264446406105,0.6531253138568631,0.42645342883631143,0.9575858256961451,0.668938510525492,0.5503834360910418,0.9999999999999998,2.5021249712593208,0.7529002157986929,0.005549601019753705,0.22832534601410595,4.5526085046014835,0.8697159770118894,0.4674203429023367
15,control,15,542.4445327533119,0.770646299675952,0.6816211985073074,0.9570504326204888,0.23725220321921903,0.0007604852799790429,0.9999999999999998,0.5714826138118493,30.095551723985402,0.0012354817191764882,0.29500241095279517,5.9292113933831665,0.6817288120001207,0.9110770431557367
16,control,16,554.7894531920066,0.7047177080892257,0.9116931185923596,0.9441761843048734,0.47650145444398445,0.10305566532596867,0.9999999999999998,0.12369266684224567,90.63558324348469,0.0021307849825572033,0.2585164689878331,7.667147863629003,0.8838249314318178,0.6018067379385498
17,control,17,529.6608386204516,0.7902425177067861,0.974345410206705,0.975299137308625,0.1103456893304098,0.014720780962822434,0.9999999999999998,2.220446049250313e-16,87.66395242330427,0.0076759176817837805,0.1600169793931094,2.7998838274400333,0.9569807976989928,0.5536178289189707
18,control,18,367.0194689634478,0.7744078236022235,0.8977247255394244,0.9999999999999998,0.7093970248921156,0.2040273201982922,0.8494334092748814,1.5984935553922934,18.84406158700787,0.025053425926636338,0.21296737830955276,4.442807750209799,0.8177303507003522,0.9776152197689327
19,control,19,557.5020250191424,0.4182448465021167,0.23734026102962016,0.6975901054022441,0.32432098916496493,2.220446049250313e-16,0.385964655392719,5.252606102809608,1.1006635543784324,0.012351857028332608,0.16345210108357086,5.111234548511058,0.9996900497454837,0.4784593902402682
20,control,20,383.2315723327999,0.8698012297988617,0.23240960801683533,0.9990045520340258,0.04473607104647669,2.220446049250313e-16,0.8979737769656976,4.750618547286542,87.609952081973,0.036089865272870315,0.1374419828921501,1.1664512282492638,0.8982644173907969,0.3272093185799223
21,control,21,355.2422665678027,0.9094979927601554,0.9513152035022215,0.9999999999999998,0.055551800556329446,0.5151297708806079,0.47033798610068966,0.6696276813087588,46.522155621547654,0.01770440974230605,0.27690008558994494,1.54652730251402,0.42725522630059354,0.798124985440401
22,control,22,415.62982947118087,0.6561516944952158,0.10419985432323513,0.5285869184562815,0.5170466253286865,2.220446049250313e-16,0.1476283188304155,6.0038536190958105,28.29739867402906,0.025820398735925267,0.17966871727104344,10.0,0.6642441008424413,0.2859781654804783
23,control,23,596.9966171426004,0.9941281538649066,0.9979646098362513,0.9947759964921734,6.591086073077075e-05,2.220446049250313e-16,0.44813926284862987,0.08105432718124086,46.58151730217293,0.0024864931576599105,0.24782305432682447,0.39308779210228506,0.956540943143844,0.0837498476407405
24,control,24,352.7074623556982,0.765032783081257,0.005671951015533392,0.9295672063427254,2.220446049250313e-16,2.820181218386906e-07,0.3460305796252146,2.220446049250313e-16,70.11587243771615,0.01062172763356448,0.3496020399592047,0.4173435215096729,0.9999999999999998,0.5636746246407753
25,control,25,296.0783755012284,0.9469179811859675,0.969316449931084,0.8905386701965504,0.004340111715308916,0.8178394829926815,0.9999999999999998,1.0306883733175385,61.67318460937118,0.022904919515740325,0.30496334764666505,0.6771835651122052,0.25876394816238507,0.789145352182902
26,control,26,468.02704717863963,0.6405240034473008,0.3407326653226911,0.8893806110499207,0.3860847013025253,2.220446049250313e-16,0.9999999999999998,1.4846178829056207,25.913190738865733,0.005557193784137792,0.2308362883489135,10.0,0.7509489127497875,0.7544468801988804
27,control,27,372.01248108387466,0.6998863697238694,0.3185229924185208,0.9975630309647043,0.4009901902256434,0.6789460360327142,0.2944440094002821,2.4441104205951354,42.98097808676785,0.0028661234924879774,0.5322513809308818,5.10914223559153,0.44093223323319286,0.4332038468299706
28,control,28,425.2811977150478,0.9760595367930028,2.220446049250313e-16,0.989295841561372,0.0009611055488165482,0.7388398445586675,0.29543254747002234,6.647840831626558,20.44482460087231,0.03199495084440712,0.12367856846647753,0.46844230285082566,0.9824011091391519,0.9858518666079156
29,control,29,632.1862440551229,0.7337548130739374,0.49739462658316874,0.8444907841621909,0.46439671766740004,0.2704163133772665,0.9999999999999998,0.6394881174193489,0.19028179765595235,0.0031164093208985093,0.2129827372848041,6.9244759392074835,0.9927854436601457,0.7498457021619259
30,control,30,453.59481493471213,0.6385234770898165,0.6344807451848519,0.9727462764158176,0.44329956620064276,2.220446049250313e-16,0.9999999999999998,0.8429067598854795,66.02805541333889,0.01693009114950221,0.19492556240322373,4.388730270175609,0.9125317191248584,0.09345537845504931
31,control,31,499.67706046605065,0.717047390600614,0.41630576337298586,0.9339694833523695,0.06868879650667035,2.220446049250313e-16,0.6643537497661265,3.0093367018038375,0.5780065622192524,0.004853528120600694,0.16911459659600356,2.7639200867225253,0.8393572132501155,0.1600463041748944
32,control,32,624.7184183355273,0.7837121534161398,0.7683242306613697,0.9618366142028286,0.219184029388348,0.08786103270471937,0.9999999999999998,0.22635459830736948,39.65091788755749,0.002188236438391448,0.22234281708236972,5.454310393630824,0.639657024209472,0.37777488411292365
33,control,33,476.1863544193608,0.7026490131776221,0.8430133832344611,0.7207370654407157,0.1602956393556506,2.220446049250313e-16,0.9042971557269227,2.220446049250313e-16,53.4981012385879,0.014826993712836124,0.17933710468220107,3.0305581293609514,0.99752378524282,0.1405849568598655
