subject,list,item,input,output,study,recall,repeat,intrusion,category,list_type,item_string,item_string_index
1,3,21.0,22.0,20.0,True,True,0,False,obj,light,shovel,76
1,3,22.0,23.0,21.0,True,True,0,False,obj,light,flower,77
1,3,23.0,24.0,19.0,True,True,0,False,obj,light,bed,78
1,3,24.0,25.0,18.0,True,True,0,False,cel,light,Ricky Martin,79
1,3,25.0,26.0,1.0,True,True,0,False,cel,light,Lisa Kudrow,80
1,3,26.0,27.0,2.0,True,True,0,False,cel,light,Keira Knightley,81
1,4,0.0,1.0,,True,False,0,False,cel,heavy,Kate Winslet,82
1,4,1.0,2.0,9.0,True,True,0,False,cel,heavy,Britney Spears,83
1,4,2.0,3.0,3.0,True,True,0,False,cel,heavy,Elton John,84
1,4,3.0,4.0,4.0,True,True,0,False,obj,heavy,bottle,85
1,4,4.0,5.0,,True,False,0,False,obj,heavy,calculator,86
1,4,5.0,6.0,,True,False,0,False,obj,heavy,satellite dish,87
1,4,6.0,7.0,,True,False,0,False,loc,heavy,Monte Carlo,88
1,4,7.0,8.0,,True,False,0,False,loc,heavy,Niagara Falls,89
1,4,8.0,9.0,,True,False,0,False,loc,heavy,Sydney Opera House,90
1,4,9.0,10.0,,True,False,0,False,cel,heavy,Anne Hathaway,91
1,4,10.0,11.0,,True,False,0,False,cel,heavy,Amy Poehler,92
1,4,11.0,12.0,5.0,True,True,0,False,cel,heavy,Beyonce Knowles,93
1,4,12.0,13.0,,True,False,0,False,loc,heavy,Space Needle,94
1,4,13.0,14.0,7.0,True,True,0,False,loc,heavy,Petronas Towers,95
1,4,14.0,15.0,,True,False,0,False,loc,heavy,Hungarian Parliament,96
1,4,15.0,16.0,,True,False,0,False,obj,heavy,ladder,97
1,4,16.0,17.0,,True,False,0,False,obj,heavy,speaker,98
1,4,17.0,18.0,,True,False,0,False,obj,heavy,hurdle,99
1,4,18.0,19.0,,True,False,0,False,loc,heavy,Hoover Dam,100
1,4,19.0,20.0,8.0,True,True,0,False,loc,heavy,Carnegie Hall,101
1,4,20.0,21.0,,True,False,0,False,loc,heavy,Roman Forum,102
1,4,21.0,22.0,6.0,True,True,0,False,cel,heavy,Jay-Z,103
1,4,22.0,23.0,,True,False,0,False,cel,heavy,Steven Spielberg,104
1,4,23.0,24.0,2.0,True,True,0,False,cel,heavy,Ian McKellan,105
1,4,24.0,25.0,,True,False,0,False,obj,heavy,box,106
1,4,25.0,26.0,,True,False,0,False,obj,heavy,thermometer,107
1,4,26.0,27.0,1.0,True,True,0,False,obj,heavy,towel,108
1,5,0.0,1.0,2.0,True,True,0,False,cel,light,Jonah Hill,109
1,5,1.0,2.0,3.0,True,True,0,False,cel,light,Oprah Winfrey,110
1,5,2.0,3.0,4.0,True,True,0,False,cel,light,Sofia Vergara,111
1,5,3.0,4.0,6.0,True,True,0,False,obj,light,bell,112
1,5,4.0,5.0,5.0,True,True,0,False,obj,light,mascara,113
1,5,5.0,6.0,7.0,True,True,0,False,obj,light,brick,114
1,5,6.0,7.0,9.0,True,True,0,False,loc,light,Ayers Rock,115
1,5,7.0,8.0,8.0,True,True,0,False,loc,light,Bunker Hill,116
1,5,8.0,9.0,10.0,True,True,0,False,loc,light,Globe Theater,117
1,5,9.0,10.0,12.0,True,True,0,False,obj,light,tripod,118
1,5,10.0,11.0,11.0,True,True,0,False,obj,light,tire,119
1,5,11.0,12.0,13.0,True,True,0,False,obj,light,purse,120
1,5,12.0,13.0,14.0,True,True,0,False,cel,light,Eminem,121
1,5,13.0,14.0,15.0,True,True,0,False,cel,light,Jim Carrey,122
1,5,14.0,15.0,17.0,True,True,0,False,cel,light,Jessica Simpson,123
1,5,15.0,16.0,16.0,True,True,0,False,loc,light,Coney Island,124
1,5,16.0,17.0,18.0,True,True,0,False,loc,light,Monticello,125
1,5,17.0,18.0,19.0,True,True,0,False,loc,light,Tower of Pisa,126
1,5,18.0,19.0,21.0,True,True,0,False,cel,light,Jackie Chan,127
1,5,19.0,20.0,20.0,True,True,0,False,cel,light,Bruce Willis,128
1,5,20.0,21.0,1.0,True,True,0,False,cel,light,Christian Bale,129
1,5,20.0,21.0,22.0,False,True,1,False,cel,light,Christian Bale,129
1,5,21.0,22.0,26.0,True,True,0,False,loc,light,Stonehenge,130
1,5,22.0,23.0,23.0,True,True,0,False,loc,light,Alamo,131
1,5,23.0,24.0,24.0,True,True,0,False,loc,light,Oxford,132
1,5,24.0,25.0,25.0,True,True,0,False,obj,light,shirt,133
1,5,25.0,26.0,27.0,True,True,0,False,obj,light,anchor,134
1,5,26.0,27.0,28.0,True,True,0,False,obj,light,candle,135
1,6,0.0,1.0,,True,False,0,False,loc,heavy,Great Wall of China,136
1,6,1.0,2.0,,True,False,0,False,loc,heavy,North Pole,137
1,6,2.0,3.0,,True,False,0,False,loc,heavy,Giza Pyramids,138
1,6,3.0,4.0,,True,False,0,False,obj,heavy,football,139
1,6,4.0,5.0,,True,False,0,False,obj,heavy,brush,140
1,6,5.0,6.0,,True,False,0,False,obj,heavy,helmet,141
