subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,309.36569977080217,free_1_item_support_Semantic_CMR,0.7342333449869304,0.22600068990888883,0.3992302946729733,0.8118648802110887,0.4418023473978113,0.16891198426327464,0.1570007318350965,0.7697090645047008,1.496947507984956,76.81807774087204,0.02715234278910955,0.08318680062193273,8.99491143245269,0.5894391309591203,0.1406377566333772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.36708992029446,free_1_item_support_Semantic_CMR,0.7067477501335799,0.04316011259907171,0.28397880669266706,0.4448651840595462,0.7258859344623003,0.5251865859429778,0.10744334404028094,0.6375948434972898,19.100880414168774,39.78036006187311,0.006935277851179145,0.24304738325646902,4.027089829476167,0.06587185482433633,2.0458224937980356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,329.3102814966944,free_1_item_support_Semantic_CMR,0.19986465977727638,0.2610678461912737,0.1509042652104505,0.6854000392642795,0.33837567609662145,0.2711722194634852,0.46317925905103063,0.2840985926818361,0.6627977758510601,44.138271326714644,0.003598118335817886,0.36328685155648577,5.9207197420152236,0.8968696546194845,0.5383353668057553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.2029836838376,free_1_item_support_Semantic_CMR,0.7666097763771742,0.18725485664145597,0.6082887417191032,0.8966722837300511,0.4516638190655615,0.04475266675285605,0.7836677351413223,0.747347473842583,9.468114632480031,0.0011688937960698809,0.001713887941980019,0.18302457228750768,3.213691759047082,0.7805923181433749,1.8299693541334245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.24727762342133,free_1_item_support_Semantic_CMR,0.5782246085668441,0.187257541957014,0.9252881445167986,0.9760035963765427,0.7698842689009571,0.16765081984909985,0.22822862411601458,0.7041591582298641,5.923702568844448,0.9902429223553852,0.0026384668910447995,0.5087157056848843,5.152736604510698,0.4997968344439034,0.25908777514278825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,270.7810991423511,free_1_item_support_Semantic_CMR,0.7601832864546926,0.17897295287055215,0.7729508246087377,0.9868914573574837,0.6395790846087239,0.6383886497752935,0.9122531319842886,0.1801218050908327,0.6089027261246756,52.64197490591063,0.013199821549767954,0.2664684559490391,4.9567812077934565,0.3128306552286727,0.6691971229517621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,110.24837227713708,free_1_item_support_Semantic_CMR,0.43110834329500713,0.04144091456620591,0.11832727770860302,0.6127803259975615,0.3302179617521417,0.5085946681250212,0.7994814224666257,0.20630493772461134,82.23779042381815,24.830481199242904,0.10056425721693002,0.22656124562252877,1.5149795615981123,0.4302826149436978,8.131159748750663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.74143324560174,free_1_item_support_Semantic_CMR,0.6011534042883145,0.11298350207841718,0.6785913392540622,0.9269524018534687,0.17666894449993092,0.25249635581452406,0.5330383281460894,0.5362621507352027,0.4474121791385599,77.78143834841023,0.014214637141232389,0.13822264417057895,9.598470431773753,0.6496000537788584,0.5245876513024923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.92756012613415,free_1_item_support_Semantic_CMR,0.7804889056952855,0.00038365628115044625,0.3757361843375627,0.8961305288853885,0.10072013782858341,0.7711933360887935,0.052037441510797366,0.3356443156363057,0.8420233561653987,46.64916557113512,0.01249039881715458,0.2645579069106816,3.7335005593014237,0.3007585624690403,0.6464514782681006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.3563772466656,free_1_item_support_Semantic_CMR,0.9626650682220341,0.003439487822175189,0.32952989627275886,0.8415900169897522,0.29164367077971354,0.2633373979104201,0.1297203229483507,0.8139433014041473,1.4181215086809436,1.3853481681893645,0.012043408775159182,0.26849098255434956,2.45653582868025,0.021848598022620486,3.014751327454767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.39445161742995,free_1_item_support_Semantic_CMR,0.4007625054872183,0.07259064612584482,0.6619926272661081,0.9724263550383425,0.0038649615833010187,0.2469201542861445,0.580582584564284,0.6660988727913573,0.15419539884319278,9.469210226444233,0.0015851230139886652,0.7375418749114049,9.706800175015921,0.9458916076983404,1.5417926419715262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,229.83472422572785,free_1_item_support_Semantic_CMR,0.7181940681127408,0.025507609910307205,0.9527364535193856,0.8663186123436972,0.67012771354105,0.3787556476606284,0.6096972617605421,0.5530882975418526,46.895119438935176,0.9761773681177672,0.03137008952614695,0.18121282406102157,2.745808263828942,0.21329007531509397,8.200087028365441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,303.4581759436142,free_1_item_support_Semantic_CMR,0.9156522786866625,0.15094378100452688,0.9028882206913375,0.7133406185296763,0.9391239932309231,0.9126624293567256,0.5349570756375541,0.828506075949503,24.721167068490733,0.2708843533236749,0.01579528297537102,0.11759127402899969,2.4190530894317646,0.23002137824095772,5.130527414393566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.3321810316862,free_1_item_support_Semantic_CMR,0.624173681107044,0.12689207047902,0.02802623298004464,0.8557353417140778,0.40317890132037676,0.1771271691485456,0.897374356955206,0.8039922837043807,0.012090395394281472,84.57130522276569,0.006746852301013517,0.23251066652674268,5.763530174554528,0.7451138804474476,0.7766652110249916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.28520365964334,free_1_item_support_Semantic_CMR,0.45977051563652316,0.004027169208339787,0.0830229880047248,0.8525325885191166,0.013691084098647832,0.44884415734518757,0.7810912414512133,0.38740354977472513,14.833633437277406,16.705099111552585,0.08212212717010398,0.142640185074149,2.1804189910148613,0.09447745661563367,1.6793378380954103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.5225334397155,free_1_item_support_Semantic_CMR,0.8764561525698915,0.10814926928897167,0.5285425456368339,0.9709013123170235,0.6744231319631356,0.8147158892707693,0.4472782753511316,0.2506859271602431,9.569487521840294,42.16303787207817,0.005837701881965196,0.2954887116662004,7.375309284778528,0.08358046020057364,0.25317206664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.24698741038011,free_1_item_support_Semantic_CMR,0.6228095305498302,0.11546930332963617,0.2967758757538502,0.1656459134758319,0.04434025155507526,0.46925081584062917,0.9959410430049578,0.7668861667562051,4.443469812910848,39.19605849399111,0.03815737549976472,0.14196610016796818,2.5013310352534512,0.14559269247888834,0.5507038734217087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.0646357706024,free_1_item_support_Semantic_CMR,0.7017363670556545,0.036602078890106915,0.4155848121096169,0.979051408012029,0.8675710473647993,0.18175120569432385,0.4381254662305649,0.10643851439142143,39.83679004800249,34.861917059084256,0.015761401078423387,0.184164140917785,2.8195808936996074,0.312873299116068,0.7103748114109774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,262.4553946733296,free_1_item_support_Semantic_CMR,0.7487983017793957,0.4082878810787198,0.4575728936011595,0.9898695451893531,0.4382676916615402,0.9419487152100086,0.8828898303550692,0.9117199806310503,0.4091487624620669,79.28288940490216,0.008656425846004012,0.2995754317954562,3.5999958554585576,0.14645635703752008,0.5274152500999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,302.56845568403276,free_1_item_support_Semantic_CMR,0.4857257379772114,0.3092326217268783,0.6148098582390944,0.860429854810919,0.055774482143347834,0.916265228465282,0.5785360692762495,0.9793728466610315,5.437790197433933,8.53223651915079,0.008713706027891335,0.23784139868825224,1.9934861508408002,0.33576743656223484,0.7109961217816195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,269.6351722781064,free_1_item_support_Semantic_CMR,0.6611927069610073,0.8537451247776972,0.4202456598541573,0.9383884088391276,0.46496276407688675,0.9114386493876304,0.05076045290148184,0.312635789503329,0.5953830943680117,22.616607211229432,0.025828964524625863,0.12251725229326087,6.207553136093907,0.08986548235053392,0.3165413259506518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,203.59342113552665,free_1_item_support_Semantic_CMR,0.7201875543185874,0.13627667387589443,0.32727887205531714,0.1636203009481486,0.22930670927663488,0.660733228827432,0.2543658801958133,0.6020236704137243,3.8725732114502733,65.17485570939057,0.026354238844862987,0.28215752135346683,2.133642226653113,0.06130890385383653,1.0744754253753612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,185.55764573527188,free_1_item_support_Semantic_CMR,0.8729488257859817,0.037532004118870976,0.659847644544447,0.624493590141922,0.002062488191681644,0.8243178314004187,0.7370801017835169,0.9058009442086619,0.9202898450484085,53.5715940324341,0.0441065798153476,0.18683811745741163,1.309498145178459,0.1586566447638486,0.429048469784286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,258.2845714353031,free_1_item_support_Semantic_CMR,0.44085573482490303,0.19560078594038355,0.37324696142767133,0.9334162721635533,0.7029334451419263,0.6148576582986314,0.476502124873864,0.6142846969775311,6.178915819103992,59.23537622844217,0.031735630396307946,0.18311817291870724,2.5363387831110678,0.49295954380245893,3.752197168547158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,290.93812615200545,free_1_item_support_Semantic_CMR,0.6702176491249477,0.13167036650512282,0.4629764833246046,0.9668489703166446,0.3612056685978062,0.6124066967414366,0.842643426014263,0.8176336560491078,2.184879840103058,49.83419222982053,0.011101279776310202,0.22881966612653049,3.1034277701349766,0.020376241365492487,2.278365826524762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,340.0801344123497,free_1_item_support_Semantic_CMR,0.7746045151543709,0.4171250477478422,0.7218492149458199,0.9024031800879653,0.8922794444792406,0.7775554156691272,0.8991033080947359,0.9189867038560819,2.7943172685074558,42.998632934954514,0.004297100527428488,0.22084174939725543,9.604693832407458,0.10181924888601729,0.903171886828904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.29009118957674,free_1_item_support_Semantic_CMR,0.7112105278304087,0.47750293468479144,0.7596675182720479,0.8854613452100941,0.29468303358940195,0.5252316310014331,0.9787797632753618,0.3856560592342323,1.427505167915406,82.24275085507571,0.0374775628223295,0.08885251838228392,6.687155082004167,0.7805956099332794,0.13276020792947296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,250.7910789893243,free_1_item_support_Semantic_CMR,0.8841876762132093,0.33106129754643787,0.5548350104032934,0.9652399004329633,0.23933781050178565,0.7361635525613581,0.7795580555038667,0.730404412001424,0.34531989883994096,44.611866828947576,0.0035608441891138674,0.32098910904383243,3.0420465745643033,0.052175497014047674,0.5416374315816885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.59821165779385,free_1_item_support_Semantic_CMR,0.5930318713009509,0.20057262550100496,0.498391919715393,0.0685831662871586,0.5216096898751812,0.6067118547870526,0.2733252753011847,0.6909715918990578,11.695048638330427,95.66896124248503,0.001410324088921,0.4531417930122039,3.4361726870111022,0.46557601969368756,2.955314992094018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,274.1399186496091,free_1_item_support_Semantic_CMR,0.7978465141803192,0.21732908255845607,0.3743578319221461,0.9603555928516595,0.5812958423628758,0.477070409105938,0.4004452353521871,0.6109851263347634,9.445847767338243,50.530413694263885,0.004237761225838854,0.3869002688855643,1.6770817055585159,0.9782005963911181,8.414065780514704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,226.3561095482919,free_1_item_support_Semantic_CMR,0.5029009933684124,0.004783195737569468,0.100576425875606,0.16675554801177944,0.019301342594087167,0.567054635385903,0.17657401350953378,0.39721665591832217,1.478776297339273,71.33994782159783,0.0026453602131456533,0.49433150642709744,1.996875329553911,0.16871717212863974,0.308477651653023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,313.2527151049079,free_1_item_support_Semantic_CMR,0.6717129902760778,0.2326860868559374,0.7833684261314765,0.827116779679075,0.9632841849606715,0.26664047585413886,0.9690894586214696,0.6382729197985606,1.236008632592764,16.785181632585775,0.0020693454388882038,0.32859111003929176,8.623212482091589,0.9500964459080447,1.0831311761708022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,198.56998637201895,free_1_item_support_Semantic_CMR,0.621651550392454,0.06080718672851548,0.2237575130567509,0.7344905869503026,0.09792703507450673,0.5163797848575724,0.6739851111192822,0.5972927422585232,1.9766398662891547,25.27942241441353,0.010826252321846086,0.45600921318938603,2.308634638881001,0.35326179513213546,0.24329259432171924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,281.538364473159,free_1_item_support_Semantic_CMR,0.6730248823239243,0.23044676929525099,0.7349558543534681,0.9903681827335111,0.42715366974929236,0.10919295066005247,0.6473035534668099,0.05839417970379557,55.25394224602582,1.4202085621363167,0.007066517521373161,0.27146785395486894,2.010186381318957,0.45338056550585004,1.986909870431628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,260.89612506990335,free_1_item_support_Semantic_CMR,0.3134002899538225,0.30504605859341805,0.3960649873729275,0.09191926382440929,0.337366341023678,0.5747617958246792,0.8307729369758301,0.05545613438949071,1.7112495777201957,18.702319546840407,0.002892824352178358,0.5243844681664145,3.536000947328814,0.24300233189687137,1.3412079538135977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,361.9266637983527,free_1_item_support_Semantic_CMR,0.7459276072256263,0.4054167009271223,0.39493853103285864,0.8732731125124575,0.3979338505777588,0.8775159068221745,0.2558322315805003,0.3711056374956803,3.5384256321918883,91.18022303166562,0.00756893061608277,0.20859147847068904,3.898985130065989,0.13920783636164763,0.9788844695220957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.3556964255972,free_1_item_support_Semantic_CMR,0.7776136267456679,0.4147593260764138,0.7653435019012599,0.8957876977815995,0.06873524739235509,0.41606932927283796,0.7932540131892992,0.4894431758351099,0.1784897177522211,28.393071803067816,0.004130258951977939,0.25862649290042494,3.483591922048089,0.6608945771569509,0.2801290900167883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,225.13741766923215,free_1_item_support_Semantic_CMR,0.5243380403840777,0.21951742787559186,0.18198409517934305,0.9906068855890291,0.6594913174454043,0.005043693567283014,0.55492019655402,0.1625799555198138,6.576891469268176,0.3808207076376675,0.012715024195818991,0.2019508034846922,5.775662552225084,0.7603915328453276,2.681516518737019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,216.8095466690471,free_1_item_support_Semantic_CMR,0.47631714386816626,0.10522028447327514,0.5109686880614804,0.3832297412863745,0.0023234588038676396,0.7283795279020925,0.43587748611928245,0.9988995829686463,3.573313402843006,60.15317108835248,0.06660304857308974,0.13112204396193672,2.825205218291516,0.081728284165416,1.194916044445237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,115.36104045203007,free_1_item_support_Semantic_CMR,0.5231870371018279,0.03784583691056837,0.9990612456029766,0.09450214884931614,0.2598562617889411,0.9848533271737856,0.31583666688693024,0.9337774579983875,2.001663000166948,0.4452386474470823,0.02195590757510076,0.49371400194667897,5.378094046624365,0.007581934926944065,0.22440515181364992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
