subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
40,8,362.35643015753647,free_stop_probability_growth_Semantic_CMR,0.775573567578667,0.17620227544806316,0.8950238731241102,0.7049988747878934,0.3136676709497187,0.13979511081642043,21.01056439599422,0.5860910983538048,0.005689384102522732,0.2734395610901439,0.2014654189016829,3.0756562616038883,0.5469982551017267,3.821560814109399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,278.839303933078,free_stop_probability_growth_Semantic_CMR,0.7322841647584504,0.3849639273898346,0.8607357629792678,0.4675810108502264,0.21314246580599666,0.9624854940270883,0.035001845006839005,23.95095051404702,0.009567328326221036,0.24818894148893467,0.24186921577112663,7.628032009569898,0.4341250501706947,0.30030438000901505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,228.89285634499464,free_stop_probability_growth_Semantic_CMR,0.8016229549785706,0.3230047665327944,0.9757604825352053,0.4842062559052768,0.14668720894179438,0.6335812881022693,6.528849321727527,0.44331158837535867,0.03987145195080699,0.18217033611680034,0.16238313606489818,4.539598984810869,0.8415199441352068,1.7780071757847224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8,213.16510572569376,free_stop_probability_growth_Semantic_CMR,0.4960209180660921,0.03777698437411814,0.3515184094309245,0.02482329173290726,0.7354204378166773,0.7271423621832313,4.1734918409729005,64.12683031482854,0.0026801740591559375,0.6482019470981584,0.3705962956316995,2.7270013977507923,0.06783801527056604,0.8813893004783369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8,123.50466854027425,free_stop_probability_growth_Semantic_CMR,0.6603755817203951,0.16592218962862387,0.5718250357705963,0.05052849695722017,0.8051745764721013,0.6656818284241016,0.9078072971044833,17.296488501783088,0.04143155021202194,0.46505775282238737,0.37257748232828725,2.210235027752117,0.49723884951010633,0.3399144991699865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8,215.00724509405262,free_stop_probability_growth_Semantic_CMR,0.796040185524198,0.2893269008779467,0.6631947943658167,0.5652982937879802,0.7568954820528636,0.9351810245076432,3.182498580595412,59.76498978125016,0.009860877965195884,0.3608665594063451,0.34095247887658364,4.637024028021513,0.40408167088597474,1.3849946905069044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8,304.81325153383926,free_stop_probability_growth_Semantic_CMR,0.8347950853455135,0.0289873448475515,0.5532204590917229,0.37314259231286107,0.6181022106555814,0.9933701539785393,8.772211511288084,61.149798585080184,0.005448743392001687,0.2654511214763673,0.2536354689780005,5.638057232966243,0.2867609271536523,0.4076452468202758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8,307.04245739950557,free_stop_probability_growth_Semantic_CMR,0.6629698171456841,0.11434815673648702,0.4874509083438162,0.20014409105684028,0.10300455543346781,0.6401157421463108,3.2909334822736582,40.827244577267386,0.017553479703279695,0.21991828765494859,0.08101023267992868,5.5187362230137555,0.18675120297253706,0.23347755170450046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8,227.015197008208,free_stop_probability_growth_Semantic_CMR,0.6489583577602536,0.32183933325736824,0.25917884001645886,0.21829671215976876,0.8544247951498241,0.540224325142683,1.7606992488845563,68.52297763538402,0.0242607819480134,0.26796410971438966,0.2012809761790244,4.829916377720379,0.3710734864302318,0.5181560809910648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8,180.6583030237299,free_stop_probability_growth_Semantic_CMR,0.9697327930022274,0.1745650940860078,0.5142040319729014,0.036444828613435454,0.8647264077265799,0.9016949265303866,3.2306009439268735,81.18507279152892,0.011792140821640096,0.5925212177054568,0.32134698580871923,1.6520729902348656,0.16387555562801737,0.4866609749416897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,8,307.6205904017117,free_stop_probability_growth_Semantic_CMR,0.7804431794965297,0.7838557951091863,0.6430204222479037,0.2878843222180675,0.49521810983719383,0.33231695540672335,0.024835709243916426,41.69318088692842,0.014051307816899505,0.18721312302322524,0.1930689469092597,6.053402456974103,0.8472878805019064,0.298785987894143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,8,275.427908962143,free_stop_probability_growth_Semantic_CMR,0.8120144479934227,0.19580780311342888,0.8830872285189729,0.4564409662791907,0.07023742279927565,0.08942489417136718,4.61632888990871,0.3467201270272929,0.01078090495166265,0.2861160659148028,0.18176058353453717,3.1439924714393093,0.6246531271327803,0.5804924627959394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8,263.398777783386,free_stop_probability_growth_Semantic_CMR,0.8521909542022965,0.14772734725804237,0.4286335473063302,0.39413444047305907,0.5940667789725992,0.6587430338067471,15.791172890048514,24.216678285103825,0.008735778061698951,0.4252055720708494,0.2839582201805202,1.8867476849101337,0.339673208843877,0.12300888580916247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,8,260.01508206131894,free_stop_probability_growth_Semantic_CMR,0.8220392601470656,0.7752888358465354,0.5263747765863744,0.5134105259559583,0.18683388311211668,0.1029694255521662,0.14270296302487395,53.41104902940293,0.007076956588226935,0.22983280438791098,0.3018225148312501,9.683962568460387,0.22805145219192996,0.3236561808660827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,8,220.51456331909665,free_stop_probability_growth_Semantic_CMR,0.6399325279349111,0.0332323490839348,0.5072218368683692,0.23142154488302225,0.7744575835945561,0.6990869015963145,2.834696968928448,67.07563105059327,0.029398101515092423,0.3067479877595449,0.19270296570225032,1.9980043243554797,0.4966693474986886,0.6929900468845505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8,307.9739883832226,free_stop_probability_growth_Semantic_CMR,0.7105711334358651,0.7877255456876882,0.5989023242676046,0.3777650890623186,0.35955087845057293,0.5279850065641378,1.3864036588627755,0.5754446245833122,0.0013281839772393833,0.5505886788060295,0.33620864643239834,5.095768746180466,0.2932490025966151,0.5222200785362325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,8,275.6091268368422,free_stop_probability_growth_Semantic_CMR,0.9083727904575667,0.40890519584000634,0.9056755872867537,0.2502811855764716,0.281567772662249,0.588007355420452,2.450844999626545,66.8063333313688,0.002427935013217715,0.4365188728011911,0.3110553137153209,3.0772161267065448,0.1970086919941641,0.08879905171547799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8,251.357459371328,free_stop_probability_growth_Semantic_CMR,0.7682736340953197,0.23733966501980813,0.04063632122308314,0.2512802907585002,0.6755338850811866,0.514781820184697,0.41517880492478554,34.164036005836664,0.02003621242488457,0.2136996856445963,0.19530964128792316,2.7999623458912994,0.5456270390992042,0.5781294154394958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8,260.456888191651,free_stop_probability_growth_Semantic_CMR,0.7121266549792137,0.10604280123785753,0.34615057966466783,0.20281637759145366,0.587969117473721,0.6565151941364306,7.7836025126447055,26.646029771523523,0.005769081606737447,0.4671117276258503,0.2819748294014204,1.8760397124909431,0.8639603719953699,3.0750610100565985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,8,280.23494493407026,free_stop_probability_growth_Semantic_CMR,0.5848482659647034,0.47746866787425657,0.9240168613970632,0.4410892308355945,0.24560908982143448,0.0954988533172359,46.820051464892515,0.7358554629220535,0.0072447900314814295,0.32026356286706203,0.2539336080676522,2.5490484359025394,0.951321941900853,1.1598073426449274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8,239.36990452580392,free_stop_probability_growth_Semantic_CMR,0.5775202773099777,0.6019714637391878,0.6990569940456448,0.3685967724259648,0.49193397704506636,0.5414450945893994,1.4894052745377664,1.115078076889894,0.0069094040132972045,0.4847382868954755,0.26994877834300635,7.689737193810368,0.46997426795494684,0.24680171278670482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8,287.0557270501653,free_stop_probability_growth_Semantic_CMR,0.5625112898303535,0.033598403855173264,0.344876697670446,0.7125112130155709,0.940049448843502,0.15850863676956078,0.21229596408950613,81.74289871913143,0.007677042625277186,0.3646413678496421,0.2931470208393874,3.2190727337804197,0.14282543335309017,0.3069344258674498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,8,219.8534882267789,free_stop_probability_growth_Semantic_CMR,0.7802647994124314,0.3290489122376661,0.654513438891606,0.22581075060057293,0.974190916060233,0.7013209972983414,2.4304022046634257,74.24231476611953,0.009615657848655573,0.39369252609241456,0.41327184697786373,1.5785513327596263,0.19532147979765152,0.7226240980411902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8,227.40211947782325,free_stop_probability_growth_Semantic_CMR,0.7367426038881038,0.05896799949278003,0.7201148579663516,0.20276677402862386,0.8846369329596158,0.8500795913027912,7.584338169988939,41.79799877401871,0.0048082583261846445,0.37147069960019063,0.46358993801487625,3.2719274337089157,0.15534945153366614,0.6704964172766719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8,310.3586589098757,free_stop_probability_growth_Semantic_CMR,0.6077905213464168,0.23911602609434102,0.7046447358009617,0.27496923105717497,0.760274576911529,0.6005594343053527,3.2164953897131383,0.1746180968133615,0.0380296785478168,0.05442798888315892,0.035982873530002735,4.500749974125325,0.24535615586127102,1.291615123656407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8,239.7928019322398,free_stop_probability_growth_Semantic_CMR,0.5456237637960865,0.1120574720003395,0.7361554179165564,0.1349557190277157,0.5979731170922977,0.2115401244866314,2.6348280711682293,9.98235546102557,0.010077416600498212,0.35950300859897855,0.18479699011923323,2.8064648263598437,0.04942668063859057,0.8402125360425767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8,254.20971039573288,free_stop_probability_growth_Semantic_CMR,0.4808134566228907,0.5504987153775223,0.300771078463273,0.13631507976854906,0.9724344184185775,0.8691646843182654,0.3659774692072528,35.315593517241204,0.004437012694953156,0.5343558580431818,0.36857929763534153,5.914051462587695,0.4604686863593199,0.6754949255559035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,8,199.67337682046912,free_stop_probability_growth_Semantic_CMR,0.788395283585826,0.10837061389238523,0.9557196267754233,0.3065860052756642,0.9885647611874391,0.2384821848170491,15.427988384598853,65.28166767440439,0.03269218704824537,0.24230517446184435,0.23069998223081703,2.984717935528055,0.3109276726655235,0.2035482963795987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
