subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate
1,160,3031.022554820295,PrototypeCMR,0.674674348532417,0.06958903141760689,0.7165338027666115,0.12335272857537008,0.9999999999999998,0.1831172704250645,5.050809398194422,30.56209171252427,0.02353637127445898,0.3339201676717671,3.066932045729405,5.286289954680657e-10
2,160,4146.34628229368,PrototypeCMR,0.4954833280839883,0.003788131910040424,0.8153430519584628,0.40604639496942774,0.8616355780137382,0.10292889043781964,4.572612477761806,10.725791949032965,0.008008179670586193,0.36187286343568803,7.400741644984589,0.9995899432014969
3,160,4036.4858650280235,PrototypeCMR,0.7182872237311124,0.06370036433191283,0.7541199207730194,0.1364741851000559,0.9999999999999998,0.1300842871855766,7.868780354334282,7.431407258833788,0.009971681971809266,0.3483059760392873,3.019701153805048,0.003658678166837171
4,160,3787.377797625468,PrototypeCMR,0.6034955430019654,0.0010806051792644,0.8697114022819461,0.3723669111450666,0.9607207303165717,0.12974193998420772,4.9921484217382925,28.086493426149584,0.024383174772100075,0.25818328657535883,5.534975108504847,0.9409758071377202
5,160,4272.908972182657,PrototypeCMR,0.7017160335979912,0.06379363797489626,0.7580051522580536,0.11165542094863161,0.9999999999999998,0.1899003646775048,6.889114495118231,10.60030552344455,0.010919371024140813,0.319775177565562,2.614713325109538,0.44453686329738445
6,160,4183.008143860522,PrototypeCMR,0.785704326908707,0.14388635579478934,0.83348198372309,0.26003047517752514,0.9999999999999998,0.37752028665653764,2.176590841007975,20.250857301892207,0.011457832486453013,0.30542460554069023,4.267466700314862,1.112323215442413e-09
7,160,3702.9668524054723,PrototypeCMR,0.6796166706375487,0.05329528757458695,0.7487759876953268,0.20258568496461288,0.9999999999999998,0.1850906335465611,5.509174603754611,5.358070506400827,0.025232927714784276,0.2563180312857689,3.8650564952355686,0.5190026547950459
8,160,3258.575086325046,PrototypeCMR,0.5357243180990676,2.220446049250313e-16,0.6905913030948415,0.3451923089752295,0.8251745953863426,0.12795361748885195,3.0715357404069716,15.808745058754445,0.020762824184401577,0.31885844489485243,6.740520222455999,0.9999999999999998
9,160,2960.302815976106,PrototypeCMR,0.7555430106644955,0.06287876295973031,0.8441374959932685,0.13468756847577482,0.9999999999999998,0.26309961503406176,2.5699548607198324,39.10705339776425,0.03649228514534821,0.27130720622797405,2.920558330619338,6.065358753377719e-08
10,160,3820.395919509905,PrototypeCMR,0.5508039837542386,0.006133961950633927,0.6984192903019044,0.6869614656881731,0.9999999999999998,0.009270312951755304,100.0,40.442694671226654,0.0234354585560869,0.28165442923400025,9.998249368458934,0.7054552326558907
11,160,3504.560613777281,PrototypeCMR,0.5249403589940648,2.220446049250313e-16,0.810938472535341,0.38970960781625147,0.7768511728457129,0.17887471083367742,2.7192002696683093,70.58492267756785,0.02311724374870322,0.2716371824956432,7.8237522255322975,0.9999999999999998
12,160,3951.9126911681706,PrototypeCMR,0.5102924175144895,2.220446049250313e-16,0.7205869630930479,0.4929628492758973,0.8587460150341195,0.11613074150242034,5.403755682755813,44.604500881539856,0.011440758713311275,0.3298459347265059,9.109848459537094,0.9999999999999998
13,160,4451.730975645632,PrototypeCMR,0.6905408169876152,0.0017166086476344362,0.8648697638561795,0.13438121900819516,0.9999999999999998,0.18714098272212146,3.1872894562311433,71.31509304734766,0.008116998245735656,0.31469456269194945,3.0060814304716525,0.9892547667597308
14,160,4565.3855179207785,PrototypeCMR,0.6122825595307109,2.220446049250313e-16,0.720340779253147,0.5282572745026831,0.7579366887572677,0.2110596261086755,3.5110342752443775,55.27676771712889,0.0062916750714096525,0.35237977131712744,8.6424291019828,0.9999908490547433
15,160,4198.263145066976,PrototypeCMR,0.5578950320467393,0.003750567383386975,0.5497822856349815,0.5768178120547175,0.9999999999999998,0.05946874323504079,14.12653838248899,56.43167857228348,0.010926752179536904,0.3421705466375312,8.973199009556863,0.9921341984854406
