subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,308.6826135373621,free_1_primacy_scale_Semantic_CMR,0.7834118839761756,0.5371197209265094,0.5090154913983109,0.7371459321744961,0.27264138311760433,0.37380156234364786,0.7113248494685882,0.37687030590738146,1.4589930789541938,59.375842312607354,0.025307428996161563,0.0781166425630273,6.853872683906416,0.7732555931019912,0.12881548950965804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.53712630470227,free_1_primacy_scale_Semantic_CMR,0.6342116111941727,0.0026093014058392594,0.23963855318769778,0.4637079087571332,0.9710873168538764,0.3430262851482513,0.38371495202024825,49.128537988413434,45.37368053739081,0.8983976991655496,0.003662851511811671,0.2616966489796102,3.3255888802218845,0.3199926229311316,4.927183485759391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.45977556424543,free_1_primacy_scale_Semantic_CMR,0.3544592924541608,0.22646454633498492,0.2923032891787002,0.1840918021226125,0.31606671602766,0.7311057941718911,0.9458295498725409,1.4205872200880378,4.187986833427971,90.3137442263812,0.0030292760069813296,0.38724647958632996,2.4384398664104356,0.19673846039849796,2.494250141116243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,455.249842249457,free_1_primacy_scale_Semantic_CMR,0.38007879530066,0.11135617166256997,0.5287252719563491,0.8232609537805159,0.8536848477483356,0.3117788901333856,0.22131206073937676,24.29572285230462,85.52996476380619,0.03924560778232992,0.008359480839929946,0.04496249686630903,2.1433938327221727,0.4442832922592256,6.052090281356394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,238.65433286326964,free_1_primacy_scale_Semantic_CMR,0.6469978274915091,0.6780694171457268,0.6532499305933024,0.9599117044358936,0.9622038755019552,0.5168323356897838,0.9749281756351573,17.274895098971946,70.62505380491422,0.684842650318565,0.014570161154381145,0.3419581838057546,1.607955736539636,0.19121810882606927,1.5511897545058724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,272.870859297321,free_1_primacy_scale_Semantic_CMR,0.8103735162272319,0.12817064273924855,0.5144185238594402,0.6675875344789509,0.21364018592010794,0.16910795804540565,0.29230568591774986,11.951869039063402,4.553078051662433,0.5414966404715021,0.009692118310383057,0.2383029246904979,3.380486040878486,0.14810713182324872,0.73687449696144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.1838329034049,free_1_primacy_scale_Semantic_CMR,0.4830325387522763,0.22519757762228249,0.886747384635634,0.7900500522383075,0.005110562020865295,0.3501028890022793,0.2922211030037526,13.765698698563142,8.458221955645264,16.688876804074212,0.08850867225220366,0.22097385274153591,1.5876669757642965,0.07363880140667056,1.0331395647919712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,251.05574834769254,free_1_primacy_scale_Semantic_CMR,0.5754852662533104,0.04457105677339501,0.6919574370245991,0.9761642519441069,0.1870146601415862,0.3131373515664345,0.6658207531340766,0.29933456781607504,0.30329828720893914,33.2315462274573,0.019907268460582495,0.11989754244688466,9.667733806013189,0.6900937026012933,0.4419365037660361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.09055282864006,free_1_primacy_scale_Semantic_CMR,0.6398660157754272,0.08888656566809938,0.35226772404446366,0.8372545841917498,0.14930674352448953,0.3462424177635706,0.046298215761897354,0.8543715200685469,10.434280286461785,0.224997598351365,0.007552826717106276,0.32411413827112323,3.476681917317048,0.07181378666097776,1.1986354613316408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,246.0913473311166,free_1_primacy_scale_Semantic_CMR,0.9961340235481582,0.13911404529254312,0.43827707842301644,0.9225535177007507,0.2936196271954906,0.5685342275134528,0.5055216442791961,1.5823510767795383,11.990942144264537,16.34357385501835,0.013452773106196692,0.2583742238219706,3.002293896168161,0.15790550841756718,3.5062482226225864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
