subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,302.9370939726332,free_2_start_drift_rate_Semantic_CMR,0.7479707164538557,0.10799504728987236,0.7538621355504427,0.46574796762986304,0.7590664022833201,0.41941034475852224,0.21560030757566157,0.6110130089100296,0.38904794409369003,70.27716306232546,0.012652403494493258,0.4687966697259398,0.07752073293927353,9.16674161473761,0.48228397354384556,0.16875364415353822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.6651620145734,free_2_start_drift_rate_Semantic_CMR,0.4009398546397387,0.7258794401943813,0.1481167151855443,0.5316413568664577,0.2672093460900221,0.45486256150147497,0.06897418402155364,0.9183884620662239,11.709502137503911,49.78859419705108,0.0019341376611010652,0.4318792294591658,0.31300329237459223,2.5170892672241423,0.5021411520166749,6.531333709623803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.19833588562193,free_2_start_drift_rate_Semantic_CMR,0.46443405634485974,0.20281014152100588,0.20105322863324837,0.1874647432705103,0.6196585245242775,0.2839358039793451,0.12433104611935282,0.8854473756164064,4.589253475187547,77.43924686042995,0.0013442027189580644,0.44515397490704495,0.43986864076586335,3.0592387297508044,0.502778813431491,0.6546277032830128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.02027535266916,free_2_start_drift_rate_Semantic_CMR,0.8102299494340386,0.1274084289719295,0.06471251060161692,0.6094649962666352,0.7434021121475852,0.1279119986362584,0.15624105463303878,0.6773939105664604,0.9192560708532724,33.15663650355278,0.006955495957186697,0.14872815341543966,0.1155390046235345,4.664289642181449,0.7945460598038765,0.10218220067198747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,241.08488918626182,free_2_start_drift_rate_Semantic_CMR,0.4604458191255598,0.5487031349211702,0.9615693408292463,0.6863915556713468,0.3332052871650879,0.6010752717055617,0.2156665960909917,0.44175120061161544,15.9219641404027,0.7318307997024363,0.0025211828552753057,0.4540897692024837,0.40792892886873666,1.850054000039958,0.18145137753734664,0.9693768056416205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.02572510010623,free_2_start_drift_rate_Semantic_CMR,0.8733534086935799,0.18883930891296846,0.30282643545819,0.9072362434810033,0.7993676300588136,0.4201349763414603,0.5670973943109148,0.5103319906923649,1.4603232886845205,36.00933852791094,0.008144835041463239,0.3241273605951136,0.24018090552367433,3.7611823611938604,0.12265168639539265,0.37529543976293755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.29703324754638,free_2_start_drift_rate_Semantic_CMR,0.595240636030474,0.3415473041047975,0.03868409542495266,0.5147167218407299,0.08056506737819297,0.33272032732495127,0.4509037636338052,0.5895924323723263,46.08408349038694,1.3385002156327346,0.05430832934368274,0.44935725460012943,0.2688893607926701,1.8155182742704605,0.5331739806100878,6.808035654104105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.58185859139306,free_2_start_drift_rate_Semantic_CMR,0.6915371326637766,0.15851458609970187,0.05181312447375064,0.6466753542205808,0.938333446384238,0.15263263816500455,0.24909721672080865,0.71882519213233,0.4170018955253241,70.40192108600466,0.015026057968577144,0.18700650852798262,0.119709918456671,8.760647217898896,0.7168220921603393,0.42420179319041207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.97395135971703,free_2_start_drift_rate_Semantic_CMR,0.6933578758642198,0.10304264837736232,0.20494183715504433,0.2038111778702245,0.8791608448816448,0.17430172670838529,0.840344679221315,0.272882603933421,1.6476125173902645,70.74343068504636,0.002854033580448223,0.48381010497130816,0.33243478313001873,4.369076284872256,0.45225755922867183,1.5076287364293983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.8526989198183,free_2_start_drift_rate_Semantic_CMR,0.9509160082825385,0.013981027917795652,0.34188274446553246,0.4936686586543623,0.570424559345443,0.18088487399858982,0.44502603911337535,0.8214699592774426,0.04497653903785448,57.96236208773282,0.014624294121380776,0.2753426529877201,0.23332951975956107,2.5188665550911926,0.30435359206859225,6.131348841486903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,99.95955555761982,free_2_start_drift_rate_Semantic_CMR,0.3978954836505783,0.13103930523111323,0.04592031476683023,0.7143134862315886,0.890708224775927,0.016937168452517415,0.32880481104833215,0.8220760062061567,0.04705044249576673,8.139127020921158,0.005344597041197552,0.5862762189075008,0.5689306191974648,9.545162061671444,0.9792604591538161,2.176801921122107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,219.9441361251782,free_2_start_drift_rate_Semantic_CMR,0.8974104823177251,0.1322238597292899,0.8771610248235602,0.15635987987166006,0.5855317296770356,0.19873372899548775,0.294012845331619,0.46168462352730616,8.635715522823624,0.08376239369827942,0.014200723848355357,0.4572658433224266,0.22787848264665467,2.8024290943930974,0.24366520559519977,2.353588443061269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
