subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
1,12,691.8854171304502,ICMR_1_1_0,0.7624461067016424,0.2804858735686488,0.9699796226679916,0.0069901018299631254,0.719133483865064,0.4986809200461761,3.1642620772024177,18.958050299803052,0.00010965962830023188,0.3575943772434057,1.7319850361874685,0.8858152309097841,1,1,False
2,12,415.87578235332825,ICMR_1_1_0,0.800883023906899,0.239074436430419,0.9639968069035563,0.008031005172718758,0.994709488915563,0.9999999999999998,2.692958982377952,46.01477959151157,0.011114947418858944,0.26592031527004695,1.055565608252175,0.42169195391399755,1,1,False
3,12,692.3937582001282,ICMR_1_1_0,0.8353702955061509,0.040091265101709225,0.9245394410967847,9.124663507026227e-05,0.01642897792996823,0.04641038982257006,6.2494639748575835,31.896936927509962,0.006911776906047949,0.13002811901929254,1.1905121200914024,2.220446049250313e-16,1,1,False
4,12,282.7718978757799,ICMR_1_1_0,0.8858419174888703,0.15679848915198044,0.995801554389493,0.0006003995034888934,0.49706739438518,0.70099860255841,6.2229016342878,81.9689693351039,0.08045104873989796,0.08457924925931079,0.610769280932982,0.20133140350364248,1,1,False
5,12,664.0010418853415,ICMR_1_1_0,0.459896588172249,0.9858300033465603,0.7905241834257509,0.018689578811151544,0.7694607407938079,0.5801790189899391,0.19162913614817512,64.59328191967425,0.0014366144128399219,0.24072913574187957,4.19989407472751,0.5396813501827558,1,1,False
6,12,640.3165324071007,ICMR_1_1_0,0.7781796322122665,2.220446049250313e-16,0.983878512428756,0.005908607624087697,0.4925050193391614,0.5864744058363406,2.4940180963825562,74.10921369511902,0.002215090870172519,0.2380095412741473,1.6302712336408358,0.07013180455441163,1,1,False
7,12,317.6067602322855,ICMR_1_1_0,0.8935110530348677,1.8713576589970905e-06,0.9992971420076996,0.0041125742055822334,0.657611696177351,0.9999999999999998,16.207303719555362,89.09264116550355,0.05715288275358819,0.1065918997495672,0.9978649536316962,0.9999997966446124,1,1,False
8,12,603.4795801135107,ICMR_1_1_0,0.9788309516614684,0.44681389838346697,0.9972051833439354,0.00018107931548456879,0.5135677996786779,0.458077065740922,20.970758107712747,32.492685525109096,0.019141325293703066,0.10280277704379771,0.3997376421375524,0.30743256257632595,1,1,False
10,12,468.38254389388436,ICMR_1_1_0,0.771121203415565,0.07178763974774711,0.9574147113454428,0.00037242518329919826,0.04670124727384105,0.08762349017426736,3.0164594561955136,17.992176216759226,0.041200554780195534,0.035243323824641064,1.7543496145358488,0.37406647967250556,1,1,False
11,12,853.6456277859533,ICMR_1_1_0,0.6998455941077163,0.48854182691863074,0.9403202714284801,8.059246027852398e-05,0.4603248676553989,0.5866227358958227,26.77942177036384,91.82313056778233,1.7313764828859838e-07,0.6695469036325679,0.30459745060096377,0.783619999480587,1,1,False
12,12,693.6585058862606,ICMR_1_1_0,0.7561111538661105,0.5519355286486262,0.9513165255084196,0.008627686141751583,0.39379557628609607,0.7939001086419508,1.334590507456685,32.89319815224088,0.00018452835281786658,0.22553547521823356,3.9163962025043584,0.44007648599528826,1,1,False
13,12,758.653371556681,ICMR_1_1_0,0.9210401314032791,0.9997492803883751,0.9909031068324204,0.0002954508396854549,0.5030193344423913,0.09464108010941787,6.305417374147754,18.62325155238802,0.002200098106420664,0.20841460796514105,0.44584613978091564,0.03731443283567169,1,1,False
14,12,893.5590746060193,ICMR_1_1_0,0.8566500217885167,2.220446049250313e-16,0.978801946466099,0.0027243602315806673,0.8170159061539926,0.9303132519329459,16.866486279708507,61.68834687553297,0.0005139687038302832,0.23993664198082268,0.542231660611473,0.8641317476279247,1,1,False
15,12,474.47013152815276,ICMR_1_1_0,0.6776914227478494,0.06623110263782808,0.9999999999999998,0.001014232753147169,0.031085421312600767,0.04464880289739461,4.0581657315108535,6.910988329713124,0.004069075444995697,0.23479584137091375,4.063608909225928,0.5327113200845552,1,1,False
16,12,576.9809430414806,ICMR_1_1_0,0.7844666086160248,0.059454866844912885,0.9999999999999998,0.0014352940780607672,0.3060041454875724,0.355831327243477,63.22876729631796,0.9703438066355821,0.005462301794963436,0.22933912907465942,0.5210094768857099,0.6124695421442603,1,1,False
