subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,311.56777970700375,free_start_drift_rate_Semantic_CMR,0.8298107219642161,0.08480440289507607,0.5749081456961672,0.8367190230210066,0.24551620342114844,0.6160876191192979,0.39984106361571164,1.4519118368176152,0.7344034302908824,0.04634865290393275,0.0459772771646092,5.4696105194488975,0.49765248918289584,0.12319518376839422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.26039390172195,free_start_drift_rate_Semantic_CMR,0.6653989184210766,0.36857597189283414,0.2208517458508914,0.5700171429421895,0.9388255145841675,0.25273406681997035,0.46548540657682314,6.023816069713803,97.92602481361715,0.015615716928834844,0.1575246730079991,6.139315899153349,0.25504948538377037,1.402819826909516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,337.18400184497625,free_start_drift_rate_Semantic_CMR,0.15799066916225496,0.6020266886441589,0.17718238722121138,0.24526250590909626,0.12022850431704402,0.5570712470944187,0.985955922014874,2.2760907345724917,15.848176017658119,0.0021325009754949442,0.3846520305528074,1.9808077181045922,0.7297477983891953,3.1722583719097006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.7029181603849,free_start_drift_rate_Semantic_CMR,0.8003715598126683,0.1387131591370077,0.3335573811319884,0.7158073029893384,0.4198110299571801,0.6509817004483027,0.5991483643329948,0.7784257614533416,11.170328445307142,0.004226493575566148,0.13375930054798335,9.165907687708888,0.8754670332085683,0.18836418832357094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,229.08460276768568,free_start_drift_rate_Semantic_CMR,0.5965123603326049,0.1872625092749553,0.4718704578649014,0.989318343034094,0.6798113123996506,0.3620976683051193,0.5518892879118851,9.808242346613724,0.8103763501529997,0.0016303816001739802,0.5308296843502642,3.7505830678405894,0.592999195785264,0.27365557514916716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.5519822501268,free_start_drift_rate_Semantic_CMR,0.8837505998141049,0.402274943310569,0.09085239280002788,0.816163425661883,0.24264718343554592,0.17270239418007483,0.7371681739262921,1.750113862042781,48.304019012786526,0.006992985763795256,0.32417830899048283,2.351683175012961,0.32080391451102397,0.18937030412060984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.08345687734092,free_start_drift_rate_Semantic_CMR,0.5202617256818421,0.06527529895324707,0.1238703334282849,0.81102408966562,0.006713563922732035,0.8119679155409234,0.10044635116527917,16.142007445766346,59.00053680011602,0.08028416674053324,0.24465887924882512,1.5489252585432736,0.7034765126794221,3.347029399836261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,255.37248071851914,free_start_drift_rate_Semantic_CMR,0.5613915359703353,0.5050998363868558,0.0814519645327818,0.8713977295886945,0.1536337041061377,0.11063181988732207,0.7708542391125252,0.028947784797104248,47.29444588245463,0.0059283522556213275,0.16739861622599417,9.138884301943282,0.5621580620642442,0.6043976014576389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.67195570617793,free_start_drift_rate_Semantic_CMR,0.7969270461460788,0.010681538826299686,0.26950843987173456,0.9994352900992641,0.31090546140164443,0.98681802177376,0.2509607217584207,0.058508486182880404,17.402717737103714,0.009196767010375029,0.27593238038166135,4.377304189860067,0.007455089962460304,0.830594701458736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,246.0833004238376,free_start_drift_rate_Semantic_CMR,0.9044489883182463,0.19400720765059987,0.36893935111265147,0.46770492295654836,0.1666099249534338,0.22328982643191453,0.5161470906612425,0.09749951555107828,82.76353914365549,0.005790429107763673,0.3365694327028015,2.853335972252637,0.23120928037474014,5.050153375915619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
