subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,310.79802305113583,free_recall_drift_rate_Semantic_CMR,0.7184604773014398,0.2074323169719277,0.3859595918245215,0.8420875556840246,0.49302967001501163,0.6832713668845541,0.7795468293779425,0.6952329383192151,64.64305555353755,0.03233236489334845,0.05692784393932371,9.09974342743929,0.7072636392974231,0.24857840923006158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,309.33180567361705,free_recall_drift_rate_Semantic_CMR,0.6601237108067014,0.6845051649420004,0.7648355958414752,0.4384044952197087,0.724436712413601,0.024054594543995444,0.873051654886017,0.5165305559578215,55.29466669989201,0.009951428463880252,0.21861090366575997,6.954313588465513,0.04579780984534876,0.7691951380260518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.5631392743595,free_recall_drift_rate_Semantic_CMR,0.5646524942925211,0.03775583639347724,0.12228355600449675,0.03549129234911652,0.46513116562341694,0.9002547669115311,0.19864813183216484,36.433743129344975,35.966511470146735,0.00129742475010175,0.4424006271475278,1.3719679550026411,0.1603256023350716,2.1961387826874046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.33830957523344,free_recall_drift_rate_Semantic_CMR,0.8639094972247703,0.4788998226004623,0.5762875700806304,0.7952931309664693,0.41087282766282474,0.37921658286048726,0.8857148738515856,0.3423891184898409,40.74265379689545,0.00619446163788695,0.13215372903234357,9.934860972023227,0.897048129041564,0.16107648344939118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.13342379304294,free_recall_drift_rate_Semantic_CMR,0.793649831065889,0.063834969539319,0.9161199760614254,0.9818102282351502,0.6675562041262496,0.4505720906813431,0.29458258627351785,17.58441539605206,1.0300715728818446,0.006513654688111992,0.37148507004580367,4.320387910407887,0.5775050231556076,0.2617075439352652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,272.2607978418266,free_recall_drift_rate_Semantic_CMR,0.8357076718772731,0.23501286156202228,0.6384945598784914,0.9404579776434723,0.2761883540614854,0.4454342455943083,0.05982334667861838,1.0598222093935024,8.746333724323959,0.005622790695463386,0.3649299623894131,3.004347103811177,0.35458467677229805,0.5513963574078138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.8276874510496,free_recall_drift_rate_Semantic_CMR,0.7058455577537076,0.33143303797054324,0.777117111456873,0.975111644420693,0.026975739455797065,0.39229897317510715,0.5572705414630094,7.770829865205798,1.0672951786210945,0.10371036335664013,0.21189603747621888,2.0803527166308564,0.6323217332953235,1.0154142007274123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.941523712444,free_recall_drift_rate_Semantic_CMR,0.6198494333581166,0.1459738863607234,0.7012790516656082,0.9756100788869055,0.2577416960200321,0.1944881229710715,0.7309289690317035,0.09630494625748298,68.63699376204504,0.007585507965423233,0.14302853861539333,9.854821603223876,0.5419635588627572,0.48330180008854384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.3774176679243,free_recall_drift_rate_Semantic_CMR,0.761815018822647,0.15736475952976076,0.424674884845869,0.8277552390142604,0.025718971079033703,0.08188703526165736,0.01917553957114715,1.1410284199460676,35.962461328117,0.009839640688527274,0.28598724473908455,3.2515595835372406,0.387814306472673,1.000395694945222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.63848498028955,free_recall_drift_rate_Semantic_CMR,0.869981578161124,0.15403832790044342,0.6934654449927248,0.9989060445316377,0.5765061588235326,0.7409648083720297,0.21408905312832538,2.511040586568086,76.29076785369247,0.01923713984605535,0.22187707284073355,5.050687474284416,0.3533084640291585,0.7748628222273117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
