subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate
1,240,4478.897984060982,PrototypeCMR,0.6972025096886787,0.02955752571381037,0.6825746848047992,0.07777950313432737,0.9999999999999998,0.1468763662814557,10.52207149736323,21.235061509991414,0.018985629242549564,0.35090332475939595,2.361356520480959,0.5672763744316554
2,240,5622.655187760589,PrototypeCMR,0.5229198636760973,0.018718650491443493,0.7122170850908417,0.601136525612407,0.9999999999999998,0.07818893571254225,7.821716380363251,6.572450327876188,0.014277444601492271,0.31904347944545663,10.0,0.9679000432225657
3,240,5280.314835410887,PrototypeCMR,0.6431437819261835,0.024601862611027658,0.7270981871373065,0.15187170554809704,0.9999999999999998,0.1103331485268787,8.049211790760403,18.872945356921818,0.019670198771419317,0.29623775714066025,3.3906027633083227,0.8838825722950014
4,240,5257.586145716008,PrototypeCMR,0.5621324241011955,0.0607809111953564,0.8434730180081919,0.3406095439917059,0.9999999999999998,0.10756204810079159,5.706708382246236,2.5748831757948456,0.03020043121846666,0.24576629425727295,5.364762882956676,0.8297855063218792
5,240,5560.925471636644,PrototypeCMR,0.6655195636095699,0.019739219922838735,0.7112872259562261,0.1183361307967021,0.9999999999999998,0.14543491940234607,8.18797359321238,36.2878383205785,0.018013797403044207,0.28465846513906184,2.897542542574701,0.9335316586199374
6,240,5799.3827876539,PrototypeCMR,0.6957471966988757,0.06832979132285157,0.8135905122337441,0.23036878342615585,0.9999999999999998,0.2629883517431911,4.202629672198962,2.3791401818680487,0.015417223753916118,0.28969900777636565,3.9131025041709497,0.002494714774968364
7,240,4895.898749827285,PrototypeCMR,0.629036813468122,0.13113435195659504,0.7008920276724956,0.2614310785792685,0.9999999999999998,0.14587615497072964,6.117196096780216,2.041913244085487,0.03826106006648743,0.2277107334432077,4.688174817908648,0.01796411693901954
8,240,4405.2534266006805,PrototypeCMR,0.5875649269773487,2.220446049250313e-16,0.7269588279197647,0.38069881981067816,0.013287207736463687,0.2584962152172005,1.3803340404656108,23.27388814993624,0.021290166681644584,0.33890058007642837,7.6013680440928,0.9999999999999998
9,240,4825.273408463798,PrototypeCMR,0.6811637454347829,0.0012711696604234125,0.837298335866518,0.14716185610419596,0.9999999999999998,0.19627343350419482,4.697086336355706,50.00059131532555,0.02953709909509823,0.24861142292045083,3.156016143321386,0.9547826036165858
10,240,5497.111905883037,PrototypeCMR,0.5950508039128056,0.06220725291452122,0.7252888556488939,0.6422481744612946,0.721587210342812,0.11540229803436991,6.884034639472697,76.00899875072088,0.019533302584777566,0.296069512851585,9.508237286601087,0.8618679358109433
11,240,4698.916984411961,PrototypeCMR,0.5281540447396972,2.220446049250313e-16,0.7866614151100727,0.5045922239705981,0.9021038848387762,0.20587734795076867,3.5762603126561974,82.91596809043519,0.02951553763121947,0.2580711380845447,9.842382514736306,0.9983158277891391
12,240,5239.410346132363,PrototypeCMR,0.5032015362773928,2.220446049250313e-16,0.6994982777461594,0.4872032189112192,0.29359408721683966,0.19288448626305998,2.852920386439198,64.24842582747843,0.019684322256753248,0.292266311503916,9.14329083917175,0.9999999999999998
13,240,5976.336696610193,PrototypeCMR,0.6775082478632679,0.00018719039298940166,0.862035903089036,0.1322598180078082,0.6293845954843647,0.2132715747857176,1.9176532063540752,85.07282439131114,0.012837874125434098,0.28914549206267093,3.046154115058459,0.9999942459269109
14,240,6377.284192032176,PrototypeCMR,0.606988821596655,0.10677762656804833,0.7759129964957968,0.5826166900066786,0.9999999999999998,0.18393324630158292,3.0545695286342163,66.42843223217113,0.011734685748396182,0.30933497994387377,8.297339773685763,0.9198372010850048
15,240,5331.029261547672,PrototypeCMR,0.5367479261641155,0.003565759832614874,0.5825634461818421,0.6243477210854125,0.9999999999999998,0.06981820077227033,10.48189677626379,14.34235129892978,0.022759023763773555,0.2853244446359329,9.864112816815501,0.9869164857042532
