subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate
1,80,1444.535917554251,PrototypeCMR,0.5512654141814234,0.023436980418325783,0.588795629156296,0.2987179683033661,0.9979963075418828,0.16011795491269645,7.073345065618299,56.637501005027225,0.013588290357576851,0.4574770168623509,6.709806082722771,0.9424417043341459
2,80,2244.426575081374,PrototypeCMR,0.61749590592574,2.220446049250313e-16,0.8243394276606757,0.3501360233115278,0.31913273451776525,0.18379718438718995,1.8121187354730985,54.53639735672524,0.003675956686494418,0.4198061268795209,6.710387039211049,0.9999999999999998
3,80,2180.903561143408,PrototypeCMR,0.636225120608495,0.005764507520043041,0.7710368765382213,0.1880474490544049,0.9999999999999998,0.12497660626470235,6.300856050704955,65.21237327421,0.007216960581064549,0.3684606737639339,4.031610092302973,0.9634540309533001
4,80,1635.1521451388976,PrototypeCMR,0.8019800112464359,0.024977635283652825,0.7451941082920248,0.040559926532901386,0.9999999999999998,0.15690045452548093,10.564857922176788,33.8547928329904,0.027753360928011006,0.33841088681739073,1.4127395709145985,2.220446049250313e-16
5,80,2071.0549534195166,PrototypeCMR,0.5963792466957389,0.005301126422359169,0.7412139352505998,0.5415287793882712,0.48621708363618865,0.2564029632636891,2.422391471342773,76.07808840957338,0.014293941640226817,0.298034670179381,10.0,0.99865833410686
6,80,1720.6114070382296,PrototypeCMR,0.8663556001176302,2.220446049250313e-16,0.8835034309368434,0.43682672412459966,0.9999999999999998,0.4225724628267891,2.220446049250313e-16,85.47397290242583,0.018325503864500957,0.34753129574619573,6.39492250040354,2.220446049250313e-16
7,80,2290.3784183767834,PrototypeCMR,0.72585411433635,0.15239808675461114,0.768751873376915,0.46210902457797026,0.9999999999999998,0.36606056634967704,2.90389201100309,33.98860728679837,0.010435935426381743,0.31753372955589465,7.008076336473537,2.220446049250313e-16
8,80,2057.4260587733856,PrototypeCMR,0.5200922082803782,2.220446049250313e-16,0.5554405392945995,0.5032851632483919,0.9734436518665603,0.13035829743010832,5.423184322991392,52.85215033554837,0.013106861209682083,0.3554276882798732,9.230625998090558,0.9999999999999998
9,80,1710.5036687831728,PrototypeCMR,0.7118789765704918,2.220446049250313e-16,0.8547836774959727,0.10601519050013548,0.9999999999999998,0.22705977771298474,3.4641484506442257,40.31091998253966,0.021030426669975212,0.3125183349764292,2.7205008069644507,2.531558348228692e-06
10,80,2071.878885753346,PrototypeCMR,0.5805182198331943,0.025484429593664145,0.8851918516392774,0.0998156574587034,0.9999999999999998,0.06988629779259317,14.563417242506395,91.60830575166277,0.017092934393739205,0.29633135222029067,2.4366508734521926,0.8762457566113488
11,80,1787.0163634251928,PrototypeCMR,0.5207856504967153,2.220446049250313e-16,0.7238204865959278,0.3809907928962944,0.19984088167459477,0.21079288598375218,2.8394185082998624,44.20540282602498,0.02143768444777336,0.26653433734841253,8.782845642878218,0.9999999999999998
12,80,1787.6681135341619,PrototypeCMR,0.4783197558038238,2.220446049250313e-16,0.12151314184332082,0.46766674296983607,0.9999999999999998,0.09724866732124203,7.10594961349685,7.371516707088829,0.022446585232462797,0.28773365147815017,10.0,0.9999483568594523
13,80,1919.4463935028318,PrototypeCMR,0.6144794290561023,2.220446049250313e-16,0.7728674448667103,0.47496353970303656,0.39551591194450575,0.2879300430212599,1.873606174179574,56.541898700355034,0.021787241233321156,0.2683380336601607,8.847209547311111,0.9999999999999998
14,80,2071.5961213537935,PrototypeCMR,0.6877997020238259,0.08266972241815648,0.7609580613951693,0.19897452044554464,0.9999999999999998,0.19216994164465132,3.1452240125098925,62.16445578579207,0.007947621609774724,0.39861613163437776,3.768256958204585,0.016277376885002907
15,80,2121.736048155158,PrototypeCMR,0.5339516548495128,0.0523441209993782,0.5425367408603867,0.4835692214180154,0.9999999999999998,0.03868473260322391,5.746187290752395,66.67647430766928,0.012379380967592243,0.33095978250691455,8.75578521369785,0.9402492711718788
