subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate
118,5,134.353701855298,PrototypeCMR,0.8354717004158667,0.8821901321799048,0.04781480039210383,2.220446049250313e-16,0.46205841445326495,0.9326591048896508,88.75768610465407,51.21404482804435,0.008012626321503985,0.3977040850085791,0.7656665429012213,0.5874558121826519
119,5,119.69932178971489,PrototypeCMR,0.7888307595374643,0.08846475429770334,0.8218795340815089,0.9999999999999998,2.220446049250313e-16,2.220446049250313e-16,100.0,0.4396416877225445,0.03761995276886888,0.18733621734515823,1.6374269473605831,1.9532545617001967e-08
123,5,144.9683790397898,PrototypeCMR,0.7658667387638944,0.25478190009184326,0.5626006507351522,0.9749206731538854,0.5457699279393577,0.22855001199649402,3.7945759018583303,3.972318993093122,0.0010201348826636707,0.4591870270515565,6.731054302242595,0.9805943943643756
124,5,163.37324844413425,PrototypeCMR,0.7633487430271724,0.8461380901551309,0.7461539952223964,0.9999999999999998,2.220446049250313e-16,0.06376428215436995,2.220446049250313e-16,65.2047659033874,0.0022011109289374288,0.3506943532366246,6.147537109857001,0.7496234916717158
125,5,148.69810490503752,PrototypeCMR,0.6899608943414609,0.857326979530585,0.9761864388379843,0.2952599003126581,0.2275726318077661,0.1625943989467879,3.5966959684571607,0.059629880139507284,1.877222494805222e-07,0.6169544119356766,2.605475428585521,0.4915759729626692
126,5,244.7571665354169,PrototypeCMR,0.6768372084054626,0.1590316717164225,0.9036252431445633,0.8291128319923372,0.25610053930648524,0.23280840859317312,10.009127466461777,45.49991079887571,5.446944397598705e-06,0.6733564640565968,3.0009699536681373,0.8423432874466795
128,5,158.77342404923363,PrototypeCMR,0.6053752528293952,0.14965316661790953,0.9659551233976649,0.12987693065774883,0.49161552400581043,0.28219018472421326,1.12393481922081,46.538858820940085,0.0013019724537463716,0.5536547406908462,0.8393239177393416,0.3641493853435388
129,5,132.6303661463677,PrototypeCMR,0.7950238921345482,0.18579513187061641,0.9465829203131269,0.19787106011281164,0.7302987970556002,0.5269133767351819,14.975755442973535,52.515576086847815,0.0004113763280539934,0.7293334001175552,1.5730660637008356,0.920914441139422
130,5,167.59869619414044,PrototypeCMR,0.6940034073175714,0.23521552264285764,0.7687856553184387,0.5134550874201225,0.3529471134525885,0.18655705162380576,7.76646424893473,12.316941339873901,0.001340186625825122,0.5088407200535261,1.9270673779012562,0.45443730118020814
131,5,128.00750597484713,PrototypeCMR,0.5181813409344526,0.10414908217308104,0.9999848553255094,0.7765338556212573,0.4066553528840393,0.11588323830717846,31.406473540677386,27.399527079655712,0.006027976714255717,0.4646658893280942,1.857921389722037,0.9068774228934953
132,5,147.73871605534467,PrototypeCMR,0.36633991713059455,2.220446049250313e-16,0.8183666091379427,0.2814803036976427,0.5367954706567217,0.035774301386259616,38.519238841504986,0.5682486479652809,0.0007025072431387009,0.6128807995332193,1.562827706033072,0.9999999999999998
133,5,155.9235755605414,PrototypeCMR,0.8386468454844452,0.00574683054913487,0.006744642765075084,0.15924703216904537,0.3113574280078894,0.712150374351487,7.683107698212985,59.42083013201474,0.01955771471342177,0.1953051536072525,1.4569107954509648,0.9999629302662315
