subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,300.99484748031335,free_2_primacy_decay_Semantic_CMR,0.6844854044095336,0.24830053434684352,0.024098879690948594,0.7626038536384918,0.33053990747146467,0.7318185142206102,0.47246447983787776,1.7730923061337194,55.17179196803686,0.7619356175168193,0.001974354978831916,0.6063796147304084,0.1601320965042552,5.584564788959552,0.6186390883876329,0.13003389661750742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,312.1214324458641,free_2_primacy_decay_Semantic_CMR,0.48409780527386265,0.06484182476447015,0.18517963342088767,0.4220541929387055,0.7334685334178578,0.8825098926229413,0.5306452774298532,21.7936136900165,33.51081889489865,52.383911165048815,0.0020643136579211463,0.4449994328225184,0.3046645653469575,2.8935785947511294,0.23222230121782095,4.9366924834469454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.87389321215585,free_2_primacy_decay_Semantic_CMR,0.36820359758162924,0.2547049035847431,0.47616260870126687,0.7667435739973797,0.16094793289359,0.16680193284603578,0.17794025131951946,2.500901601419649,13.680008111544197,54.812932987488296,0.007665873051592498,0.3268893706281002,0.2834467569179866,2.430598529498709,0.5504808682418797,0.7323609750675235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.0115471756077,free_2_primacy_decay_Semantic_CMR,0.7585079384802982,0.22914866948204948,0.6981657159280914,0.7154540908608361,0.39929680299492776,0.20866681350516536,0.9003513766778912,0.33269249827526437,94.37571647155173,72.64406512368589,0.010710462939424015,0.12008917879743475,0.08977368172638034,9.301823760101856,0.6742806940704519,0.16422151870955304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,240.1099098606508,free_2_primacy_decay_Semantic_CMR,0.5906155522866046,0.6670964714157829,0.859565122760265,0.9962559401893893,0.6079313552768124,0.25435809130620946,0.5346249000743326,23.384553348652215,4.0129019207693375,0.5111619581292288,0.003223580152688532,0.41531689881005285,0.4210488215427084,1.6203874656968544,0.8255377537253363,1.494150469105736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,269.1101933428422,free_2_primacy_decay_Semantic_CMR,0.9057311689773095,0.27275103393643496,0.9780501689530967,0.6896530418308913,0.6316636457143923,0.10090314640322184,0.7325112096680055,2.689964972931115,58.59246973753085,0.013692741925353857,0.008028798498454393,0.35046765426973003,0.28673468334356933,3.866675947416968,0.040095793197886864,0.5714756608265228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.34662710262987,free_2_primacy_decay_Semantic_CMR,0.5578257784871898,0.10935149239526526,0.22369498345003302,0.14258883999131977,0.1113095350110308,0.7616595850488617,0.7804160725191386,9.55539464387136,23.792851384611257,82.86710133836445,0.0638779523019814,0.4886630994416379,0.18723850664011366,2.7068463160609237,0.38671251356469666,1.8307870950861203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.44884267263518,free_2_primacy_decay_Semantic_CMR,0.4963563113815194,0.02351845614465936,0.7185153872406923,0.9525620012132493,0.09590403024187405,0.7057094008378569,0.4855370681868452,0.4791353117589736,23.34912550731777,63.69870005096022,0.01203870186835515,0.21172372311590504,0.0925815582055165,9.82164315325454,0.7835997003470618,0.556907385190109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.64650119003957,free_2_primacy_decay_Semantic_CMR,0.7320383798258038,0.1496333970219284,0.5044106927193691,0.8015633550034416,0.4556847123251826,0.7285346203096684,0.32657658624492014,0.26138155404840546,37.54591248711058,74.10887225733657,0.0053137831494559085,0.42490360921183257,0.3180718130020104,6.146639599833503,0.1387502074907429,0.9761166017800029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.6375866392225,free_2_primacy_decay_Semantic_CMR,0.9133335422680715,0.0709612317264216,0.5841496076187527,0.8512447269440602,0.4308719073360867,0.3213833307601933,0.10011324669370131,0.9110597049160418,13.841158438210101,75.65135070669498,0.012046103780015471,0.2006981999144708,0.2274117309169279,5.295084786238544,0.22729884505110032,0.37684739171884285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
