subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_semantic_scale
1,8,311.6068904581224,free_1_delay_drift_rate_Semantic_CMR,0.6813525017872147,0.15988295081740106,0.11740841345661174,0.8183740934247272,0.2837727987712563,0.8385477434135005,0.4934337636749932,0.8445872459568022,46.38858618717803,0.016894201077277293,0.09881546923787798,6.051212306960538,0.7157744822462462,0.3530479219460557,0.18846030886628728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,313.329689232952,free_1_delay_drift_rate_Semantic_CMR,0.639247036105439,0.15949790150786175,0.49598169352668403,0.09977275878532493,0.512461904916228,0.07129748972026873,0.862353347556656,2.306849652738393,82.45818711460399,0.006704051639499553,0.22073442717580427,5.8804705043458005,0.37211033535710697,0.6273578002986895,0.990578478758021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.8343672481319,free_1_delay_drift_rate_Semantic_CMR,0.467276956733107,0.16715396776761002,0.20686054413735175,0.3629348672267175,0.7533792538197326,0.7284073339452226,0.2722051485570299,1.8198056459678968,55.604469067468465,0.00837025604054704,0.2629300001281831,8.401908306592103,0.7802078676380677,0.7486680689825325,0.48582468674568974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,411.8279104680919,free_1_delay_drift_rate_Semantic_CMR,0.7379373475531432,0.5526152195591221,0.5991570779736607,0.7944509203788656,0.26804024608087734,0.17671927236934126,0.9284081733547431,0.267029842398955,57.10938750814874,0.005964779086480798,0.13154530666881037,6.847507444988628,0.368694184365736,0.9005526134658872,0.2116317870754223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,237.9296809297743,free_1_delay_drift_rate_Semantic_CMR,0.43198206059482214,0.34000095028889993,0.7816576907541362,0.9673993759924973,0.5148638047858087,0.17459463361198302,0.8013246237561952,6.41117468026828,0.9292760629301383,0.010449618329201434,0.3109352380391347,3.06394937462976,0.99564734073826,0.1410168671600233,0.6448693395281617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,263.523662107664,free_1_delay_drift_rate_Semantic_CMR,0.8950428073842678,0.07130514752846379,0.908548942451807,0.90500735645893,0.6195404157376252,0.7235330281968686,0.1679881533790415,1.1115369383329963,82.779654047946,0.0046611375155923285,0.3660773600413627,7.530697130198467,0.9922572909625164,0.23373687337657784,0.18303899173613658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.64510783266536,free_1_delay_drift_rate_Semantic_CMR,0.5279827810660965,0.45296978344287175,0.2400555543996991,0.5416668210152861,0.17891013796142924,0.5641473473462421,0.044542654803266135,4.90137715587872,60.025127189844596,0.10273815714885742,0.1979939458086024,2.5713971098634456,0.5745145782543736,0.1835052240143355,1.7044502624754294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,254.68647058572554,free_1_delay_drift_rate_Semantic_CMR,0.6392650321616173,0.126376394830586,0.5853682330126879,0.9307602050439556,0.10849254854265938,0.6455312657700207,0.5453827546481783,0.33796982320813385,72.73342774901272,0.05515098651584449,0.036620083132147485,8.083568198943098,0.9069225649998227,0.764799176604249,0.4758282981804136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.8778661365538,free_1_delay_drift_rate_Semantic_CMR,0.799499300085504,0.028851102469610035,0.11680588769792694,0.977916607700478,0.15446110312444683,0.4239985284935933,0.6102195529291494,8.061813976418094,7.686913458188684,0.006876846008884663,0.3142307809393605,3.5747187843111163,0.02576480253665714,0.49870629775879155,1.8874684847472167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.1799545561746,free_1_delay_drift_rate_Semantic_CMR,0.9346064491065131,0.2519245968166093,0.5469915282867635,0.9994468223748297,0.21394268125517357,0.45624050393927434,0.9337492255859643,4.234161916082179,52.13310557140797,0.009654870298622775,0.28071491007875604,2.513292390927912,0.15922444301612337,0.3252069306936609,1.6839928378581397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
