subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,302.0578756979654,free_4_primacy_decay_Semantic_CMR,0.7828575863854781,0.09803721386722042,0.5083545356790857,0.7744806950473391,0.38203605676056457,0.04172718973988215,0.024288436007650738,0.8153939263587144,1.5184420423637661,6.747514904732434,38.14937083679177,0.0049994300974677275,0.45518613909383365,0.15011646376695786,5.270040621188227,8.20569203555961,0.4826867033716493,0.1267669589238034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,309.20856787907763,free_4_primacy_decay_Semantic_CMR,0.6149726349805038,0.3834129647048265,0.8724313790423956,0.32367548901771326,0.6026335996754374,0.3905724743066663,0.44137967816712476,0.8316309554683867,6.527873544246567,13.808260413627238,0.16264941479702344,0.016302682027958815,0.27093852770734905,0.1347478296084521,4.882666818269353,4.387136729579537,0.2840732443924703,1.5255770465933938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.4005962344136,free_4_primacy_decay_Semantic_CMR,0.3879136824965354,0.08650277669630746,0.39945802403521624,0.5597820753402815,0.44123320607366456,0.6155432138550263,0.7328656465304786,0.9716115142692048,2.6662792374802393,73.73580660167416,67.8108337947092,0.0036957845142385204,0.40062779008269267,0.3540132482071119,1.6489164992869565,4.004323798733852,0.8157848555945275,2.4678883737218325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.15475500206287,free_4_primacy_decay_Semantic_CMR,0.7319411265874266,0.1851427029625729,0.6284387884785256,0.7510019309222468,0.23789276560272338,0.8787837639447678,0.2167299382313974,0.637000270879706,0.7599055516111264,56.23816335686396,65.09049264044748,0.017248942453036875,0.10987331875755046,0.029104971817469405,5.155202158958188,6.602931230582985,0.7232234266831603,0.205679943567171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,241.98715459159416,free_4_primacy_decay_Semantic_CMR,0.5932115558619636,0.14895093686729827,0.6414616187802777,0.5765766421545402,0.7222138824766272,0.6399190185716843,0.6619694294257691,0.534509853646923,94.85777042031576,65.54513812313508,0.8981244705431521,0.02047480812828134,0.26189345762832517,0.27678253621361737,0.7829532838771032,2.510998032147911,0.4517577772679017,4.932354256636753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,272.1520604371092,free_4_primacy_decay_Semantic_CMR,0.9837877796534334,0.18961276268063634,0.6252072623893918,0.3803971541026475,0.8834494242623395,0.5890691152855309,0.8078989054852806,0.8972619907949801,3.1474503740862807,44.7065187054478,47.09575260108162,0.012674370411622662,0.24643521346873482,0.21107548287965555,1.7888057139096276,5.666702633748884,0.01820845409673836,1.7389994475457293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.41152531679145,free_4_primacy_decay_Semantic_CMR,0.5509246597329398,0.29437474926875284,0.5918413337878061,0.8924193230394188,0.21952671761292197,0.8147878204005201,0.21739379169160078,0.0694102606120916,7.92170580090734,75.12941248761659,39.17747889868507,0.04900894687225238,0.41276971428817255,0.2597004313558262,2.7936832465668484,2.519397700991761,0.1975536235155022,1.0722449961968703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.35004747187224,free_4_primacy_decay_Semantic_CMR,0.5488805248611003,0.12408816452894783,0.6242776014851321,0.9134802024582791,0.14330742276672231,0.4906079354947943,0.7808970813861068,0.3899781021479238,0.1417445759222673,59.584699250196024,59.768704127938136,0.015418516839771745,0.14794569997431495,0.09002497941667453,8.664123753972756,9.975492973012312,0.7848486724449619,0.5641398300553231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.53273327794898,free_4_primacy_decay_Semantic_CMR,0.8425629519963321,0.02868291741571834,0.1629621994483364,0.9398594570795782,0.3500124378904531,0.8416413549556119,0.350842622754779,0.7527211997742576,1.9232880825238379,52.73122470713367,80.40000319345062,0.0040348966720260525,0.4602020581121867,0.3518057349412802,3.7124456675088533,4.459146019804364,0.0694953581383464,1.3320370135648514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.5302666844193,free_4_primacy_decay_Semantic_CMR,0.9610591640727291,0.015374347300670888,0.7068123352293522,0.2995454482263009,0.21430317786151126,0.9093201116006369,0.09400685247169588,0.2910331133209313,6.506373843177002,44.40187619106044,62.57265660924959,0.004444265848686346,0.3727062734193556,0.3761180567566651,2.1964727708497755,2.884935048020869,0.1219769626327879,6.505809297247671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.03629176807537,free_4_primacy_decay_Semantic_CMR,0.48992094415594856,0.09970558827348946,0.26886411007534244,0.9441095019736898,0.007717562928843569,0.736135462409176,0.5331093900870407,0.487370546715082,0.17155282785972048,68.79310712963206,40.301423701510224,0.002599769872768054,0.6869778961187611,0.635840799804618,9.793436546285815,9.419629778047018,0.8789188338598519,1.4013837229132369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
