index,subject,bin,prob,source
1,24,0.0,,data
2,24,0.0,,data
3,24,1.0,0.0375,data
4,24,1.0,,data
5,24,1.0,,data
6,24,1.0,,data
7,24,1.0,,data
8,24,1.0,,data
9,24,1.0,,data
0,25,0.0,0.08506224066390042,data
1,25,0.0,,data
2,25,0.0,,data
3,25,1.0,0.0300187617260788,data
4,25,1.0,,data
5,25,1.0,,data
6,25,1.0,,data
7,25,1.0,,data
8,25,1.0,,data
9,25,1.0,,data
0,26,0.0,0.10677966101694915,data
1,26,0.0,,data
2,26,0.0,,data
3,26,1.0,0.02442528735632184,data
4,26,1.0,,data
5,26,1.0,,data
6,26,1.0,,data
7,26,1.0,,data
8,26,1.0,,data
9,26,1.0,,data
0,28,0.0,0.14150943396226415,data
1,28,0.0,,data
2,28,0.0,,data
3,28,1.0,0.018094089264173704,data
4,28,1.0,,data
5,28,1.0,,data
6,28,1.0,,data
7,28,1.0,,data
8,28,1.0,,data
9,28,1.0,,data
0,30,0.0,0.088379705400982,data
1,30,0.0,,data
2,30,0.0,,data
3,30,1.0,0.037037037037037035,data
4,30,1.0,,data
5,30,1.0,,data
6,30,1.0,,data
7,30,1.0,,data
8,30,1.0,,data
9,30,1.0,,data
0,31,0.0,0.09259259259259259,data
1,31,0.0,,data
2,31,0.0,,data
3,31,1.0,0.02549800796812749,data
4,31,1.0,,data
5,31,1.0,,data
6,31,1.0,,data
7,31,1.0,,data
8,31,1.0,,data
9,31,1.0,,data
0,32,0.0,0.08727272727272728,data
1,32,0.0,,data
2,32,0.0,,data
3,32,1.0,0.0272,data
4,32,1.0,,data
5,32,1.0,,data
6,32,1.0,,data
7,32,1.0,,data
8,32,1.0,,data
9,32,1.0,,data
0,33,0.0,0.08301158301158301,data
1,33,0.0,,data
2,33,0.0,,data
3,33,1.0,0.030795551753635585,data
4,33,1.0,,data
5,33,1.0,,data
6,33,1.0,,data
7,33,1.0,,data
8,33,1.0,,data
9,33,1.0,,data
0,34,0.0,0.05482456140350877,data
1,34,0.0,,data
2,34,0.0,,data
3,34,1.0,0.037463976945244955,data
4,34,1.0,,data
5,34,1.0,,data
6,34,1.0,,data
7,34,1.0,,data
8,34,1.0,,data
9,34,1.0,,data
0,35,0.0,0.1147011308562197,data
1,35,0.0,,data
2,35,0.0,,data
3,35,1.0,0.02425876010781671,data
4,35,1.0,,data
5,35,1.0,,data
6,35,1.0,,data
7,35,1.0,,data
8,35,1.0,,data
9,35,1.0,,data
0,36,0.0,0.05303030303030303,data
1,36,0.0,,data
2,36,0.0,,data
3,36,1.0,0.038331454340473504,data
4,36,1.0,,data
5,36,1.0,,data
6,36,1.0,,data
7,36,1.0,,data
8,36,1.0,,data
9,36,1.0,,data
0,38,0.0,0.08118081180811808,data
1,38,0.0,,data
2,38,0.0,,data
3,38,1.0,0.03330625507717303,data
4,38,1.0,,data
5,38,1.0,,data
6,38,1.0,,data
7,38,1.0,,data
8,38,1.0,,data
9,38,1.0,,data
0,39,0.0,0.07289293849658314,data
1,39,0.0,,data
2,39,0.0,,data
3,39,1.0,0.03066271018793274,data
4,39,1.0,,data
5,39,1.0,,data
6,39,1.0,,data
7,39,1.0,,data
8,39,1.0,,data
9,39,1.0,,data
0,40,0.0,0.11494252873563218,data
1,40,0.0,,data
2,40,0.0,,data
3,40,1.0,0.02743142144638404,data
4,40,1.0,,data
5,40,1.0,,data
6,40,1.0,,data
7,40,1.0,,data
8,40,1.0,,data
9,40,1.0,,data
0,41,0.0,0.0916030534351145,data
1,41,0.0,,data
2,41,0.0,,data
3,41,1.0,0.02945205479452055,data
4,41,1.0,,data
5,41,1.0,,data
6,41,1.0,,data
7,41,1.0,,data
