subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
1,240,4475.6244827060955,ICMR_1_1_0,0.7873874462055138,2.220446049250313e-16,0.6398167370248294,0.0037539176479792612,0.9999999999999998,0.19643897661173076,7.926952724322205,81.81238421640126,0.018973416335179693,0.3509723432657157,1.3768885391987513,0.350646011870039,1,1,False
2,240,5685.189632631598,ICMR_1_1_0,0.6852714986106346,0.007647644480274416,0.8622769894674087,0.0048846981343840384,0.9999999999999998,0.10063274605289077,8.642179450180436,40.269544803469785,0.01428234978047413,0.3189669564957429,1.4431520265192157,0.9873793194188434,1,1,False
3,240,5284.505398328885,ICMR_1_1_0,0.7454962577140849,2.220446049250313e-16,0.7205206904130478,0.005740197873178432,0.9999999999999998,0.1339831885119996,6.848343223547479,56.04589367208792,0.019733029336178265,0.2959420855089947,1.5708860408886338,0.8706226426576196,1,1,False
4,240,5271.46803600605,ICMR_1_1_0,0.7394506037881743,0.03624447355647671,0.9505356750620269,0.004366535958728739,0.9546783181731022,0.12295911532463581,5.901939774717259,44.359368178479656,0.030162944250298588,0.2458606089474469,1.2180720969672014,0.6445757874073461,1,1,False
5,240,5558.043586917212,ICMR_1_1_0,0.7456550529991667,2.220446049250313e-16,0.6953862389099565,0.005367040230279815,0.9999999999999998,0.1760573165981779,7.388444666690266,22.94522723058664,0.01801633715232131,0.28465080803477755,1.5527429959012997,0.9631779926723794,1,1,False
6,240,5798.961258155088,ICMR_1_1_0,0.7737240695314357,2.220446049250313e-16,0.7869947934005336,0.01096496737029001,0.9999999999999998,0.3449573105385131,4.090023462226932,36.06108551598849,0.015427481032459051,0.28963209555814795,1.9231065617905159,0.6117471276377225,1,1,False
7,240,4926.200097928954,ICMR_1_1_0,0.8106717152476597,0.020803971017930294,0.6979315508331422,0.003704900907356702,0.9999999999999998,0.15323577626324955,9.750305730597098,47.325502915556015,0.03824725930672577,0.22772453519064173,1.204714770992347,2.220446049250313e-16,1,1,False
8,240,4448.080879611223,ICMR_1_1_0,0.6172544722236367,2.220446049250313e-16,0.6776566188611387,0.0056310019738318225,0.39936907912111463,0.12050304074686419,3.2845862875915635,1.1482987897262427,0.022137957997590236,0.3353079494852032,2.596596597225905,0.9999999999999998,1,1,False
9,240,4821.534168384768,ICMR_1_1_0,0.7824306065542254,2.220446049250313e-16,0.8197399324683642,0.005423802416561212,0.9999999999999998,0.2171234377644459,5.77479800718818,26.226805576656652,0.02953003028005512,0.24863226722215997,1.5006087040735205,0.9679275067203175,1,1,False
10,240,5495.888649382611,ICMR_1_1_0,0.7156751057604908,0.03471116891919169,0.8332313538825146,0.006079001536439714,0.9999999999999998,0.11866076267190666,8.599479261757406,84.6097101958045,0.019537772542052446,0.2960507367756579,1.441672871993448,0.8471972633264466,1,1,False
11,240,4688.702756768477,ICMR_1_1_0,0.6884488271798418,2.220446049250313e-16,0.8434819960496437,0.005432017141213844,0.9999999999999998,0.17441581417109786,7.963809685448156,79.47059130143099,0.02950082851859069,0.2581281324051313,1.7098077111586099,0.9981107569804932,1,1,False
12,240,5309.952677502985,ICMR_1_1_0,0.6280401342410243,2.220446049250313e-16,0.7980811846012931,0.011690823321956053,0.7867668926076059,0.18278203425047812,4.031906297722203,24.586710125066336,0.022495904809569953,0.28109232667205597,2.5405800454755387,0.9999999999999998,1,1,False
13,240,5950.89961677393,ICMR_1_1_0,0.7557991521831487,2.220446049250313e-16,0.8550269535030561,0.004664332538556535,0.6078957355265565,0.1660051719965822,4.484876348929952,93.04104452100253,0.011119359782520963,0.29993699090540066,1.6981226804818552,0.9998708833204218,1,1,False
14,240,6358.462224463504,ICMR_1_1_0,0.7190799614298294,0.029879570438504754,0.8388205342833007,0.0056638810146732894,0.9999999999999998,0.1593646316674554,7.238760248461302,1.7957730041000028,0.011735233802895968,0.3093416168612163,1.389261667664416,0.9386701135408213,1,1,False
15,240,5395.6109707135965,ICMR_1_1_0,0.673490704213411,2.220446049250313e-16,0.5614829196913964,0.00954879740022667,0.9999999999999998,0.07396069419549563,6.376735903844224,18.014785167028748,0.022743527893193373,0.2853880905020804,1.869666763944309,0.9825904843590691,1,1,False
