index,subject,input,recall,source
5,79,6,0.0,data
6,79,7,0.0,data
7,79,8,0.0,data
8,79,9,0.0,data
9,79,10,0.0,data
10,79,11,0.0,data
11,79,12,0.0,data
12,79,13,0.14285714285714285,data
13,79,14,0.10714285714285714,data
14,79,15,0.03571428571428571,data
15,79,16,0.7142857142857143,data
0,81,1,0.0,data
1,81,2,0.0,data
2,81,3,0.0,data
3,81,4,0.0,data
4,81,5,0.0,data
5,81,6,0.0,data
6,81,7,0.0,data
7,81,8,0.0,data
8,81,9,0.0,data
9,81,10,0.0,data
10,81,11,0.0,data
11,81,12,0.0,data
12,81,13,0.0,data
13,81,14,0.03571428571428571,data
14,81,15,0.42857142857142855,data
15,81,16,0.5357142857142857,data
0,82,1,0.0,data
1,82,2,0.0,data
2,82,3,0.0,data
3,82,4,0.0,data
4,82,5,0.0,data
5,82,6,0.0,data
6,82,7,0.0,data
7,82,8,0.0,data
8,82,9,0.0,data
9,82,10,0.0,data
10,82,11,0.0,data
11,82,12,0.03571428571428571,data
12,82,13,0.0,data
13,82,14,0.03571428571428571,data
14,82,15,0.39285714285714285,data
15,82,16,0.5357142857142857,data
0,84,1,0.03571428571428571,data
1,84,2,0.0,data
2,84,3,0.0,data
3,84,4,0.0,data
4,84,5,0.0,data
5,84,6,0.0,data
6,84,7,0.0,data
7,84,8,0.0,data
8,84,9,0.03571428571428571,data
9,84,10,0.10714285714285714,data
10,84,11,0.10714285714285714,data
11,84,12,0.10714285714285714,data
12,84,13,0.25,data
13,84,14,0.17857142857142858,data
14,84,15,0.07142857142857142,data
15,84,16,0.10714285714285714,data
0,85,1,0.75,data
1,85,2,0.14285714285714285,data
2,85,3,0.03571428571428571,data
3,85,4,0.0,data
4,85,5,0.03571428571428571,data
5,85,6,0.0,data
6,85,7,0.0,data
7,85,8,0.0,data
8,85,9,0.0,data
9,85,10,0.0,data
10,85,11,0.0,data
11,85,12,0.03571428571428571,data
12,85,13,0.0,data
13,85,14,0.0,data
14,85,15,0.0,data
15,85,16,0.0,data
0,86,1,0.14285714285714285,data
1,86,2,0.07142857142857142,data
2,86,3,0.03571428571428571,data
3,86,4,0.0,data
4,86,5,0.0,data
5,86,6,0.0,data
6,86,7,0.0,data
7,86,8,0.0,data
8,86,9,0.03571428571428571,data
9,86,10,0.0,data
10,86,11,0.07142857142857142,data
11,86,12,0.07142857142857142,data
12,86,13,0.14285714285714285,data
13,86,14,0.2857142857142857,data
14,86,15,0.10714285714285714,data
15,86,16,0.03571428571428571,data
0,87,1,0.0,data
1,87,2,0.0,data
2,87,3,0.0,data
3,87,4,0.0,data
4,87,5,0.0,data
5,87,6,0.0,data
6,87,7,0.0,data
7,87,8,0.0,data
8,87,9,0.0,data
9,87,10,0.03571428571428571,data
10,87,11,0.0,data
11,87,12,0.0,data
12,87,13,0.0,data
13,87,14,0.03571428571428571,data
14,87,15,0.07142857142857142,data
15,87,16,0.8571428571428571,data
0,88,1,0.14285714285714285,data
1,88,2,0.07142857142857142,data
2,88,3,0.0,data
3,88,4,0.0,data
4,88,5,0.0,data
5,88,6,0.0,data
6,88,7,0.0,data
7,88,8,0.0,data
8,88,9,0.0,data
9,88,10,0.03571428571428571,data
10,88,11,0.0,data
11,88,12,0.0,data
12,88,13,0.0,data
