subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,1_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_delay_drift_rate,1_semantic_scale
12,8,95.21049132149932,free_3_stop_probability_scale_Semantic_CMR,0.47994106324399033,0.09301936709853903,0.6899840579763447,0.9715652123205233,0.011011321813802821,0.2010881129820955,0.7178562967667165,0.07745674261752811,74.75331670675291,0.01259211621065659,0.002344673390909102,0.48203965381473335,0.6521626597288481,9.922015352017585,9.822963092803436,0.9854689569246736,1.202255827659787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.56750971845668,free_3_stop_probability_scale_Semantic_CMR,0.9509454443540553,0.7268267871141734,0.8618783693974954,0.9377048746644207,0.6037267342424487,0.9141276065856135,0.6616710120599061,3.9435075088855958,59.17425396158947,0.004508320493629139,0.005396937136527613,0.5939966923481745,0.2860651828726423,3.4072073524526774,4.352741122921611,0.3828280903289688,1.0462430766176452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,300.9709096444633,free_3_stop_probability_scale_Semantic_CMR,0.7456074370810551,0.8203310303889861,0.6748115149869769,0.8508246141484119,0.6134643862596918,0.36327936820698764,0.6592284544975376,0.363978124574011,34.236990324719905,0.00338171251076147,0.04150926854533732,0.3284588405944291,0.048098738716909395,5.376023253210786,4.566702987602075,0.5228482570679082,1.133876178926097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.91694841030716,free_3_stop_probability_scale_Semantic_CMR,0.7117169430092727,0.0762161700015363,0.35985371220347445,0.8346507575990263,0.8239475070930224,0.7983495996823897,0.5697300834415815,0.01593902704730965,58.78669106190163,0.0069718857097551545,0.025249783406626203,0.3115540729470432,0.11266561139421594,8.292781635014773,7.324954797575581,0.3401447791362988,0.6120223653106454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.76708002422419,free_3_stop_probability_scale_Semantic_CMR,0.32742425796248253,0.06342193991265604,0.009723517000312987,0.7623605867531136,0.13807368033236195,0.7865490591711986,0.7875853183132332,4.828288479731661,53.57795580575604,0.08571298844189507,0.057481795709111216,0.07073920985458049,0.22519004019579203,1.7501402164947288,3.0579252892412496,0.04785415579527608,2.466707055050166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,273.31357515008403,free_3_stop_probability_scale_Semantic_CMR,0.7044931918162266,0.054479758678853685,0.5759326207896805,0.9666551684651744,0.17915722686537178,0.5226589343600037,0.30472431142949385,11.13072834914096,0.7217134517167096,0.019667759102638682,0.007023485809489638,0.2536655977832041,0.26973577640218505,2.242212166023937,2.926263794590387,0.12212131546780253,0.4163931482763541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,244.7685457691312,free_3_stop_probability_scale_Semantic_CMR,0.6670266102851696,0.1488632534177181,0.24576519237781302,0.14015032160327945,0.44086723263619876,0.9529591944685836,0.8812617058926808,2.63457118189514,46.88136137924455,0.07672304964239207,0.03170179803291773,0.09236606532006064,0.16488432419876453,6.115958390805291,5.885748844497829,0.12498788965532387,0.5184626254087981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,266.1203014231891,free_3_stop_probability_scale_Semantic_CMR,0.5663175298995237,0.44123270504871426,0.4127937374145767,0.6876193124088175,0.8532042382206586,0.8333635770085472,0.9407505914031606,2.9307553009515743,21.822451131974873,0.02553510986751978,0.007230067290223685,0.29951596932449664,0.23974722028302242,2.309389275476437,4.361862390110422,0.3019515438607132,1.5635747029779168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,266.1256886283313,free_3_stop_probability_scale_Semantic_CMR,0.7164857729309035,0.6077033822487509,0.3668982153218275,0.9200988987536205,0.509896128213416,0.8108612899319075,0.7842152228752365,0.6711089258599117,0.19962388262986508,0.05263849038718044,0.06272178264760936,0.09474878422839694,0.08299536909380922,2.977915016556969,6.226237294416696,0.41637407811570676,0.34660201668204316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,300.0860155868827,free_3_stop_probability_scale_Semantic_CMR,0.6147781645180728,0.09495281057795762,0.2634003151703524,0.956351589971799,0.6055436703330922,0.7294855212175906,0.7847254349991505,11.22364398715785,92.55955778979904,0.03251106235403106,0.008612019037786689,0.14705658423232482,0.24771904867313665,7.950902143877153,4.760758047913063,0.016732593736393186,0.4625481028703664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,271.0477093102092,free_3_stop_probability_scale_Semantic_CMR,0.69643376394315,0.7933782812164735,0.4378211745247933,0.97475431669133,0.7785762477840248,0.24470243770102712,0.8034580291253137,0.35656864579463843,48.535873271391964,0.05734375881679954,0.022353342788619113,0.053118457929271834,0.11625647664074279,9.19262253851559,7.991619201001492,0.04125143950792065,0.3167383415539895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
