subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate
1,8,307.1079480243868,free_3_semantic_scale_Semantic_CMR,0.6356515606974129,0.2968379867713914,0.6469514866911368,0.772699376923267,0.3515151595457655,0.7613516013031915,0.5271388638751952,2.5152359860661093,0.2975523499614994,0.020795026042088383,0.41023352916723255,0.031825293833966484,1.3171421214008427,6.6407315531189415,0.28105205378065945,5.207135108284463,0.3023810826563622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,312.2481041679798,free_3_semantic_scale_Semantic_CMR,0.5023780278927762,0.3865996800701784,0.6442995541207104,0.6156394412549389,0.7120915535401561,0.39782310195773213,0.3421085163069917,10.760265842871355,0.3429682519380606,0.008969656867796771,0.32298622838457014,0.1504983274442111,1.992344147678657,3.225120350418615,0.7947542559865128,7.700231782045131,4.183977880727929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.2440584200167,free_3_semantic_scale_Semantic_CMR,0.3648334637904589,0.06866751714284897,0.44690992814904595,0.2517909285645825,0.9095062099215485,0.23480276569085323,0.21027252739951285,7.241512224485277,99.42704189869026,0.001211756552091936,0.45351200027434135,0.44408193337266955,3.071564750520656,2.8111545204168893,0.020242800362149982,1.9401740319640148,3.1251187273087773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.2507505243025,free_3_semantic_scale_Semantic_CMR,0.7595045850521525,0.06144880096770122,0.7636029570042183,0.7136212217210478,0.3058745327050758,0.7573779950639963,0.7280218874494072,1.1843954647721446,38.078785377896935,0.003155877997410128,0.17853241392124186,0.18123291157128119,5.797529841902933,7.956938760320307,0.8822230583255619,0.2081295910768377,0.1797339886519449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,244.85626226529143,free_3_semantic_scale_Semantic_CMR,0.5065541880200787,0.5014248679681597,0.6814954096056085,0.5842344242371921,0.7270756433838008,0.5056914208437131,0.40883905829448425,39.28618680158918,0.5753837080092055,0.014210712855626029,0.364256022167317,0.2155516035177012,0.48291235372142793,2.6527146010767715,0.6695363858653277,3.0219081897044777,4.029132231973777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,268.7037925533603,free_3_semantic_scale_Semantic_CMR,0.8734206868158496,0.002737484545148494,0.46296529608038134,0.6566190055837835,0.8021047838341862,0.6768910146033525,0.5809601263854162,0.45365032624830803,31.707554888675492,0.002125548038033498,0.452740864473836,0.38945872431439366,1.0379999021126327,8.05326997772157,0.01871504556145781,8.209538133003846,0.4506381720818462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,106.58722484318801,free_3_semantic_scale_Semantic_CMR,0.7053742519636327,0.19049036027635385,0.2940711337101143,0.7489649861979683,0.94960286756824,0.2294425124797561,0.10001866332047826,27.82702270890858,1.1847956623926095,0.070516316796709,0.410166474894055,0.16985100917289309,4.005649722648489,1.3487790199532803,0.7884485704327765,0.9387038265630521,7.602168626385646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,244.81738133949648,free_3_semantic_scale_Semantic_CMR,0.5570622504473486,0.09135868534637132,0.6830424923246056,0.9750429067947539,0.10393781214420245,0.3248703194786846,0.5564909077811618,0.1345818017072702,54.14117266995919,0.010515750057356499,0.2362329495835409,0.10285849917474543,7.409474549304711,8.472820631739866,0.6957107533241029,0.7761164466374657,0.3792165591136962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,225.97105630810262,free_3_semantic_scale_Semantic_CMR,0.6334927118422453,0.039939857364993,0.5010563154174713,0.9683094625863952,0.2614072200275298,0.315658913764124,0.022146210087463314,1.0418297580629314,94.93433536405027,0.003609147279497238,0.46063635403694825,0.3774517020243966,5.53255898988917,4.385013010484821,0.08049888152358564,0.7199912853241361,1.489238827940094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,241.17906448386324,free_3_semantic_scale_Semantic_CMR,0.856172947895721,0.06798138219975142,0.7670634904360424,0.8604617857514634,0.9304916604960081,0.40461854164031025,0.5322197921800893,1.0498861144218878,47.21906100876432,0.00426377894122687,0.3048236980591268,0.3650389447707383,6.854985217597247,9.859131942396312,0.08661278425609215,0.5657153654134186,0.8038172916829751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
