subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate
1,8,302.5153079234242,free_2_semantic_scale_Semantic_CMR,0.8576640529324582,0.2770965795328298,0.17253487987707122,0.7175922866842692,0.07498817444525857,0.2904674299312443,0.34898617888225514,21.785230738415933,0.002166948798141277,0.0023947528650477,0.571862020729176,0.1286367682120364,2.064957275634285,0.8760999345638385,4.284792736059862,2.118788261945683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.04840815789277,free_2_semantic_scale_Semantic_CMR,0.6501738447726928,0.036239600827850604,0.04725972033333792,0.6469446078483294,0.7709939828169912,0.7366362111674086,0.9598624426962263,27.21114175402599,67.21910845785445,0.0016707242000572609,0.4763314666120051,0.32710423798268007,2.910542787706088,0.37046628601895076,2.5481866830152313,4.791625584937406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.4564704855683,free_2_semantic_scale_Semantic_CMR,0.5402617015866407,0.019878363046666347,0.312146135830211,0.0935921137821249,0.45460607156061184,0.9481464931561119,0.20479834683007547,11.708152052857749,38.622218929058704,0.0033242953893742877,0.4076672370090595,0.3926955894802262,1.9973292161128948,0.05163843620241931,0.8808585818836718,8.447710819353922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.57192303395504,free_2_semantic_scale_Semantic_CMR,0.758938079864582,0.3845276695177015,0.6987147063539988,0.8570626805120456,0.25160504167140796,0.40445576441705267,0.6603545611935074,0.46102085691603634,62.29276288200323,0.00458314230950152,0.19098182108603456,0.12150990929101013,5.019467959399973,0.6869303742183704,0.26974290822761837,0.21931823252978955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,245.2352539351373,free_2_semantic_scale_Semantic_CMR,0.6779067600379581,0.5353476744426877,0.4516019552433458,0.7394541002205512,0.5653614641136282,0.6244982059549657,0.6268062371342902,58.28521076116999,1.3758210031954832,0.007138217638090361,0.3578742887872295,0.3901515981472192,1.3341718633405035,0.034170643816628044,7.472382452896358,1.810452645835963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.59512801395107,free_2_semantic_scale_Semantic_CMR,0.8941328913886037,0.09369015469419162,0.9375793986452186,0.8848223556440162,0.2761776756728169,0.8597690085444416,0.4362853504281353,6.456290144663178,45.39295811253935,0.003967874418418782,0.39982915395642493,0.35249803433673677,3.077411645506648,0.27144286310941756,0.12274821583806172,3.1811487615974645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.54022837950245,free_2_semantic_scale_Semantic_CMR,0.4200788241918856,0.24159690211714446,0.40379201996025366,0.3265772120377073,0.015135912363218762,0.2798441566371922,0.5909294247999364,13.54905991794665,1.0467205540781563,0.1089729174605169,0.32449697629147156,0.0895704230858243,1.333272486189021,0.6049048855226281,1.9133837455776415,7.982826773374646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,247.14074329404684,free_2_semantic_scale_Semantic_CMR,0.6196720387164005,0.04359423643444843,0.601929122946707,0.9920382603115199,0.3110928967483456,0.42903993520116257,0.5175427610022864,0.22118978769557174,36.966397169398206,0.010176579903087457,0.19386317767894745,0.10345191289179834,9.94592911447679,0.639921607276309,0.8492179698077162,0.35715263669123765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.07700907423288,free_2_semantic_scale_Semantic_CMR,0.6687257531855417,0.022057881972570043,0.3576069213350446,0.854191414409244,0.11669522419690105,0.8580792793121903,0.11254838761880544,5.468911037084522,62.637150850251466,0.0022870311368247184,0.5051421242394492,0.3879164146271047,3.26777173775021,0.016814748441730393,0.7791670278205051,8.160012542454828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.08508188153422,free_2_semantic_scale_Semantic_CMR,0.9985349007812878,0.09127921584665505,0.6487113185306552,0.25963558835492717,0.6279035032964513,0.48810805245237193,0.18887868664292595,12.368212317888059,79.37191774778391,0.010897037665907161,0.27747807260529633,0.23848879124089883,3.9466398118371,0.03607689809286507,0.3270889403382684,5.757856494883176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.18138201969566,free_2_semantic_scale_Semantic_CMR,0.45862250973305246,0.17036832322179596,0.5680489000215772,0.9593789195689872,0.011800985711707734,0.45265149394820664,0.7612825246861272,0.0488656106666312,42.09889994895709,0.005111071507468812,0.5523420321777035,0.528398546000389,9.845351440452232,0.9938717453450756,2.1531617486472476,1.304682056254351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.87654801796623,free_2_semantic_scale_Semantic_CMR,0.9060565284018381,0.8431744292058838,0.41386277906817376,0.9615216674644181,0.1651465071836149,0.7725365014442686,0.49445077911948326,1.2155994719406222,67.67345168461793,0.001692547300840119,0.6796263061912625,0.3506811040371542,2.340055881900885,0.3322482546506735,6.8687219258741115,0.5923197772115528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.52236753609463,free_2_semantic_scale_Semantic_CMR,0.6430811204796356,0.0744410647621625,0.3898572952834058,0.7371503894054001,0.41427115690345745,0.7691173583355844,0.734791996856705,2.191403043779495,58.94253181035087,0.013602013990076545,0.2324680064569593,0.1366275145324094,4.231805576231031,0.9159367963602996,1.783995140200012,2.6210041819656817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,341.9043720610698,free_2_semantic_scale_Semantic_CMR,0.7059518620210204,0.688948980515804,0.5041002691454999,0.9263597832910646,0.19980406048830235,0.7009669745854822,0.8819288646471954,1.1849822599624815,50.24460904778968,0.008170445803498794,0.2992437563869812,0.18638900493920119,3.3408197282855796,0.6666706220207621,1.1070103036788281,0.3722888563315072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.81048224076187,free_2_semantic_scale_Semantic_CMR,0.5087266178764109,0.021564692784760142,0.2650175973090233,0.8958368180260077,0.003118666547296034,0.013807613037777389,0.9177140493987026,9.076919171113154,20.506402361641314,0.057987896010913975,0.14084954816412054,0.2043795073608745,2.2086492085846188,0.34892367105104166,3.99365453828808,1.2596467517080043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
