subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,1_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,300.6250324059997,free_4_start_drift_rate_Semantic_CMR,0.7400573694690084,0.20656913597252535,0.6052467704904607,0.2567458836777359,0.8335376592200747,0.4461170760899071,0.7889103511503159,0.48992492948290817,0.6981461569702929,0.5920936846633964,58.38726398529788,0.012045592142675643,0.4089616193282968,0.07137744066140517,5.8911426003572664,9.206828860230932,0.4906755090705516,0.18959223112391488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,310.0014509233731,free_4_start_drift_rate_Semantic_CMR,0.6820606378148266,0.46921234236600357,0.10814468827795905,0.5176794353756291,0.4435947489407255,0.6515031805452853,0.38266322279629605,0.5435219063189365,0.8322775251814457,6.5200960791437685,86.76241346852878,0.00853664470977937,0.326257135512909,0.19143139487550484,3.483552025364675,4.624960193281734,0.4139066274006882,1.7585492227587978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.9900671442646,free_4_start_drift_rate_Semantic_CMR,0.37413388230786476,0.05190733808848347,0.011004830943638855,0.103040204105523,0.45899516119565453,0.1768582546636311,0.45795800931619846,0.3760221675153789,0.45942561285099837,1.2810002640449127,21.267652234169987,0.0048400246064169705,0.3797474173860076,0.33486406047945483,3.0396072482625573,3.2002606048146784,0.19830393092006693,1.0420819770720504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,410.6722548108531,free_4_start_drift_rate_Semantic_CMR,0.7657565332564875,0.378308348948606,0.4414511927476651,0.7223497531266752,0.7785210635256893,0.3773463153113579,0.7727517591762444,0.1731386512029442,0.6848086500578161,0.4142959762548557,49.555781327228566,0.002549627511775343,0.23543543807269618,0.15709294243699468,6.579224857211861,8.583134751247245,0.8599091603291742,0.1435373703016447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,230.72140188057548,free_4_start_drift_rate_Semantic_CMR,0.7443870883594187,0.2329654134713659,0.4296719861574866,0.9594381567816099,0.956906093013555,0.6840547536608528,0.5651331340517065,0.7364702077452905,0.3854126324884841,11.155859907029196,1.2445912344456431,0.001274256931719564,0.568657660258963,0.5689377676310103,3.737749094206432,3.818308509871712,0.7440693012755291,0.10629713142272657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,264.801811479712,free_4_start_drift_rate_Semantic_CMR,0.8561181046952357,0.2649868508899109,0.13898818797469986,0.9092823288803995,0.9768455701922857,0.6483306327063583,0.06717164319517854,0.897550722412636,0.43238893101751863,0.4512961816986518,31.37182123060192,0.0014648241215954871,0.4777458780501034,0.3826358103175176,3.4787421265979463,6.280602395837155,0.006048645947438591,0.3881319332769859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.40589682674263,free_4_start_drift_rate_Semantic_CMR,0.5223562090232916,0.2762737830944401,0.07159247773434274,0.7636394293206623,0.11012936226124698,0.5339983117670932,0.46657096850089785,0.4804484360074436,0.5867788650026414,26.892745509472498,76.05663056296788,0.0964936614544451,0.4008035859376182,0.2195703239986937,2.5790498262302113,1.668280304042021,0.6580755241345202,3.2467348237706455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.6292976412954,free_4_start_drift_rate_Semantic_CMR,0.5217387861104189,0.03343884308217626,0.032820903794070266,0.8755518030360097,0.947289746195007,0.08674748713927055,0.5368036381580633,0.28447691720826607,0.5941810040301705,0.18482981823637346,39.733305742643,0.0068222048455538475,0.20612842064635561,0.1318347897659118,6.598060443069328,9.828591424993101,0.7092472557784998,0.5306140775230919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.1633525119786,free_4_start_drift_rate_Semantic_CMR,0.7631637800707274,0.08328306427211038,0.2750885311637418,0.45940151587705613,0.9705958072786514,0.17399473015465422,0.8803996722440233,0.6153781540259198,0.28363291326072304,0.15828813424900412,82.021531324697,0.0024725725673691704,0.49809618650383347,0.4084896758228318,4.640912276071666,4.008743328159517,0.3530446969953815,0.8390877865905044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.1468890208073,free_4_start_drift_rate_Semantic_CMR,0.9410936681794353,0.1001620415173768,0.49050166792741917,0.4734083855893851,0.9214452020632767,0.6192514063804696,0.8837313434978097,0.16628141289126275,0.48169317494363323,0.412526741493692,27.80250197654393,0.00233735128433169,0.43541419697504885,0.29253189974753335,3.712397430429482,6.983336692255878,0.1201543922239535,0.5663795340751809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,96.96694710922277,free_4_start_drift_rate_Semantic_CMR,0.512397842832105,0.023587291593926196,0.05572513827166037,0.23592153169323926,0.9585231645346177,0.02517690817152035,0.8652631307103471,0.18950194235880952,0.7419187143427667,0.05171294222054712,27.246816076420416,0.004647295382232408,0.6043180475753136,0.542461906027456,9.541129792350834,9.715734743966559,0.9253626870604952,1.8056326702506609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,219.77461567258396,free_4_start_drift_rate_Semantic_CMR,0.7175656929605294,0.09710616751174733,0.9817029188545139,0.44435380650885337,0.8639904396668672,0.044285359092970156,0.044434365432338085,0.3124662717811103,0.4984399468996028,0.7985314563547377,64.12751334543383,0.008471264060891326,0.5483052476702177,0.25655336207103385,1.8952284505457824,2.2794959904791168,0.04897127220353159,1.53774285004575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,300.392096032361,free_4_start_drift_rate_Semantic_CMR,0.7924909517913534,0.9628490841684533,0.3050903957151576,0.5943899231958597,0.9564043062162959,0.7595406572518767,0.4922314089730993,0.9448276705174004,0.9097464753220301,1.3588740586050818,26.268139854561078,0.011491122769622941,0.24523611269821544,0.09002445991421837,3.7548286385348977,4.933262724379994,0.3426657770594044,1.7180742745503097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,335.0142447095531,free_4_start_drift_rate_Semantic_CMR,0.6514148986807833,0.17477258949696162,0.16908316201809592,0.23895386393073026,0.7614770224859952,0.458522721535639,0.37151546405434344,0.9683287071872301,0.5604063920877582,0.3827549538670283,20.988236800002635,0.0022074957442150267,0.4084146586104529,0.2757199632150016,8.662985413092933,6.849667369781339,0.714833271108273,0.5100397471234981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.76929322568697,free_4_start_drift_rate_Semantic_CMR,0.42727439244857246,0.3212509953219945,0.04294534580872267,0.4617795713729882,0.7476218967723228,0.1298110939418104,0.54424150702076,0.9566601872298597,0.7536594773917672,5.497361672210587,47.97330663893517,0.14794612839863658,0.056238035291582555,0.04765658719805188,2.3848422508136875,3.3258764714272293,0.023076469158873958,2.7722418038871743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.6078560737063,free_4_start_drift_rate_Semantic_CMR,0.8979049191838007,0.1448618902949681,0.3125817200684181,0.040925006645000594,0.9247179367670499,0.5886217311713264,0.6512738960332558,0.43678333792386315,0.34022107504041676,4.768140294607974,40.73444561616425,0.0056823630241134016,0.2973638032976291,0.22792902467859655,6.231199822785207,9.59755681569689,0.2209522909082957,0.2497804941624544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.51733475223165,free_4_start_drift_rate_Semantic_CMR,0.6516112270661047,0.2752109750457119,0.15292990298803133,0.1850590679856503,0.3538088213337807,0.17977042609338195,0.7780747182215468,0.566335265733713,0.4487493796197093,1.202398489651884,37.973347654242794,0.012697792877460923,0.2640946241247102,0.23999636728920848,2.562498613926821,4.239934056608076,0.14207525065981969,0.5832373603547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.4424973605179,free_4_start_drift_rate_Semantic_CMR,0.54640130543887,0.12498505506011635,0.16496351784000715,0.6164359513767943,0.9001121143646722,0.561471766599622,0.5286841237647409,0.4681890364443525,0.8659950731865644,9.715577424717468,71.73727076706732,0.02106789246935243,0.3250272253201825,0.15014425684871543,1.8387565982003249,2.365487831628596,0.2321735865257707,4.803646480574266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.8057111488104,free_4_start_drift_rate_Semantic_CMR,0.5439005058088136,0.07609195234076521,0.7369791505984592,0.1683560561698863,0.5285016418052139,0.3620137309339638,0.869516368244639,0.6690841505139332,0.6851239679020207,1.3247424063065694,44.115962981523914,0.02332527423819336,0.16959949108473626,0.20937708665008348,2.817197310181076,3.415656708810003,0.21141732556665394,1.058659104762091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,298.58428955890645,free_4_start_drift_rate_Semantic_CMR,0.5686636502620129,0.04821541919053918,0.06721712077522907,0.8391210130641382,0.6646603566521442,0.13368715485060945,0.5372736735915674,0.07638370584428772,0.800237241817643,11.244315222949766,72.7866220136523,0.008680983436633039,0.2575876811884319,0.2631576964822475,2.809221589159635,3.0653278709412772,0.1760323227079003,0.6865747964338613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,269.6187819270884,free_4_start_drift_rate_Semantic_CMR,0.5721448161067408,0.4303981339880385,0.9671215269031999,0.4490529478247932,0.9564750929088589,0.10786758053902862,0.582314066397412,0.2601817460687176,0.20034302118842595,1.2168350677907114,79.9931170747539,0.026498279385014034,0.21945791321380437,0.08967030322333791,3.665941134266183,3.006615722426043,0.037739694965995996,0.2258600380046225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,198.84158432257334,free_4_start_drift_rate_Semantic_CMR,0.8251921719977633,0.10667549531641246,0.21426354123250813,0.45918606308039017,0.1911624804893982,0.4496158725440868,0.5292191874681007,0.6009930513038532,0.5479416396959466,17.56533815567586,9.645767488647891,0.007786088976588057,0.620338242270603,0.3930521911884197,2.1995514367894615,2.243614678991511,0.027412014159778675,1.5681263301864696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,180.9186264094842,free_4_start_drift_rate_Semantic_CMR,0.7527469762270677,0.20831801900524882,0.31172618249664896,0.05931119993564238,0.21091155742346124,0.020117954824136586,0.49083707561706796,0.7070062499690491,0.9403798666387206,0.3684847703970675,12.873367563176984,0.01681493866135686,0.5586722747891564,0.2651606718404729,1.3517476095305696,1.3809182296285583,0.03094171410790708,0.4832359315560151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,253.20471402335016,free_4_start_drift_rate_Semantic_CMR,0.6006445554530144,0.1568141736078733,0.6024369017063615,0.3872692627891196,0.9928075750073346,0.7859177720810974,0.7498304525414925,0.5064975771834961,0.06899018143765773,9.516961795652886,49.52360732841002,0.0050890196310935075,0.546199943317879,0.29733017946183654,1.3493842833347973,2.368565651478595,0.31858923684708984,4.587299252361427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,291.13615008893885,free_4_start_drift_rate_Semantic_CMR,0.8506980486992735,0.16862238609537433,0.5014609448699998,0.3221123528009745,0.8668082871826877,0.26019836097318877,0.9699221576605618,0.5112014621436023,0.05244246779266254,3.4644065608413754,58.196624447075465,0.008948342289966382,0.2672817825957887,0.22993218082863187,3.150649719888591,2.8508259003824987,0.2318932365632448,1.7716962663773517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,338.3220667865753,free_4_start_drift_rate_Semantic_CMR,0.7212055278894984,0.12620395033005732,0.502160711133643,0.8940998982661523,0.8541555126518792,0.48802225942587585,0.017490809700726306,0.8297005648230986,0.72696742821133,3.563109868152921,33.049784929988434,0.0030605943814195347,0.30531633599982744,0.22752060813291486,8.078243294575302,8.305788242433499,0.3019444465561075,0.8216381144699989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,258.68202684290185,free_4_start_drift_rate_Semantic_CMR,0.7366882703819291,0.47674397954998754,0.755880189205443,0.6175043789845653,0.746992548735268,0.7682443889008984,0.5070948007521624,0.5812378409848538,0.4436512823405224,15.838442683317744,0.01886269213093783,0.010934668402080516,0.3321633912719717,0.13257251053827623,2.3761484603428675,3.9350660570311744,0.572061278869575,1.9815184741630265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
