subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,311.17456827904397,free_1_primacy_decay_Semantic_CMR,0.6876725387496913,0.22369864787696025,0.34446130056057683,0.8682774701129965,0.3791081336058512,0.37644800219106905,0.5465069994539854,0.8933002694409424,47.378905356567515,26.49579341021959,0.023145913838557353,0.061460759692005595,7.335601190368722,0.482466717405484,0.21689308883286174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.1513406484936,free_1_primacy_decay_Semantic_CMR,0.6814778608803888,0.33467663075073134,0.8353901908347962,0.6634933024012625,0.7037785643632055,0.037264629907557786,0.8356042483476022,19.368283989023123,17.72624086135765,0.4102610377646281,0.041198008595749284,0.10072938434636164,2.0007652667703173,0.10759465662315762,5.3963987246366765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.50518638428275,free_1_primacy_decay_Semantic_CMR,0.26879444476918224,0.10489994661768916,0.18737185166235398,0.9074019805717496,0.08970148373485963,0.249860509983559,0.05593543980512286,4.705539369948397,13.946374453495059,18.526893944831844,0.0029445671328084057,0.36071047990500243,1.2471211296008293,0.619925726498222,2.3703612052724625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.37685083947224,free_1_primacy_decay_Semantic_CMR,0.7045394380272665,0.035608150436153785,0.6467853222872311,0.938448163703182,0.042686593781670334,0.0610755900500074,0.6392531977481624,1.095301604404689,38.69799067615899,36.39551252122155,0.004841782426342922,0.14856973532905293,2.902069282867803,0.9604242016592384,0.19433853288028669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,234.2372112382949,free_1_primacy_decay_Semantic_CMR,0.5933766606085714,0.6192098807890708,0.9883993066786895,0.9837927740608547,0.8717277003806171,0.5239343934297793,0.7986144454495009,8.879195441711296,26.62849368909919,0.9396240906868074,0.004665727238973177,0.3944693901444705,3.465936840071346,0.3496661111928821,0.5055861725369174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.1302766385521,free_1_primacy_decay_Semantic_CMR,0.7438704816235604,0.12842577713130654,0.39350888974850234,0.8605508698931614,0.29705090987850935,0.5000076198583143,0.7134004488434065,3.048680684381381,62.79304834108929,62.09495648864295,0.00418945537072446,0.3540510962587913,3.182698093382453,0.2719796369682722,1.133496800059489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.36895392889167,free_1_primacy_decay_Semantic_CMR,0.45801635238632304,0.37596800540203373,0.6826010161816846,0.8214056677297539,0.0012043388672764443,0.48041059053466567,0.19374281294056894,4.409982061540859,48.104310668527496,59.237790080226446,0.10159438933770326,0.19185550366593773,2.4020850975122614,0.6888017294539236,1.143088884929191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,251.05926594787735,free_1_primacy_decay_Semantic_CMR,0.5732344522369414,0.2423771062644876,0.7097899173856373,0.9648574903867243,0.20916518644650883,0.8473201088850586,0.49212051265104145,0.03956174634998888,18.665644486959266,90.89737252152054,0.005598914975514235,0.19513236392724576,9.435624562492857,0.5951759670330155,0.510615840678529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.11267362118502,free_1_primacy_decay_Semantic_CMR,0.7183530495525313,0.004701931598557807,0.39192552973884315,0.8723142457652173,0.1518837909132134,0.015793098360606384,0.1968565402681598,1.6801561258963886,23.31569066888971,66.82969691892782,0.00494378045081334,0.3145996753111744,3.9841708309080293,0.1458010962768086,0.739428190960215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,246.4535066714668,free_1_primacy_decay_Semantic_CMR,0.9999780707724174,0.22207947635375858,0.22693599329279923,0.9996251468302524,0.15197193873653397,0.8898747950069201,0.5994349733980019,15.366938410742534,40.27805848657666,17.193318636730957,0.011091617772217677,0.26434261563599826,2.396494165176203,0.25145843114766186,6.825170360910606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
