subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,semantic_scale
1,4,187.5186142977288,Base_CMR,0.7825036557943988,0.22342093067030594,0.7648030619585756,0.4905788490594413,0.5938124464058765,0.6064445639900853,2.003453859562171,0.3898564511393161,0.014169601683999777,0.0987954677806977,8.841216697064274,0.46771537428625365,0.0
2,4,184.2694509854999,Base_CMR,0.9009038884466534,0.01782599383983763,0.9193487926013006,0.6390440905314829,0.6075142834309883,0.872608228277846,22.455692862171695,0.42856845906703,0.0018612585846178864,0.30632534450743165,1.7232777749864816,0.6452196488510151,0.0
3,4,154.61146496781922,Base_CMR,0.4567617274367388,0.05716181858042402,0.612418172962552,0.6284960840244658,0.5864665120845756,0.8696422566790787,1.4720330302026667,65.04817339292208,0.0008955892038586821,0.46435285260149683,8.755395940150617,0.6743742112987939,0.0
5,4,201.54771633771992,Base_CMR,0.8019919695376097,0.5009885072183976,0.8661329724915023,0.4520619867529574,0.7049595628945485,0.4994395628622957,0.48713332333353065,50.89619326848942,0.009145458495350534,0.12018153894707861,8.420667535741106,0.9406785783529641,0.0
6,4,111.7036201134531,Base_CMR,0.6666564767228966,0.013674230195641235,0.9872233629882097,0.9340273261096412,0.3402121672185725,0.39415186786147755,65.88236614607385,1.7249236776854104,0.0006332817810497104,0.6195594511478291,3.497323602573937,0.6759115851618602,0.0
7,4,133.7164707654305,Base_CMR,0.9245709937750286,0.12364440931829129,0.8719996492003119,0.7212896406354746,0.7190462120429043,0.25376026571366406,2.0890878487961047,1.7760455861646633,0.0030830438872435084,0.35563640884569114,7.522237075254915,0.17227149379322743,0.0
8,4,48.653451583527435,Base_CMR,0.5465762255124419,0.04565739414243386,0.596915474626523,0.5655946912828069,0.774574375224421,0.05006089921171991,13.462500359784443,0.9991374421788635,0.13452509625495435,0.08381938269619127,7.375264742520038,0.4873272487522414,0.0
9,4,143.87313824435336,Base_CMR,0.8791786746824106,0.36406316625084895,0.9857128314192043,0.24875949470648617,0.43135504631424293,0.6181680190648173,0.21227643877926994,23.189683824705874,0.0017431768515422386,0.22311486028547023,5.913602658024955,0.5498078343243389,0.0
10,4,143.41235528716825,Base_CMR,0.9625447025159639,0.10091410693503466,0.9084431672303803,0.21226599984839856,0.6905651637353067,0.31570539539420883,0.5488846557236684,30.330773992432782,0.0030893256372254707,0.36632561064657754,3.6627276708526297,0.6895820287290251,0.0
11,4,133.5076697156109,Base_CMR,0.950500500553749,0.3110211189814458,0.954716718781419,0.49216160118514285,0.3759600638567886,0.23241254590016275,0.2062739026238205,53.71902337231826,0.005818712401106985,0.3160759132066353,6.3400582961753695,0.5614872234308818,0.0
12,4,85.64815687259912,Base_CMR,0.9670612750776516,0.5014304100878832,0.9546100699108444,0.04663291514414131,0.45486178509501146,0.862079375701132,1.4371415732745803,97.52405619807288,0.0027434897562892413,0.6785381815100378,1.9921652444793683,0.9863981931035934,0.0
