subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,semantic_scale
1,4,111.6518720226463,Base_CMR,0.6449946392767494,0.007759772819809274,0.2981999977284915,0.17451607645306938,0.08819896041717012,0.0398031678820458,2.0796790847443773,66.54108156768655,0.0012663852265212272,0.6629383536464397,2.8754605925516117,0.2984199331596076,0.0
2,4,125.71780654649658,Base_CMR,0.23222747269785204,0.5140692959289872,0.9243145468138969,0.26208526663431997,0.39003914751902174,0.3383079645325836,1.3184081874900357,48.45377040838908,0.018847541789359157,0.2638085524416791,6.624961848635698,0.10696228891562137,0.0
3,4,175.4102826803811,Base_CMR,0.26960985393582093,0.0392017287579185,0.1214752872442586,0.30854271617277707,0.40678524177473685,0.09386441621403957,2.399803698101252,22.250213046308247,0.0045284636642127785,0.345511509289647,7.274093812454296,0.9901227472479194,0.0
5,4,214.77878929903702,Base_CMR,0.8231301478212608,0.13992612939205953,0.7056524341154014,0.13665254677982566,0.3497882309474996,0.9576681068203794,0.9800780868303738,59.37356310173427,0.002321664504030672,0.20629174102329084,3.0108610040377815,0.49351967229196486,0.0
6,4,114.07992872991314,Base_CMR,0.5047744557771741,0.6068644112692669,0.8832667790051572,0.25106261325895374,0.4421383497223833,0.10541574042038082,2.803722034970228,71.43332230879543,0.009390162220940856,0.3855879046850239,3.0712121500436718,0.9026406080044611,0.0
7,4,133.9913110530147,Base_CMR,0.8368111436046899,0.04260328265303509,0.9518048873190877,0.9707767636024791,0.07394371599397881,0.7364782584795316,4.275781428709109,31.628595088219914,0.00411724893864529,0.38366118547013794,8.889945902754508,0.3781776958734545,0.0
8,4,44.256618075935584,Base_CMR,0.4502253739061065,0.006883647082151612,0.18299106364168116,0.03179934973400489,0.35346327218737017,0.1857729683082186,7.1661130291481,0.7712734112377078,0.01750509393418448,0.7013901309909132,5.794865131728244,0.9449074963566355,0.0
9,4,145.70621062647808,Base_CMR,0.8879338382207569,0.018759713103397413,0.9425000091813427,0.5090936253385315,0.8454003976607622,0.615321792483738,0.7581477019721206,62.99427757377062,0.002718912814205887,0.2716148406876071,6.261828262826118,0.1604886097581501,0.0
10,4,107.6829252050378,Base_CMR,0.8225427657780848,0.08195354006614336,0.7454014844872504,0.16102385820877102,0.6411246238513226,0.03663610695051134,0.7895139547950194,75.1250322513841,0.006957715967160882,0.395517549179055,2.5163913474028234,0.02295661133375604,0.0
11,4,120.841399133531,Base_CMR,0.9741364094844595,0.08927685337257778,0.9842868860266032,0.23362153283263884,0.5238108226750957,0.33091925415948326,4.016597612013035,0.6681479585347877,0.0252694441806545,0.172165627498633,2.3257950253267317,0.06293487210912167,0.0
12,4,73.4295857396685,Base_CMR,0.9702955852984436,0.046027592277263496,0.6906830882873087,0.10106901754918013,0.5906375877140547,0.890559644385511,0.21191932858047835,97.40243519543345,0.009470966961197591,0.5342916709323733,7.464639306865556,0.9834265186428556,0.0
13,4,91.81376091750116,Base_CMR,0.891911454613161,0.39634802041731315,0.8351201516910075,0.5302852548936551,0.8719600191490744,0.8816209801381301,0.7541485371927689,79.24662233224569,0.009010418544039127,0.5180757452678293,4.425909504027378,0.13108913123472105,0.0
14,4,155.25287864994402,Base_CMR,0.8856664183577461,0.3728680275038699,0.9987070540512942,0.4172930118775346,0.14554137115269433,0.16494893502418262,75.68657798961345,0.9851840599473718,0.006649410271829859,0.26017447635809,1.5814354572123146,0.5956777440574187,0.0
15,4,149.50305493800138,Base_CMR,0.6317299540291075,0.05197100094797563,0.07937504082675712,0.3858098389836613,0.6120846220948208,0.22666748541134707,1.3092066426371076,33.233230457568474,0.0049822937393866895,0.3603367908111794,6.986516266519798,0.8488458530794041,0.0
16,4,100.64332049440557,Base_CMR,0.9874081642006529,0.6994243916205162,0.45954404196821796,0.5658717251595015,0.5625915613741336,0.18202360210556984,1.3235345804839866,52.88367383339788,0.036688316174646185,0.2203267170308445,6.659212619658966,0.6137073189590305,0.0
17,4,127.16218437668101,Base_CMR,0.4449192570795685,0.09508237049518568,0.7741251579609058,0.030534055402567088,0.5512472054224103,0.039059070926370724,16.833085911080616,2.8810047326003896,0.002505009199679158,0.4122385386102048,1.6855043493599458,0.07762454645541102,0.0
18,4,119.66000400818334,Base_CMR,0.5714499640698242,0.0021629892591798483,0.20157235579027943,0.39961772439987886,0.2867553562344558,0.9476194525820382,8.606525678811387,10.285615439069787,0.03512185022685471,0.15201395629541992,6.46145678602073,0.03877461972791746,0.0
19,4,103.89036865761629,Base_CMR,0.7805496802274315,0.07281018346777424,0.3928358464375597,0.6764346751641208,0.5001916323192056,0.5638547297349026,1.8388903234691583,53.44081013710903,0.022432604175059045,0.3221887649542836,7.0670522302732595,0.616341342245198,0.0
20,4,124.64383656446418,Base_CMR,0.6101583585652253,0.031354028135957224,0.35776491853847797,0.3680745061203797,0.4126884829232647,0.9733488992935982,0.216233128746687,62.70468771642534,0.033150003498541525,0.17179485710242037,3.6699361023098516,0.6699451705105134,0.0
21,4,136.3503933675079,Base_CMR,0.7609053305315842,0.00020071516403846745,0.38522994780047765,0.5145191294839534,0.9748380500296924,0.9474824931275224,91.67321677445594,65.18773246639856,0.006856943769939616,0.3357209518837232,4.25814089079501,0.001019247787840294,0.0
22,4,112.51762712870242,Base_CMR,0.46625042942987943,0.04900700176608275,0.33536903816371433,0.048518198248368505,0.37370010129593173,0.022948243417712788,9.136670912272102,90.11466837056227,0.03809754032413881,0.03647049027563476,4.007792051703981,0.7942655452345517,0.0
23,4,86.74577268542352,Base_CMR,0.885317929084927,0.005277850639804087,0.9614348687354036,0.8873273711515708,0.8956284953119293,0.33378370181504347,32.55506687429821,58.21691726623751,0.00035634677566983626,1.0636940563500936,4.426408801219149,0.014309063337184538,0.0
24,4,67.93456734402369,Base_CMR,0.9905270834139291,0.3853930902687609,0.2908519667918529,0.2261321290001872,0.4231877990144558,0.14239634044848315,1.2614324864466866,48.65551092901803,0.013698780852394843,0.6371304546203742,4.006722549405942,0.18089608199466528,0.0
25,4,91.16988343863054,Base_CMR,0.29693045503244997,0.12055348890811263,0.18716496765047935,0.031511464956984925,0.6545579505804702,0.74350339160543,2.567397272006211,87.34502962529376,0.01414076804798059,0.36103650865051584,2.9736662955722193,0.9785759747452678,0.0
26,4,132.74917728166088,Base_CMR,0.9545420730431283,0.13032387235497556,0.645911691022002,0.007149811485221758,0.5053213898180582,0.5145095522983294,0.06801423981509203,27.87631274723934,0.014658276367906453,0.2629902919388618,1.3498593346153887,0.6940751463913882,0.0
28,4,175.22215475180116,Base_CMR,0.8395528298819412,0.09742167145845954,0.9925540136793709,0.40143503639671524,0.991846939265759,0.5142498045127221,14.43395965213029,61.59690659659951,0.0012993242703027152,0.31806855433084813,3.3603893456476817,0.4692848893209849,0.0
30,4,96.39929362082964,Base_CMR,0.8521737666081901,0.31335198596733704,0.8805631479723186,0.5131610887352327,0.7343595427832287,0.3146394754692249,1.2881620110315097,26.897905352905383,0.031873221212028235,0.20891543744642949,7.567060838999115,0.6946950340308199,0.0
31,4,115.74506969484645,Base_CMR,0.8788530087747519,0.16012841977949416,0.5843302180727195,0.2551176580602689,0.9203975934586897,0.18605568391297006,1.2919904236304802,62.43477254146713,0.022228544012622198,0.23161543503085547,2.966555489274877,0.014646582383243345,0.0
32,4,142.39736655465174,Base_CMR,0.7487120968548118,0.786984781360985,0.7389079140601803,0.007406436686898943,0.6280526484991986,0.5332124528178744,33.16588058193105,1.504319274584077,0.0008702785827397475,0.47371668147364776,0.6016616035692648,0.6292664877540142,0.0
33,4,142.29656829173533,Base_CMR,0.9802878100508625,0.6488407480851244,0.9809686667282954,0.5167023759235031,0.7840561592761066,0.9440765309219985,81.56329981089833,30.961732174717895,0.014776884252975124,0.2584374641300031,0.7231504473718932,0.6226413470534881,0.0
34,4,109.54690521958999,Base_CMR,0.3568746601366694,0.14400488894700092,0.18050898344019156,0.18423443183983995,0.8074966339711491,0.33866394414777046,0.030754631295003776,1.4222839013561455,0.014909858318415181,0.35299511556504104,4.700228993657794,0.5157852482313106,0.0
35,4,152.99416380673395,Base_CMR,0.9817754076264233,0.11068366129878954,0.7379883884083139,0.12598314609819944,0.5091081148378152,0.048661329162884515,2.2610947468763882,34.51928400961664,0.0009551637262161239,0.4375527782682056,2.073509336478784,0.6720402474815116,0.0
