subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,1_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,313.64456011114794,free_primacy_decay_Semantic_CMR,0.7734287643332772,0.19684260590218708,0.796972272728374,0.3848629716242121,0.3326039560856527,0.9490231880539338,2.530372603755528,69.81331201918285,0.2598213842008754,0.05223997288321789,0.0281855819162639,5.781612953754155,0.1587259150569493,0.3612414092183839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.3796759338728,free_primacy_decay_Semantic_CMR,0.6894920541723447,0.024431381433994814,0.5480556826881157,0.7020118361209516,0.5978288296135577,0.36385680318601765,29.078557044735593,48.13665292710737,0.7163839893138118,0.003874640521604966,0.29884944127237656,3.063981540549616,0.4587528669209987,4.874190713985572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.9870345635288,free_primacy_decay_Semantic_CMR,0.36069138834657644,0.3417888032052231,0.21458940467554832,0.09457854437483659,0.3916026128053063,0.40704757693431826,0.9461749036908103,61.190448925955224,57.19472299692545,0.002600634367675214,0.3958580708986492,2.0454392138621436,0.09533149748437414,0.6347656530370873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.51273931293053,free_primacy_decay_Semantic_CMR,0.7630923700794928,0.11838838154833159,0.7180763173807497,0.18920494074469146,0.17628401895187223,0.5772185989511446,0.9579014921851652,12.312552643305828,39.81347350198685,0.0029952759285057917,0.1571522872687927,5.666087860834094,0.7743737154435341,0.1652209519213219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.2873726392864,free_primacy_decay_Semantic_CMR,0.5687332018342466,0.44235698677224183,0.9906993895482081,0.9123236663086114,0.019310143401531157,0.9278577110247543,2.9488225944275355,69.08312534166674,23.275808917266264,0.0024534967803551922,0.49333995643195383,6.599394442925935,0.14447448399403265,0.21467861785350886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,266.1573717846932,free_primacy_decay_Semantic_CMR,0.9250570525837161,0.012009153814219908,0.9064575364953438,0.6371502528157531,0.1118341292904444,0.3855334203421318,3.5008261242995076,56.9878559189957,87.87451091701938,0.003910200354220794,0.3450233221441259,8.273752263777588,0.18244008154709107,0.20803019297457137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.4342551488925,free_primacy_decay_Semantic_CMR,0.5627741325731314,0.347131080184166,0.5076801434638352,0.12503769763015865,0.3527718486835239,0.1426557138841979,6.79965753577018,53.12662189000649,17.783891407589763,0.10756107815380217,0.17997251558962546,2.199290237971704,0.43106482966338944,1.2391065346558965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,257.3308464029854,free_primacy_decay_Semantic_CMR,0.5874589982537677,0.15746567936292383,0.9018110933768919,0.17964629745185573,0.5949135548057627,0.47324074220514034,0.10476119621481672,49.176979331816675,19.038123096691393,0.01272738740977386,0.10813910206042365,8.62975050985413,0.4317035434793439,0.49194084104527125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,232.5032980461918,free_primacy_decay_Semantic_CMR,0.7639804517413088,0.014981626271789672,0.43313323271268866,0.12281585938600953,0.7085132059888112,0.06992344558236802,0.49225367410863896,16.313878820586993,50.997111910535764,0.014951406078271778,0.2338603486967079,3.6915173570251305,0.3155385950891638,2.1757930605523015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.6431407600069,free_primacy_decay_Semantic_CMR,0.9385722437907835,0.021562063487470418,0.9989204804183207,0.0996397184357336,0.2380979310537754,0.1735153979050385,3.0121900306965514,59.27276293455391,33.042225976181115,0.013684054314676342,0.22779564268301478,3.1995697612471137,0.24131607950663858,0.4789715249920974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
