subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
118,6,150.46794581383233,ICMR_2_1_1,0.8723674234839396,0.26815074389834354,0.9999999999999998,0.9999999999999998,0.05911478890473397,0.007046555601076605,46.753661875445076,7.839858761885359,0.0055146776784553,0.5254746487967976,1.0429980408427917,0.7833118413921728,1,1,True
119,5,132.1286014949297,ICMR_2_1_1,0.9058513508861754,0.03464626383468617,0.9999999999999998,0.3957530046930703,0.33450615262128924,0.32554509682591176,25.718710512825222,1.3139949559802382,0.0034112821289694426,0.5164224036954624,2.1887110524613913,0.7160358621443607,1,1,True
123,6,225.3679358719186,ICMR_2_1_1,0.6154003857222451,0.9191846691748033,0.9999999999999998,0.9999999999999998,0.6067884923870498,0.20976839359629446,2.220446049250313e-16,96.00151174280275,0.005673811425041872,0.26923846367598353,2.6812603415915075,0.35737973077555907,1,1,True
124,6,194.24984413051908,ICMR_2_1_1,0.5521442201389154,0.4930685488060294,0.9391424827695257,0.26830520824432064,0.4480368803245374,0.1388048715924339,73.2921628672895,59.31278024431309,0.015793161060127337,0.15386713177795652,5.109052820262291,0.0011629212282782471,1,1,True
125,5,208.50908264786176,ICMR_2_1_1,0.6599994056718347,0.9793457843562746,0.7019633458010607,0.08208197968594995,0.8715633967492864,0.4199770648142647,12.474803443312492,0.4883510024136092,3.1512759876930536e-05,0.37166449225380094,3.1768757964263417,0.6630849150825522,1,1,True
126,6,300.21271622864367,ICMR_2_1_1,0.8717571607354851,0.2864781516096087,0.9406730900748899,0.3871751863881582,0.24940658713103403,0.6174157634419136,12.538088646956867,27.87081789389362,2.1511244660372577e-06,0.6621122196024408,2.7156006769006344,0.34360011741643365,1,1,True
128,6,186.79043984166128,ICMR_2_1_1,0.6880840922786827,0.2343804736906697,0.5567376180270651,0.7133329553532912,0.4864411349523053,0.7975380831563402,8.959405656231246,49.588248684025494,0.002550278131925776,0.4976279030344499,9.402383554119764,0.7365783153760016,1,1,True
129,6,203.38724763105287,ICMR_2_1_1,0.3639360556159659,0.0006615683709091585,0.9670141127457439,0.999871054396519,0.9999999999999998,0.37939831130997975,0.14360679719444153,12.602493544819128,0.01950475036125529,0.16954850688863307,5.926472309816799,0.9999988816192512,1,1,True
130,5,178.53620164091043,ICMR_2_1_1,0.6107650045424923,0.6808187327181482,0.6696126340076229,0.1661225917464007,0.8751961620128208,0.007101744288155844,2.220446049250313e-16,11.807043178806476,0.0015560571114790274,0.4252266592157984,1.7781936707477706,0.7454308426394691,1,1,True
131,5,62.94057376542024,ICMR_2_1_1,0.6003007603754716,0.680235685079682,0.9071780338173544,0.36379172944386506,5.121448924921327e-05,2.220446049250313e-16,0.3586911028415707,51.58485866465341,0.059010356045278926,0.4302559272960656,2.2790491882389303,0.8852480454354995,1,1,True
