subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
1,80,1442.972335424451,ICMR_1_1_1,0.7328414551669449,2.220446049250313e-16,0.2922477046486658,0.003698403649850365,0.9999999999999998,0.10949055679288357,28.24487413000877,10.848413494037395,0.01574653485743517,0.43878255917188613,1.5566340398491496,0.9822640878457544,1,1,True
2,80,2264.2099542820306,ICMR_1_1_1,0.6692243570738327,2.220446049250313e-16,0.8709451037528321,0.006676747393843108,0.5015202159023013,0.17015025763783587,32.14560293473489,54.683145816843506,0.003579638374263672,0.4239098081523898,2.475617439498918,0.9999999999999998,1,1,True
3,80,2181.6629240856187,ICMR_1_1_1,0.7162116127753493,2.220446049250313e-16,0.7349046864451625,0.008307669764092227,0.9999999999999998,0.15510302857315386,52.72130513870881,72.83857977618658,0.007228900669796144,0.3683224239441254,2.0117914335726144,0.9893201454761607,1,1,True
4,80,1633.6851267037268,ICMR_1_1_1,0.7428365712890428,2.220446049250313e-16,0.6478285922938303,0.012177345995443,0.9999999999999998,0.2440349242407374,38.41305294159346,32.93355534118338,0.02773840918024287,0.3384899543294167,2.106168933973762,0.7497599426538138,1,1,True
5,80,2082.453961738677,ICMR_1_1_1,0.6928971168979385,0.0009956862310073365,0.7345024394148758,0.009294799011884743,0.9999999999999998,0.19787501673885674,45.76754513460105,32.659318704772744,0.01429967590974178,0.2979903994753552,2.12990410683337,0.9983556282094299,1,1,True
6,80,1725.121417630235,ICMR_1_1_1,0.8519874415112179,2.220446049250313e-16,0.7835839957988001,0.048146834022955276,0.9999999999999998,0.6339988815124296,48.65231179896008,95.67476782551321,0.01832669533666774,0.34751682144487755,6.675474316259004,2.220446049250313e-16,1,1,True
7,80,2299.269683006473,ICMR_1_1_1,0.8057488094078157,2.220446049250313e-16,0.6981041274290839,0.01698855634335855,0.9999999999999998,0.48034879242962597,37.885693197656586,31.71962911331035,0.01042321519935291,0.3176333170683913,2.619869463517689,0.1689858424330411,1,1,True
8,80,2096.7968956191453,ICMR_1_1_1,0.651212929095815,2.220446049250313e-16,0.5386070881455666,0.014136617789384695,0.9093617289955015,0.1795198399369745,30.9651477962948,64.84266907035476,0.0054375158284442615,0.44950077168902375,2.743820736444659,0.9999999999999998,1,1,True
9,80,1711.3947152700289,ICMR_1_1_1,0.6852585046741494,2.220446049250313e-16,0.6879352194503866,0.013028064276649287,0.9999999999999998,0.2967874422001132,59.26474903940724,1.92254273065357,0.021072212475217518,0.3122982250657785,2.743529151806254,0.943316460891495,1,1,True
10,80,2047.9655495944542,ICMR_1_1_1,0.6465744399878599,2.220446049250313e-16,0.9414980695310078,0.005419732306703849,0.9999999999999998,0.08645304862577816,79.24461545711281,51.45948679717455,0.0170941260003369,0.29631837497962443,1.509139895963142,0.8943594701003604,1,1,True
11,80,1800.3204030565628,ICMR_1_1_1,0.655467333196526,2.220446049250313e-16,0.8502720038941248,0.003913057506503506,0.704859612934587,0.1327723338911358,34.506031742724204,89.04939271138164,0.021399690040091145,0.26774218387214027,1.820318260350045,0.9999998487589487,1,1,True
12,80,1821.358703619272,ICMR_1_1_1,0.6728239844794728,2.220446049250313e-16,0.013378964970298357,0.005814488100999677,0.7511616889275269,0.08370945489171817,24.466574464815615,16.596223257041956,0.022589729097023302,0.2863474594542207,2.0460361073223976,0.9999980367389779,1,1,True
13,80,1925.2273184712533,ICMR_1_1_1,0.6780630892898154,2.220446049250313e-16,0.7217455326018997,0.013233746926751708,0.9999999999999998,0.20698413492028048,56.398039135998985,65.4750129395624,0.021837696337564903,0.26815624448097136,2.6210531768186858,0.9994756291494793,1,1,True
14,80,2079.1885332157444,ICMR_1_1_1,0.7582463387835039,2.220446049250313e-16,0.6817000175425075,0.009846060187237847,0.9999999999999998,0.22302690659879093,33.313863396153344,14.652558852610923,0.007942732683552856,0.3986663793873543,1.9857517072222761,0.34565728532755396,1,1,True
15,80,2141.267395260217,ICMR_1_1_1,0.7151345335981241,2.220446049250313e-16,0.5559125013879748,0.006079192832225489,0.9999999999999998,0.047148591819136,36.154821108585764,24.68632983334067,0.012343904559559244,0.3312244003405225,1.5344137567745506,0.9850706582739132,1,1,True
