subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate
10,8,229.92241742579915,free_4_semantic_scale_Semantic_CMR,0.7216283019626384,0.07907307423457918,0.007631174804743576,0.5188277294674919,0.04813961598998857,0.8538102828217541,0.02903068074729689,0.7707887366504458,1.2668372488696602,5.575667739980941,0.007519240804699859,0.41499851281915917,0.2565585905638717,2.9525198352852815,3.3024142475566585,0.20400505897818708,1.617544817713683,4.781174532772216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.59444601007124,free_4_semantic_scale_Semantic_CMR,0.9720225084200689,0.22380206116486967,0.5943503046153791,0.7024849390274648,0.6712571117459083,0.9421198851112913,0.9399798981024945,0.6571279912938344,3.7450046478601493,54.44627445008331,0.021291028073998297,0.19892467464529417,0.20293851724785927,3.5097461055021033,3.975601301258167,0.021635625875512376,1.1748776688420683,8.371457352998348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.73470885868824,free_4_semantic_scale_Semantic_CMR,0.3891042400492499,0.05364945053630776,0.7584890252710269,0.9153594970429801,0.0059776002447559096,0.9264151858068863,0.6718638540867465,0.6776805450547505,0.022732014350808072,2.371720173901778,0.001907837162909931,0.7577932991247538,0.6891236359738384,9.401646412931203,9.928576381227963,0.9707338910249426,3.059127403812962,2.0893227231604508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.73161735367856,free_4_semantic_scale_Semantic_CMR,0.8104016363196362,0.6460018140401658,0.38258624207524544,0.7371903699520285,0.09294653884198939,0.897125280297598,0.15595320265342633,0.3357713529511712,3.2506826840120624,64.48675750972757,0.006579751064560657,0.5209501489126627,0.2898671156711954,2.288580675174494,2.5105353384079376,0.05923584678364824,8.512817062452996,3.6826703022274296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,301.37507761867266,free_4_semantic_scale_Semantic_CMR,0.6109725453372905,0.8311747595969723,0.9150201706171683,0.8327801404835444,0.8066031753876229,0.4775641619086618,0.7100662265051513,0.8469897675057179,1.810827701003312,76.70437503832747,0.0341254976299189,0.1573199514134478,0.08137371359078127,5.15894666849448,3.0932303834880805,0.3737717084194624,0.8040449733196704,7.40848438815614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,333.4631884082479,free_4_semantic_scale_Semantic_CMR,0.6317456725776662,0.27194289261922383,0.048975868671074396,0.9279475405677378,0.6458976036234787,0.5259379685982377,0.7634291159904255,0.7285999336408738,0.5087935345843846,49.31188210139469,0.0010238444237175015,0.5115567577897098,0.30574025688646067,7.497275011614985,6.897328303594779,0.6098637569825571,0.8331945736700757,0.4362465310693233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,173.6285795881373,free_4_semantic_scale_Semantic_CMR,0.5042587767726403,0.06568412575442711,0.22193557134546343,0.8263976356033926,0.00011637622876153886,0.0020239088699254837,0.8446105912198498,0.6910012798109841,11.947597600124247,15.099027131559737,0.0325960752907028,0.1874675571925355,0.20540220955994481,2.4346136496138193,2.0048091436943887,0.25309550167991984,8.754055437259936,2.2933759514597867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.8999197690653,free_4_semantic_scale_Semantic_CMR,0.7853717554839416,0.027830009629452757,0.40417714761394224,0.9596814924320298,0.8264944536002234,0.871918866516548,0.5900562188000993,0.6462514592559976,38.154509550179995,36.59773528056664,0.002528301522829901,0.41886477258739685,0.35715814430940007,9.093421792422706,9.421810198285112,0.013950540280340706,0.39528590740475966,0.29383265423937655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,245.24075780803398,free_4_semantic_scale_Semantic_CMR,0.6327486821718717,0.08760521769668866,0.5707531059734345,0.28820164686943395,0.0003934304815546019,0.6577029930327666,0.7153532087657439,0.8095155116279511,3.6405443240122324,57.80612053642717,0.015250932218395796,0.2192517933660172,0.22306263513799962,1.5990397135225347,3.4037822921565035,0.36062802817434725,0.15427174685579104,1.353979761155025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,265.12644506107125,free_4_semantic_scale_Semantic_CMR,0.4915673653512255,0.6330940512506351,0.6494046373038245,0.9990147829739678,0.7843070828819174,0.7041322526843751,0.5316883155819097,0.5193682040097605,2.2349889162152508,25.88564629445409,0.016875166961498156,0.19129887621116293,0.17402694644294314,1.9933406543951238,4.832619184462185,0.12733173142947352,3.178403558378002,0.39975818921060835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,263.92460039366284,free_4_semantic_scale_Semantic_CMR,0.602647070028668,0.23215033944272326,0.2790034463251311,0.973459356212431,0.5368005847888347,0.41269764355243355,0.7705745615912524,0.7322881001949367,0.12033259228522794,93.46371978567166,0.006020705478678946,0.24625851619230618,0.30156928473456285,2.0230995068812723,6.053069321972451,0.5488437885204598,2.025210402761019,0.5549427275635108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,300.91089836836505,free_4_semantic_scale_Semantic_CMR,0.6398748188222042,0.07990630175904996,0.7743335054785411,0.7087065452605754,0.2566277566149047,0.7145980040227798,0.4013956586716024,0.6590227142035853,12.38922311949389,62.494263252508084,0.0055298767229888576,0.3559337505016434,0.2932411016100644,3.0365708221865386,2.5930372637447534,0.08442298633000465,0.4013366778309095,1.4023121084362358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,285.30835860499246,free_4_semantic_scale_Semantic_CMR,0.9074787725879014,0.8608775246540504,0.9008882678533794,0.9273104395237003,0.8124936917587962,0.6958963908488418,0.4945170720698775,0.4645642200769089,62.68731330107968,0.22672748619987002,0.020744198689167007,0.13526829761885167,0.10446609646726979,1.608724194450878,1.8453980777679837,0.5777429590560361,9.445992082038327,6.481207718564016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
