index,subject,lag,prob,source,positive
0,17,-5,0.08333333333333333,data,False
1,17,-4,0.037037037037037035,data,False
2,17,-3,0.038461538461538464,data,False
3,17,-2,0.037037037037037035,data,False
4,17,-1,0.034482758620689655,data,False
5,17,0,,data,False
6,17,1,0.12903225806451613,data,True
7,17,2,0.14814814814814814,data,True
8,17,3,0.041666666666666664,data,True
9,17,4,0.0,data,True
10,17,5,0.045454545454545456,data,True
0,18,-5,0.0,data,False
1,18,-4,0.13793103448275862,data,False
2,18,-3,0.037037037037037035,data,False
3,18,-2,0.0,data,False
4,18,-1,0.07407407407407407,data,False
5,18,0,,data,False
6,18,1,0.07692307692307693,data,True
7,18,2,0.15384615384615385,data,True
8,18,3,0.05,data,True
9,18,4,0.0,data,True
10,18,5,0.0,data,True
0,19,-5,0.0,data,False
1,19,-4,0.04,data,False
2,19,-3,0.0,data,False
3,19,-2,0.1111111111111111,data,False
4,19,-1,0.125,data,False
5,19,0,,data,False
6,19,1,0.10344827586206896,data,True
7,19,2,0.1111111111111111,data,True
8,19,3,0.0,data,True
9,19,4,0.03571428571428571,data,True
10,19,5,0.0,data,True
0,20,-5,0.07407407407407407,data,False
1,20,-4,0.0,data,False
2,20,-3,0.07692307692307693,data,False
3,20,-2,0.034482758620689655,data,False
4,20,-1,0.06896551724137931,data,False
5,20,0,,data,False
6,20,1,0.07407407407407407,data,True
7,20,2,0.0,data,True
8,20,3,0.045454545454545456,data,True
9,20,4,0.09090909090909091,data,True
10,20,5,0.0,data,True
0,21,-5,0.0,data,False
1,21,-4,0.09090909090909091,data,False
2,21,-3,0.06060606060606061,data,False
3,21,-2,0.0625,data,False
4,21,-1,0.1388888888888889,data,False
5,21,0,,data,False
6,21,1,0.034482758620689655,data,True
7,21,2,0.07407407407407407,data,True
8,21,3,0.041666666666666664,data,True
9,21,4,0.041666666666666664,data,True
10,21,5,0.125,data,True
0,22,-5,0.11538461538461539,data,False
1,22,-4,0.1111111111111111,data,False
2,22,-3,0.0,data,False
3,22,-2,0.0,data,False
4,22,-1,0.25,data,False
5,22,0,,data,False
6,22,1,0.037037037037037035,data,True
7,22,2,0.10714285714285714,data,True
8,22,3,0.07407407407407407,data,True
9,22,4,0.0,data,True
10,22,5,0.09523809523809523,data,True
0,23,-5,0.0,data,False
1,23,-4,0.11764705882352941,data,False
