subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,context_sensitivity,delay_drift_rate,feature_sensitivity,choice_sensitivity,learn_first
1,80,1427.8609124100788,ICMR_2_1_0,0.8917082992116442,0.0016846840264842279,0.5500426189560961,0.00114393314826638,0.9999999999999998,0.07774633103839336,100.0,3.178450871597931,0.011580094317336847,0.39268506957522264,0.6503333084000567,2.220446049250313e-16,1,1,False
2,80,1391.823824825742,ICMR_2_1_0,0.7360719907408472,0.07560967784290029,0.40980700380230806,0.08800086451490474,0.9999999999999998,0.10384514180748049,3.762068266315061,64.72663633720482,0.023840670663845178,0.33498325624892544,2.5099654815396018,0.9560640928017297,1,1,False
3,80,1127.9594518551714,ICMR_2_1_0,0.3126459002892928,2.220446049250313e-16,0.5978225929407165,0.0736319093159517,0.9999999999999998,0.21819840852640926,0.7934610170705689,79.70349967401295,0.016233516142943487,0.5018190787803484,4.575305575679079,0.9999999999999998,1,1,False
4,80,1398.4912229493784,ICMR_2_1_0,0.3126284911837493,0.6068103310755538,0.4459465995901807,0.1769678767747231,0.9999999999999998,0.24045890155491279,0.2347031777566699,42.26297670756167,0.010444213670555477,0.5020467746875742,10.0,3.726645101395121e-05,1,1,False
5,80,1223.708859352127,ICMR_2_1_0,0.630712618531561,2.220446049250313e-16,0.6217790599093856,0.04623869511705853,0.5948664366402577,0.1656961532659964,4.068726800615549,7.933743578021834,0.016788401112426268,0.39984656541084485,2.545778203048975,0.9999999999999998,1,1,False
6,80,1495.0207702828784,ICMR_2_1_0,0.48152417435280587,2.220446049250313e-16,0.7469125288707481,0.1103727383062535,0.6682214890050097,0.13592725521810622,3.838797276760691,9.483252114786058,0.011173476127094621,0.4038987349626406,4.136520727080568,0.9999999999999998,1,1,False
7,80,1123.0792451570724,ICMR_2_1_0,0.6689710510555692,0.0017148767559520396,0.021268872124986158,0.10024565270612436,0.9999999999999998,2.220446049250313e-16,11.68996205276798,40.892895972470654,0.03566332791131491,0.3847467542411661,2.7025236509983297,0.9998637775632241,1,1,False
8,80,1075.1913945310446,ICMR_2_1_0,0.47734934243082755,2.220446049250313e-16,0.6665736293492218,0.20721316824570263,0.9999999999999998,0.17476255948229114,3.5809665671004165,25.464769613184462,0.015808079600250085,0.5069495949975273,10.0,0.9931912191940021,1,1,False
9,80,1774.162365621542,ICMR_2_1_0,0.6811162802979608,2.220446049250313e-16,0.9205097454866741,0.015571851287847424,0.43908941456676476,0.08530042063032899,10.771396065381639,54.8824365098541,0.008833570025231472,0.33343493059342694,1.3010193841350002,0.9999999999999998,1,1,False
10,80,1607.2370982324403,ICMR_2_1_0,0.6801115882307954,2.220446049250313e-16,0.9550583679378124,0.01304985644329326,0.18279707187123828,0.03758691605106997,9.320761384304756,88.90213252841423,0.009264165540096842,0.3564777916070583,1.2549736309569512,0.9999999999999998,1,1,False
11,80,1102.4491172069843,ICMR_2_1_0,0.7648057281029668,0.03591156669538957,0.8004642286895861,0.12086374614917678,0.9999999999999998,0.47575995248340436,2.483787604525109,10.086813686738212,0.03487324809432948,0.329753905495155,3.423595322100226,2.220446049250313e-16,1,1,False
12,80,1250.0823423929567,ICMR_2_1_0,0.6956608402946105,0.0011946083778146199,0.007560907845371373,0.03954226196421314,0.686455784284255,2.220446049250313e-16,3.0854304739168184,28.790466870349675,0.017849693902190194,0.44329867435878423,1.687466727003766,0.9999885205241567,1,1,False
13,80,1462.7095577493037,ICMR_2_1_0,0.6029061005804649,2.220446049250313e-16,0.7724357651029264,0.06422808532341664,0.6970289412749053,0.15671289134139116,4.794302884047338,13.695728369194363,0.009321875851819563,0.4209724671563173,2.598344980106128,0.9999999999999998,1,1,False
14,80,1649.7204645086085,ICMR_2_1_0,0.9489282311414656,0.4290077863163923,0.9990575403113414,0.9999999999999998,0.6379064265507206,0.7544189136911197,48.53845273617415,1.6989124462468497,0.009273583111104527,0.45048198826868324,0.5436068652141782,0.7553923399634075,1,1,False
15,80,1034.7096948377737,ICMR_2_1_0,0.2733209883826699,0.0005699166244563009,0.0033564319604618737,0.18331516385954066,0.9999999999999998,0.0030218302348599484,0.2175075350812312,8.528765620778225,0.01774459411482974,0.5524323225911084,10.0,0.9999987435240705,1,1,False
