subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,160,3016.55873053535,ICMR_2_0_1,0.7469086753387256,0.04414938188819479,0.6568344507038939,0.0725837635649728,0.9999999999999998,0.20811425294969532,7.616726693992505,34.918226023301315,0.015263561601575975,0.36595014941690196,1.993794838685262,0.06138270517919802,1,1,True
2,160,3329.6507864103464,ICMR_2_0_1,0.5674960049223907,0.013439565043492925,0.626692051285289,0.4587720779079621,0.9999999999999998,0.04596427348595503,14.86064263959462,84.96668132498887,0.023947895640008668,0.2845626835344675,4.420265002288826,0.9507236543825707,1,1,True
3,160,3074.1866820580863,ICMR_2_0_1,0.6489606618832716,0.019482019045684192,0.5958080245958403,0.16085421597042282,0.9999999999999998,0.10981344003850145,8.95277875998732,2.65055099325025,0.025096029141233468,0.2986797169480038,3.0496005599580776,0.8994849494365176,1,1,True
4,160,3578.355581393218,ICMR_2_0_1,0.5454697933898014,0.02952283949748997,0.8913453304663028,0.31039975669157316,0.9999999999999998,0.10545439568858563,6.234163588954491,66.67044522474025,0.022561188398788387,0.26499487437911895,3.6096516372306966,0.9507834535756194,1,1,True
5,160,3472.651417549023,ICMR_2_0_1,0.7331507537961213,0.011014369494458125,0.6582361724590333,0.06237756433190657,0.9999999999999998,0.13863088500733164,14.836178827908187,26.47889707325627,0.01736736011951356,0.3008148404473838,1.8442456570429964,0.8639755147735806,1,1,True
6,160,3994.1267903336457,ICMR_2_0_1,0.6648302031767329,0.04141699077439911,0.7353700967881088,0.10384361646999579,0.9999999999999998,0.21949683598314157,8.502258947311129,50.77803157494949,0.009661116998770997,0.32097427517798194,2.3264471563562252,2.220446049250313e-16,1,1,True
7,160,2514.7756324162647,ICMR_2_0_1,0.6174108173278575,0.000629135257448695,0.45659969975328113,0.1485322101710799,0.9999999999999998,0.004373795463156159,100.0,28.221624577052673,0.045552793267312756,0.27802967435266074,3.0450244903680623,0.9377715325487516,1,1,True
8,160,2274.8233868163684,ICMR_2_0_1,0.5533270963759578,2.220446049250313e-16,0.7309520757359601,0.3149604632758411,0.9188474795252287,0.16372919284384435,4.279993606844813,11.9022507094107,0.014571180139432238,0.5066577025921308,4.7101960011478905,0.9999999999999998,1,1,True
9,160,3096.1823661374865,ICMR_2_0_1,0.7228767256819283,2.220446049250313e-16,0.782737079444013,0.9999999999999998,0.15466343278133377,0.17632825029186738,1.8991235641716409,95.98454184956105,0.03329876396925804,0.2334924524376936,4.553195578746473,0.9999999999999998,1,1,True
10,160,3402.248233066747,ICMR_2_0_1,0.6646386959815874,0.044015808850718645,0.4786209701091206,0.9339134188789685,0.0025169964139415404,0.0006934428799933199,6.49369637941499,88.1949598068824,0.020963788383623033,0.2947885463145598,5.338705486359673,0.9220669320637069,1,1,True
11,160,2882.409678056116,ICMR_2_0_1,0.6478844246305058,2.220446049250313e-16,0.8314910794477544,0.1429096466900566,0.9999999999999998,0.18184033029457325,7.870088994528366,50.84427674554175,0.03492960357276566,0.2554007552176811,2.830369940844684,0.9530965526881943,1,1,True
12,160,3415.679384430097,ICMR_2_0_1,0.48704769124398783,2.220446049250313e-16,0.8301455682346842,0.4270227319733188,0.588908153329053,0.11777473070772757,5.930985248502838,54.28489693008335,0.02542119530273949,0.2620433502198428,4.907345114700661,0.9999999999999998,1,1,True
13,160,4057.882754977263,ICMR_2_0_1,0.6707048034893456,0.024905404890912974,0.891762299573805,0.16757315841816495,0.6600271396429195,0.17759460934991506,2.766243712826352,32.84692342580162,0.011359431331339986,0.2988543540111124,3.238169628972758,0.7819887145753283,1,1,True
14,160,4209.5862009196735,ICMR_2_0_1,0.6735312782697674,0.044454109727551684,0.8080740074933918,0.9999999999999998,0.00018100407629104373,6.576050037575826e-05,4.0509170225894255,1.9419559143505918,0.010199642023553857,0.3128651182671949,4.058947272484606,0.9725078837898287,1,1,True
15,160,3205.991776673889,ICMR_2_0_1,0.5825044875436886,2.220446049250313e-16,0.4567020005819292,0.31438691602444013,0.9999999999999998,0.04615649749667742,20.90101290532182,44.19770193935004,0.029753984799296404,0.26639109254053417,3.8799965874829514,0.991426083114409,1,1,True
