subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_semantic_scale
1,8,313.9638722690376,free_delay_drift_rate_Semantic_CMR,0.683352582845435,0.2679980230953079,0.7583185282976603,0.4277187501185493,0.10698115025912946,0.6724598482871703,1.878101749672787,1.6619977675131352,0.019621277030528073,0.0745970626826713,8.485802217906897,0.3023904571121796,0.13091196615858353,0.2643298430221295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.5503289867904,free_delay_drift_rate_Semantic_CMR,0.7590666908265837,0.06809992092687567,0.3948600266387219,0.7179380570443181,0.7541275715242415,0.9068559170966617,11.406652637634132,79.1985337799712,0.003749220442125667,0.29075358337503054,5.317670885837849,0.8794360522957274,0.34705833100174305,2.001864565250384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.12020536340344,free_delay_drift_rate_Semantic_CMR,0.3193232731239325,0.18842436696435527,0.1711073492931537,0.4704101772194555,0.20812976659985993,0.3007208563141993,0.8185067693490211,51.305228181489426,0.006467066464455384,0.33087798835707005,7.2170404341268775,0.9516699398380976,0.5537883525137635,0.45859361982903746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,415.61427562798065,free_delay_drift_rate_Semantic_CMR,0.7751048016404563,0.1727217708956887,0.7232317120703298,0.18217689780605612,0.03567730194626817,0.7757276774848698,1.1546305501205083,5.385781945652887,0.008053776100249932,0.13551507929379358,5.8118281569385655,0.7666123288654536,0.9598835201736873,0.22758609818530928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,240.1286712023654,free_delay_drift_rate_Semantic_CMR,0.8275152541138777,0.6664330096300011,0.8893942555961885,0.9598008123616105,0.8720821290565137,0.8975343434727929,58.42430422284731,0.6517350104568322,0.016612050154830305,0.33048408801034856,1.2834375984637045,0.4711732674601058,0.24612994935791005,0.15824732166860045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,263.28329614943186,free_delay_drift_rate_Semantic_CMR,0.9608235377729106,0.007262359257607598,0.9353374044540776,0.7923445719674062,0.40472368425140953,0.2126428522537102,2.2421946726283437,38.59100361933179,0.009080187637485582,0.27526633482465623,9.367129100764092,0.8010962374545476,0.013612589850780843,0.19527796206427794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,100.77364085409442,free_delay_drift_rate_Semantic_CMR,0.29373687942322546,0.12516409691375602,0.652161259781671,0.012208362819259966,0.1632278556699573,0.13838310886421162,2.802686090093836,0.5937624348006949,0.13340298956258217,0.17348091482333494,4.891280418970302,0.27223104238082596,0.7343355409696359,0.18558515146470445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,256.7730754701506,free_delay_drift_rate_Semantic_CMR,0.5192599282418617,0.1728382905255032,0.8604142286797372,0.15323301748749962,0.7528312950313177,0.4090457393155024,0.5927702287901937,48.52988697727854,0.015563607039813354,0.12949039144165475,9.21784259793332,0.6927845825769009,0.6465063546750132,0.5345430753857965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.68685006344026,free_delay_drift_rate_Semantic_CMR,0.7766943367153383,0.21130250378944188,0.9697206575131824,0.15596523509718813,0.772157720555051,0.2019349676784501,0.7330698270383493,14.76185897313119,0.0170348657571206,0.22964632191909828,3.642788761331006,0.19634712068459137,0.4313326681330847,0.9210788415509175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,240.2912552930752,free_delay_drift_rate_Semantic_CMR,0.8534914382699901,0.02493249547508558,0.8465677934732461,0.4980436218266492,0.21275484930729055,0.29842929754920966,2.1720628343801707,0.3276110936965466,0.026108272935390198,0.2000136664036427,6.030767685776265,0.1768724685653787,0.01704083723892108,0.4596362087253141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,99.77444707755456,free_delay_drift_rate_Semantic_CMR,0.4927194803525059,0.18445515673024065,0.941515398901952,0.03517494955290151,0.3320349940300572,0.6591514395938017,0.2346109402315122,8.898652137525268,0.008202611924928604,0.5213877567176723,9.970180390013164,0.9972723241776126,0.9207184844017731,1.5591046915140576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,228.0823029926592,free_delay_drift_rate_Semantic_CMR,0.7997736324538937,0.007484236686211843,0.36343553749768415,0.26968537549168115,0.5844737915036267,0.13477417381265794,28.586240902235748,78.35082209699704,0.01639801323970469,0.22209641335253938,2.4194545770592195,0.010947933547998334,0.993577859836958,8.58386452198766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.1361390230706,free_delay_drift_rate_Semantic_CMR,0.5520258323901334,0.593295765029466,0.5623327318001765,0.568560856294608,0.5133624720995781,0.6131487536870628,1.5971997272021596,57.96745705897634,0.02467740126654505,0.12205044672515442,4.876961058742303,0.07060930561646767,0.3902221324552459,1.8316671978369148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,343.7125374718662,free_delay_drift_rate_Semantic_CMR,0.6777079356121655,0.2861556371160823,0.8266978095449837,0.9168207464302012,0.6844577259664847,0.7199826953827978,0.7603061802976896,15.653591971171736,0.004734987303750382,0.251041978634178,7.803118891520665,0.39493061676323354,0.7464135625070648,0.7469575324854159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,178.0164661510973,free_delay_drift_rate_Semantic_CMR,0.8469565906094076,0.13496999216500344,0.3218598723103121,0.5058998940471761,0.8239089290109238,0.39460917903535525,4.87706787636165,67.13038255834984,0.039282585248469504,0.18387567877454547,3.6674404720218536,0.0669305976063867,0.8076812645243673,1.5773055474513544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,277.9518639626044,free_delay_drift_rate_Semantic_CMR,0.7564007484726826,0.13498409532202554,0.7784616005927482,0.4211456785843108,0.6122972758364795,0.23343831186359076,8.860092016345376,2.319289166975146,0.0068307214067868105,0.30401610342548047,5.600923188752392,0.03281707578037091,0.019844866834172248,0.29826398721529035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.49850258645205,free_delay_drift_rate_Semantic_CMR,0.6972038163683171,0.1083300946444305,0.36343252777497814,0.06893530330646896,0.6181825568392076,0.9841537785301968,0.6904389123144199,53.15603611863175,0.01694218511390877,0.22546976000652297,3.058989253491973,0.4684688516985974,0.03357429731430994,0.6800061290200352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
