subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,301.92570987563573,free_4_learning_rate_Semantic_CMR,0.7950189656027895,0.23324377881409414,0.3787121594655662,0.7957885809591903,0.2923190699505922,0.20259818820962483,0.5142408709313199,0.2885772691965036,0.3165873618147109,1.367078372379325,52.19317083488201,0.005056300703542904,0.5300890596862908,0.1258028333671568,3.8684694681119898,7.0381504305979075,0.630192069701146,0.1650640405241406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,314.52662308085314,free_4_learning_rate_Semantic_CMR,0.6959444487921338,0.16670778715291673,0.7323293540176145,0.6040066978295647,0.7635583813183655,0.7718995717326599,0.6354199274040107,0.17922782149458588,0.36673072724384553,23.62273250983664,0.7370106662078015,0.02764577753655928,0.18448743386792898,0.0826530363238005,2.180387351491241,2.4732579010438633,0.42111127413870436,4.821669518879031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,330.61314211648744,free_4_learning_rate_Semantic_CMR,0.3606796441942559,0.21448550169495695,0.127407971556654,0.4877127510206848,0.10904843203856729,0.3270663176207925,0.4953855649885557,0.4796757667087138,0.3732408345293344,1.1427643852158695,56.739760228745716,0.007880389355996609,0.33344418778706775,0.2927684498176024,3.583753561799922,4.436928984896914,0.7006531868978576,0.4046463132382119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.7107411295357,free_4_learning_rate_Semantic_CMR,0.7485983805289298,0.12725385120869065,0.5168622528880983,0.8902026237295406,0.2591516420754607,0.9773343032761741,0.2566178044486884,0.8251446986949225,0.9128961431198619,1.108028963744836,54.050302321308685,0.015082424719286058,0.10487106604376084,0.0933381365761603,6.720095476468543,6.0885711216376235,0.8277238887843221,0.14412899030618043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.01741224785843,free_4_learning_rate_Semantic_CMR,0.6025639672734306,0.11912403530023852,0.9635615250638466,0.9922488798431675,0.35697564434196455,0.9289601462834582,0.4458443872959581,0.00609248550141317,0.4957071842884979,39.623129322958654,1.0514263830292307,0.006869288418900166,0.3878697499468302,0.42753814584976446,1.500669495268912,2.468220870695789,0.7857580816909088,0.2014269923548202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.11440949248714,free_4_learning_rate_Semantic_CMR,0.8917887108633502,0.3368344984016568,0.9444570823871314,0.8544555769739448,0.5879494614178912,0.05547870564112922,0.6564284161957299,0.8426618116571032,0.4712617901650588,0.7403090589557095,71.23544978623664,0.006340248346290878,0.3254675202988686,0.2915350973645383,4.498222700080861,6.896180512073138,0.08818349770869477,0.3687832774125308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.46421730540928,free_4_learning_rate_Semantic_CMR,0.7639086483733429,0.1617999464279245,0.5915996743385025,0.646421942057265,0.8216496237640175,0.4668665480719533,0.9714230239974925,0.6326843639153811,0.12298158348574803,25.14054101987945,0.9258066408509521,0.06336171102677035,0.38811042843572363,0.2573616404204288,3.868353977711771,1.9436877043291645,0.02064758115803686,3.440322417597872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.70905427465587,free_4_learning_rate_Semantic_CMR,0.5464088349274507,0.03200200040255585,0.6653901427379668,0.9555278546825076,0.022186016382690465,0.4962468175757057,0.2846047129539705,0.4852056348099225,0.5624984330339696,0.06789537804291257,32.26800539058499,0.01073084069244118,0.17989071864332473,0.1478234593269283,6.54008441428619,8.917459856618805,0.8073930834057318,0.5781733247391339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.25037875539343,free_4_learning_rate_Semantic_CMR,0.6723186601989873,0.08394873446051859,0.37497894758655376,0.9047582021466107,0.25779468151489365,0.5024559743323437,0.07898234565218737,0.14346203230763205,0.704860883675239,0.5571510123091059,33.318023880989365,0.007858470573579357,0.39432143783496887,0.2957243996161365,4.714325149796087,4.990504464410453,0.05875829555804357,1.7725093990653007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.4638434547004,free_4_learning_rate_Semantic_CMR,0.870387238444378,0.1458175899675634,0.3581650926322458,0.9086578152502733,0.4437946332641477,0.8122766093451713,0.6573426410420696,0.7447893535750353,0.44325813659660507,0.6764543938783589,30.576348087828855,0.010779551104946106,0.30608855801471346,0.2690589223868294,3.1658101642724965,5.286439100477893,0.14582945407841497,1.003645676736384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
