subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,313.2507979694966,free_learning_rate_Semantic_CMR,0.8136536099783713,0.14072210014646974,0.7843178171560143,0.8483014004219496,0.19784849773401514,0.4553525148710593,0.45721765423160765,18.31492560731942,0.05146165742593922,0.014555277095762986,0.10284841905296993,2.9034563974715306,0.1511548343400006,0.9679481310604805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,312.3774420215328,free_learning_rate_Semantic_CMR,0.5941032325587299,0.6778030244949984,0.6478491368291759,0.41498306634953624,0.3961804894267877,0.7550959602339564,0.9561095499085082,0.7193876535596573,0.21948474840043275,0.008589443536428043,0.2242522622396752,5.003377505983314,0.6933178153837236,1.2420756381709936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.87272409310634,free_learning_rate_Semantic_CMR,0.31658697966085697,0.4992429487648505,0.22818831567329628,0.04250959622365099,0.7753425020111753,0.42262873014126223,0.7434394180564124,0.5182474415020955,6.837139917755884,0.0017924506157748542,0.4251774266705404,2.935380346341385,0.2382287410154623,0.18064106412699765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,417.4302605579446,free_learning_rate_Semantic_CMR,0.7542292510815642,0.30332006654995697,0.7488284551893191,0.28567314512865544,0.10971768936835205,0.9258321465495348,0.8187153791528438,0.5189864845535812,66.94425539466482,0.013127642316074052,0.10285028087213456,7.275596560203714,0.6040177315628523,0.12213516912063191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,229.3216843610897,free_learning_rate_Semantic_CMR,0.4847026142549134,0.22161586824238683,0.9951122479884226,0.6777890211690857,0.5717472328292702,0.08049380166936154,0.5823370747681873,10.431503663529064,1.4642578425149466,0.002074788981322351,0.5142886228000894,4.761599967056246,0.9535491692493291,0.07704017595515289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,273.0750105876267,free_learning_rate_Semantic_CMR,0.853468197205173,0.7383909677748517,0.8332356961328116,0.10218877180802682,0.31527661206270663,0.5234105569396473,0.5174630229102364,0.2734661549501993,38.56955705646197,0.006524819370373247,0.34305068225191704,2.1001651558453904,0.4892953472205928,0.740372939475149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.58288808357145,free_learning_rate_Semantic_CMR,0.48010376392605736,0.020132241438563736,0.4129201937304886,0.36061581540299575,0.433991475045585,0.8748225064589976,0.236551707800552,51.794210013502216,3.3197055845726524,0.0904880515024249,0.1404064380669574,2.660675881289653,0.346777095137386,7.907699819413709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,255.91160093333173,free_learning_rate_Semantic_CMR,0.5717284191835097,0.21805436497986008,0.9440184951541445,0.26247829486197705,0.5604343134389231,0.47826657400165323,0.5093245226873262,0.35896696113275794,60.9035746007371,0.011172995987094314,0.15622606870068712,9.46479296754541,0.6338247291837218,0.4964090140751356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.49165166690145,free_learning_rate_Semantic_CMR,0.742400046201182,0.10246606043529945,0.865325761385301,0.22672821542152555,0.9687509058081513,0.1235226948112009,0.2107410349379689,4.619660450125589,44.35820563623285,0.01194043302927593,0.2783181445704146,3.9720242786345246,0.20736903352451072,0.7326073703688345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.8575913409074,free_learning_rate_Semantic_CMR,0.994012300911578,0.42588471743254697,0.513693639424125,0.3542000354406987,0.9853874337605703,0.5598035791939342,0.697885610514731,2.802887163206883,24.679839972700456,0.004155389463105397,0.3481214485657995,2.351907872821266,0.02447133312589833,7.723023664109094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
