subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,296.72042737471577,free_2_primacy_scale_Semantic_CMR,0.7576577403975312,0.2476233034180202,0.24689520114975028,0.7534870008948598,0.1538549495812332,0.4423386714144576,0.31416762608754456,0.3593480382303582,5.849308869230008,0.11590206754279109,0.002749966718367136,0.5863114530243427,0.16977756555639978,3.0032877067541697,0.1259331108411093,0.3229382857651135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,309.1941799990446,free_2_primacy_scale_Semantic_CMR,0.7082923812838818,0.21575260759802634,0.1816368793852065,0.29288876071359515,0.9381300280743694,0.364716751418196,0.13445019483601683,7.656739785556567,20.220279942540685,0.6360257425030511,0.0015396007532035294,0.4849902722152786,0.33217291365602897,4.0448319992668145,0.48982570520112045,2.7358977227878123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,336.9668338066037,free_2_primacy_scale_Semantic_CMR,0.4041942494688352,0.01328070018153785,0.3107704804220656,0.26339932222066187,0.43461805757367106,0.008583637336249592,0.6014463411898561,18.654504491921546,2.471606035714501,55.21900570060624,0.007090556893984479,0.34063659237468896,0.3000049877933149,1.495012852088435,0.8221935739092981,5.802134955737928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,416.2385517331034,free_2_primacy_scale_Semantic_CMR,0.7734937373713264,0.22802116182704535,0.761992253658522,0.8511521558759014,0.19890884909443984,0.31067264604567424,0.6795786028837392,0.7661684485487399,1.5814656092354298,60.0402670784261,0.01937971593413773,0.11479243823398733,0.06494754426615046,4.729641952535312,0.6425869263648631,0.1518590866609193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.61602424617462,free_2_primacy_scale_Semantic_CMR,0.7098359456832737,0.07718924130940724,0.8218492323478617,0.9722647723720936,0.8167458759700978,0.34707632767420443,0.27654059171107037,10.165024720876346,24.940740883571593,1.0537520031171397,0.00949465215066203,0.3640892667001552,0.33921393759170915,4.375392722243852,0.3339576457775951,0.1662764484235213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,274.0347426067499,free_2_primacy_scale_Semantic_CMR,0.8802461822530521,0.04306843349014103,0.4481079436638481,0.8718349526585041,0.3393652912694067,0.8204117409853328,0.5451286769350825,50.21742904315877,35.35783409565558,0.5157827807534794,0.003134431605983198,0.41309085305442533,0.27780244668214943,2.3349139888331383,0.03426286577155617,5.031934190756706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,106.187738865409,free_2_primacy_scale_Semantic_CMR,0.5715645259612678,0.04131616650787123,0.5652746497054699,0.32751683199831205,0.12554471873967482,0.5280884630015312,0.5107261203311285,67.30777534262305,23.43376110885551,1.424263776389175,0.10354465849442845,0.22442989556439752,0.01051843022711818,1.5838821846736248,0.19449941053807845,0.9533387808064084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.61372413252815,free_2_primacy_scale_Semantic_CMR,0.5970047518327943,0.06771652643967624,0.727140586056634,0.9873139570729207,0.20848586867903385,0.6092798139409419,0.42515262052277725,0.4313154394207146,0.8823269165042689,16.338961984365383,0.013319179932352654,0.19962814733179712,0.1321792159537054,9.110373850324088,0.7043743824561843,0.4573121485022833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.55690917844635,free_2_primacy_scale_Semantic_CMR,0.7192966747908676,0.026193069653802636,0.3629622682361125,0.9861014534081134,0.284799029864938,0.6809478251620397,0.12089497695591789,3.09093448345201,23.238179625425214,72.673149323866,0.019667045513608206,0.28345831164858915,0.1790227965455795,4.0478952190998365,0.054787838893496366,1.726730253492199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,246.0038075804947,free_2_primacy_scale_Semantic_CMR,0.9803579527382923,0.08228347246293635,0.3697788016719955,0.7934085932036483,0.8841665683416081,0.7404589078956817,0.45401383924340105,4.033901275764857,5.789511063461115,0.05939851730821506,0.030967333599333857,0.2178609607747845,0.17356181619403607,3.602975229492325,0.24633845042317698,1.8363868564884942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,98.3738315187894,free_2_primacy_scale_Semantic_CMR,0.4302659959956646,0.07273488508591502,0.4485655450033388,0.8775451472007814,0.006171565348125685,0.7291460894648568,0.5386451842208253,0.6003319946582195,0.16709105337825747,10.199726898475191,0.009393175602032844,0.4961176135104415,0.49085205964070333,9.754926087781115,0.942820870254253,2.0165208891740316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,210.5715238762296,free_2_primacy_scale_Semantic_CMR,0.8346309903119413,0.07556217794624714,0.4098416450303715,0.9838376950333291,0.19125612470110087,0.6941650687116222,0.10326343072821725,5.81289109273628,88.12363240205107,0.722884055127551,0.004213813804688105,0.5760587239119062,0.3173038226415228,2.91197410173676,0.11628745429447601,3.7786055992865957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.66756207923856,free_2_primacy_scale_Semantic_CMR,0.7454453346071571,0.16962235451140545,0.41316441095495543,0.9253647124975402,0.5413806968897203,0.19694934938806158,0.8100940660690412,21.179694704197466,12.913249311627496,44.32808745717842,0.020610279220870664,0.12479102224488337,0.11819118943765261,3.026773343395985,0.15317561158691168,5.731431017444492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,344.6421482666618,free_2_primacy_scale_Semantic_CMR,0.9605218607686843,0.08110189957409736,0.7536704531220478,0.9860252988325398,0.38734381917770866,0.9099204650543575,0.43647882039218133,4.317980246825435,3.6204787857372054,61.62466278240608,0.0019827729920245396,0.4177927553281977,0.22628226924564387,3.3438299765668242,0.29953014703593894,0.16592197368811235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,177.67330706934484,free_2_primacy_scale_Semantic_CMR,0.4498908801148258,0.001314883695597513,0.7096536758579751,0.7117286207047275,0.040401160998653096,0.6101584949927277,0.6633234832343559,17.187267531031857,28.084389162299157,46.91228385236773,0.1359482620126411,0.08361128381726957,0.11473471902989463,2.323809125123917,0.03139778368631452,6.733152771939092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.74275349306157,free_2_primacy_scale_Semantic_CMR,0.8239550611980238,0.18604169561270928,0.51533369917683,0.9609991248709776,0.5502463376189638,0.7055036058751442,0.31018568718647954,6.613815163925828,10.933029433193589,81.34916390767879,0.008180105039125807,0.27467369225836435,0.2260258089071936,6.350726038739754,0.13997168219541478,0.3180145629258737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
