subject,trial_count,likelihood,model,0_encoding_drift_rate,1_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,309.71148123282416,free_1_encoding_drift_rate_Semantic_CMR,0.6229769561317131,0.7694889666476266,0.47710291525322013,0.2117161916244107,0.7710929383192705,0.47486717447933413,0.5022833249143582,0.465514278112163,0.8428767439747347,33.88421723093433,0.023627096661500813,0.085085770915029,9.39649808002729,0.6478179500213606,0.1372607701662556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,314.2036151868993,free_1_encoding_drift_rate_Semantic_CMR,0.31746323818245986,0.6480489085257793,0.12241353550534004,0.48502083784459604,0.42015305458033114,0.9816789122580049,0.6793743364561228,0.4020897895914444,18.14755237466489,55.0962353832195,0.0036197733418281957,0.2982079474433141,3.4307334847588717,0.12229244419753675,4.678308401493861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.5497526254261,free_1_encoding_drift_rate_Semantic_CMR,0.1729415776769302,0.7972597085562189,0.1524093303430167,0.20365916854738744,0.5855607898176625,0.08382003749709105,0.19006900598909834,0.5544126924205428,2.0488252086276386,17.039549526174973,0.0015927629216525069,0.4048691555984647,2.1973945321144375,0.8652265436253782,0.9764352720835515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,416.923889679545,free_1_encoding_drift_rate_Semantic_CMR,0.836780115627,0.7001077514919272,0.14755616257974186,0.6360535472343392,0.9400805823060236,0.13647613163405964,0.3045785278040768,0.663841742464826,1.2647084320683817,56.541837168742305,0.004003807440703944,0.14489586073609217,4.636804976204131,0.7323594783190179,0.2261553674983512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,244.37285507834503,free_1_encoding_drift_rate_Semantic_CMR,0.4281908528505484,0.5518814462651822,0.9424095774974555,0.7569561034991238,0.7497109893492608,0.3123726419243026,0.538103813521417,0.30986423232707544,3.447586918562428,39.485705761395906,0.008249646085750002,0.34412075272868636,2.2463120634531313,0.14072917269914495,0.6242314463354695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,272.21268357262545,free_1_encoding_drift_rate_Semantic_CMR,0.5834739771057891,0.9187881966686575,0.1800326397227902,0.8697786103058842,0.9998457669728334,0.5024037547731477,0.864395299468296,0.7807911821038753,7.2897568979116585,30.149875060474425,0.008686512749568664,0.3135167031407695,3.167792796813772,0.33739776499035323,1.3708823434059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,101.3246138903931,free_1_encoding_drift_rate_Semantic_CMR,0.41761666073507525,0.4341251091593402,0.16562100392234608,0.4233014572570378,0.5235836673317342,0.13001764798559506,0.5307198886592293,0.22397306823071417,5.671808769782693,0.7513835091713119,0.14695966051909287,0.15449947813701126,4.238330205897235,0.54610518311206,0.66742782513907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,247.3661553386646,free_1_encoding_drift_rate_Semantic_CMR,0.8029790435125402,0.5710866608753615,0.12759764864735107,0.5704709134335422,0.9877857140712739,0.18790653054513407,0.14737170589545862,0.7810944405782294,0.21505827065180938,8.902847449235054,0.009845786715309501,0.13590804380546562,9.400060083553228,0.6866468169991788,0.4736132632238146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,228.6081538494961,free_1_encoding_drift_rate_Semantic_CMR,0.6733692295336804,0.7363579236635319,0.05482868787504225,0.5538804049944454,0.8667957280892915,0.2749637189563224,0.0068120259773272185,0.17346921685305355,0.7979703832776437,29.295224686997734,0.004473292117821881,0.357481487540908,4.783809939362452,0.0036443320451362005,1.0030594071560603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,244.34540216286462,free_1_encoding_drift_rate_Semantic_CMR,0.9108724463297688,0.7862527865528633,0.22875129256548377,0.22815859226367696,0.865258795988751,0.10722151171979205,0.3917993572654886,0.26528860833119794,0.18889559195739736,11.354052371840844,0.025244440222075504,0.18959888331576824,2.934123528721562,0.4273829706457627,0.5727154955597458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.9351448338459,free_1_encoding_drift_rate_Semantic_CMR,0.5051207758027696,0.5044969621356794,0.07129911579849102,0.48592302254728015,0.9520683833898793,0.044344142280482,0.47134861390877286,0.9266297364757647,0.10426211279785491,39.35286790975336,0.005905284749822659,0.5270646670884567,9.858988195380526,0.9454133913584034,1.5737288579920805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,227.20386892541399,free_1_encoding_drift_rate_Semantic_CMR,0.7582014551070325,0.00014967983252448495,0.08122418477213697,0.6846078006639007,0.669757534255896,0.12159364446529444,0.446641577020853,0.46747705084409613,6.499293848166777,0.9666899817042196,0.007363528742319613,0.3188030838945493,2.887534606896413,0.43314775340327427,7.560172636359551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.8230951111918,free_1_encoding_drift_rate_Semantic_CMR,0.4881193591201888,0.9181906988430357,0.5997953649389957,0.789152038623988,0.9910626800573636,0.2868421194368306,0.35349981548782367,0.5816421993995305,2.950639486764223,56.2303426802261,0.05244687600270117,0.07332441094175135,3.0779034775865783,0.6326581500249034,1.5586616625963103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,342.9905251106918,free_1_encoding_drift_rate_Semantic_CMR,0.7584154803126976,0.7450068475303678,0.18789173663471276,0.2683061369544771,0.8428893884266291,0.5913457270460458,0.6711910971917662,0.6429822000765117,2.809762870888676,9.188313566947954,0.006682056915905454,0.22149261365659623,4.495062457518294,0.11118021466675526,0.8276364982771316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,175.599794360443,free_1_encoding_drift_rate_Semantic_CMR,0.6543749941034025,0.446541307438573,0.05426060496040319,0.32289883151572174,0.31668347337165925,0.058569954405617075,0.5128425103359051,0.837860096317051,11.109510861094137,29.071610696690907,0.042030601105577936,0.18630915802528492,2.518524424288798,0.2882849155846162,2.595685374059493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.88618591607553,free_1_encoding_drift_rate_Semantic_CMR,0.5012984604666721,0.8590671105640131,0.3508629952028601,0.369141350166425,0.8605030831861877,0.46657858778098166,0.0543150451931389,0.5232112625095328,2.3179207612697255,44.76070183022476,0.007786156973540126,0.2822847388695626,8.338657164056002,0.11603036911286946,0.2635124513195164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,242.48951355338986,free_1_encoding_drift_rate_Semantic_CMR,0.48809346758643246,0.7409836922835421,0.08804252787266142,0.2174545933788728,0.2983867376099347,0.5190643203099714,0.553517284867499,0.7830037665568313,2.780212127186587,75.74508903755046,0.012534541297965385,0.24557874960113946,8.400940634347034,0.06604473474823475,0.4294234215402195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,268.9775992157142,free_1_encoding_drift_rate_Semantic_CMR,0.9094145599333878,0.504575545150491,0.1446396008931488,0.5622064767041036,0.9851423718145311,0.6754507086245116,0.6889417439677539,0.4824581245173441,0.04731476763309672,9.544173059077721,0.042647780114992984,0.15039717988404622,2.8344642870634207,0.5819420113605487,0.8467936591852974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,268.51603501781375,free_1_encoding_drift_rate_Semantic_CMR,0.7147971449672584,0.8885201454116971,0.40336240570701315,0.07385073860453178,0.9572403530273825,0.19198722571921978,0.9649849572712595,0.6852301981981875,1.3224156144480688,83.3196773202832,0.005940377478391323,0.2536571132684742,2.104348090302381,0.7674838110746699,0.28755326218185306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,303.5796191224019,free_1_encoding_drift_rate_Semantic_CMR,0.49805957214836866,0.5825541389432703,0.01735235098305149,0.7472863216310563,0.9070802031046643,0.15979096809956367,0.5483896097429689,0.177331720856029,59.93684216307054,32.773339294932626,0.00586902865521538,0.3037133772937164,2.1170923346653825,0.07735425366579146,0.7103103052080897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,270.2719492153516,free_1_encoding_drift_rate_Semantic_CMR,0.607554261173005,0.7271404431106734,0.9238930650212145,0.6623872540456766,0.9986145080551931,0.9149254350498295,0.6166070410561896,0.5559300196266457,0.1062298597011819,78.84118414080947,0.00903080143552577,0.22117235523353102,7.838712824580258,0.0689422676521755,0.24831096761756222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.59428553704782,free_1_encoding_drift_rate_Semantic_CMR,0.5536862082432201,0.7479946550446834,0.29734854803366684,0.7011299374621315,0.7605279311929375,0.4033861469971998,0.14550922330838562,0.8699177356216528,4.876870174836597,36.900807138902465,0.03528731598879109,0.24449452098458835,3.059107117571279,0.03434523593093941,0.5371987729652963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,185.924278875762,free_1_encoding_drift_rate_Semantic_CMR,0.9582877816854201,0.6677870460979008,0.00859439872562373,0.5031137924314399,0.6842043590121124,0.05534687929876064,0.9324618912672691,0.7106600502206939,4.565181795807796,14.173081657482655,0.05422350398308057,0.14785310893187287,1.4574280628657887,0.0956781543068706,0.5106089933348068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,256.6687310983422,free_1_encoding_drift_rate_Semantic_CMR,0.2279033005958302,0.7795698921855774,0.723134621902899,0.20824807048178118,0.8464271613178762,0.47631056495928265,0.3528412117767294,0.3676474112035072,3.834870754155695,61.495664242438394,0.019501480603073607,0.2129504162923883,2.5758461400538177,0.7986346413759735,1.7942769627312547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,289.27991542932983,free_1_encoding_drift_rate_Semantic_CMR,0.5491472899977232,0.9182468659431327,0.0038041221215752152,0.3032488716282087,0.3048759392361704,0.3342844832753601,0.44897047848031946,0.4532393496848094,6.7414354748076235,1.0284902790066823,0.010883163279489239,0.22259447371167607,4.161036867220506,0.21304557663622498,1.2730144314153202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,342.22403128937196,free_1_encoding_drift_rate_Semantic_CMR,0.7273965356269744,0.611709622865727,0.8242689100002738,0.5911082657298984,0.7643904467389854,0.48194499029464977,0.8999658630615115,0.7049119670378206,0.6536813549259719,16.832268853568053,0.008454965824625682,0.19335523500449092,8.632412269614754,0.5288463715669421,0.9191403299831373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,259.857827234519,free_1_encoding_drift_rate_Semantic_CMR,0.9496390085598065,0.7670628353198123,0.44109147589049125,0.8046018868949696,0.8568696192189913,0.5408946275193037,0.7731672248201643,0.5273230881272231,1.9248220718593032,68.28078903276793,0.040795870466182715,0.06330799917783114,9.281894947291086,0.8152640219440648,0.09841354861828666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,248.85817492043657,free_1_encoding_drift_rate_Semantic_CMR,0.7500573579286478,0.8952282364165407,0.14294133705108475,0.00896513653712444,0.9618660382948133,0.17408300797715004,0.45426553398790925,0.4480091114148511,1.7784439937649026,90.1651168178143,0.007479197982004748,0.3130549347472531,3.3602395527161355,0.165025827365417,0.3493657217314139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,262.91767422060474,free_1_encoding_drift_rate_Semantic_CMR,0.4322117595188397,0.6386532016210615,0.13735863124230568,0.6893523457784834,0.15721784682565487,0.3373620220090541,0.19953068680169112,0.6096483938208088,17.00208070540186,57.75999025428402,0.006049442370188007,0.3200265279658048,2.5294257163336016,0.37541468729261035,5.000728837215208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,274.30849991851665,free_1_encoding_drift_rate_Semantic_CMR,0.6865234285553502,0.9956186198688762,0.03996658577541534,0.23983297720656593,0.7331440936237166,0.3786548282868113,0.8226635857379438,0.8871015046049144,13.49321092902877,33.88715312422449,0.0056759772841809,0.3512146690778897,1.6284941557940158,0.7044709667613126,4.985124274678414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,232.2186711389968,free_1_encoding_drift_rate_Semantic_CMR,0.49446719440443143,0.5859843425977801,0.19872719973348385,0.6091754308566673,0.4520466437995522,0.059566676167405186,0.23299676600083247,0.9168710270861049,0.20691013115119006,13.11772808096039,0.02560159466875417,0.24806403254590315,1.7195400792579427,0.14617080544245714,1.088651408557629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
