subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,299.1601178491352,free_3_primacy_scale_Semantic_CMR,0.764564171473957,0.19172139432621804,0.5210589353046964,0.6846271094045105,0.4107248692996558,0.8339747835521603,0.3669170267644579,0.5495781966927495,4.154238806445967,91.11463486208673,0.001274459078769108,0.6405824869471664,0.18200635243432828,4.944782445899608,9.843092695661003,0.6652583354711936,0.24011306667380694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.2318037730334,free_3_primacy_scale_Semantic_CMR,0.6059110478509337,0.010692905108682593,0.5888678576441487,0.28137906435119164,0.8035705831010835,0.12911924526213348,0.7709355924173954,26.07660567052899,19.587736019995305,18.489384947592967,0.0021986003851447444,0.48306128810736304,0.3206457563006406,2.9405464831185513,2.2613878816399224,0.6152835764731945,5.655470013857588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,334.61025769579607,free_3_primacy_scale_Semantic_CMR,0.3313996583081944,0.12193740684665327,0.09423146983702818,0.5311041488957573,0.9135487427024822,0.13891657127774654,0.7665601848753865,4.113292915499301,2.2756591460468627,2.46280073430718,0.00625047503986198,0.3445284652948031,0.33346784950499675,3.1065268817145633,4.887442675325499,0.33790814217827203,2.140717781192892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.87658165669643,free_3_primacy_scale_Semantic_CMR,0.7654798049590403,0.31549470979363226,0.6740182933389472,0.8171500193738543,0.344727475825238,0.13012881227565348,0.5798918627195921,24.76013647223082,32.97276025196159,0.006657737056883661,0.004937776725231546,0.16196457826055255,0.15009554301103556,2.202879261023072,2.5727248522356208,0.7959364260098984,5.625181192153735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,232.99615534582966,free_3_primacy_scale_Semantic_CMR,0.7554897727902191,0.11165966557009105,0.9507728406125522,0.9862408949180761,0.7807199909827542,0.8789549023360475,0.8695505111585566,93.9448879367732,18.784740656998665,1.053439263502895,0.00500185662449848,0.40787762638565983,0.442779340749456,1.1891803245333223,3.454532609740725,0.49744955574601957,0.48932621720269864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,269.43160249683757,free_3_primacy_scale_Semantic_CMR,0.7783241550185854,0.12147145773797835,0.7147348834875981,0.8025906259852601,0.21908005099647598,0.8227184648399084,0.04265838777881015,50.19203748454413,3.535862697782072,33.61662896919725,0.0023423625520873625,0.4552005018517038,0.3542083144188606,0.6787679586858166,3.4989300038009725,0.1237982940027807,0.7189006756434075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,108.62390470964388,free_3_primacy_scale_Semantic_CMR,0.5134825259648108,0.270398225668051,0.3238739629737818,0.5431416722389873,0.78587097849624,0.38378288534547333,0.8661260938667752,30.287857411561525,43.12247924116208,1.5999134297369793,0.08756590059546554,0.41915395166741654,0.22054741806664335,3.120375228579678,1.4013012780202292,0.29444615783975536,5.896531902407316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,247.16126896123376,free_3_primacy_scale_Semantic_CMR,0.5078615853818708,0.11662712897098382,0.8577576906270477,0.9622516026242425,0.14319429657860544,0.5333978076239454,0.4788557574777266,0.47923634823664685,0.06394786958071563,70.62784374298758,0.004455187248974757,0.2726339186849511,0.1786440052883167,7.696866923838165,9.756945431131737,0.6755624023337106,0.49730143467089505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.05214578428337,free_3_primacy_scale_Semantic_CMR,0.7449287694950711,0.010983280024112418,0.526522097697603,0.9045810051009153,0.29173883884467344,0.7634146110707553,0.02888686735590551,2.486657725962992,11.310919001049534,75.47499589691729,0.004433170202227443,0.4253441341385509,0.29068724316474537,4.690707449813148,4.952345947932039,0.1338896129048358,0.9369007882966427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.56692500678434,free_3_primacy_scale_Semantic_CMR,0.9796573506668339,0.1380567835015556,0.6917269355782625,0.9607728104031119,0.5274397945627565,0.70395396879938,0.09825286962008445,15.388309057303246,4.7687526854086215,2.9582308306416962,0.028194850616867273,0.18644197639857385,0.13695504441276807,2.404644364448636,3.8528080565261025,0.04501089429951588,1.1717570183654646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
