subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,semantic_scale
1,4,191.19496055952385,Semantic_CMR,0.8173361224554616,0.0041079918135020765,0.7683466490720909,0.2681966145018347,0.569099507693732,0.6210129185439082,2.779298285667956,26.10051813686522,0.0437007451079478,0.014424907628433736,7.595457705174055,0.902076054817496,0.08402173902968801
2,4,184.20355894969742,Semantic_CMR,0.7428912853836074,0.15752669636341027,0.7295695806605169,0.6956393361930859,0.00026988425086837964,0.8830211396657781,4.313737606958952,0.5188685615962783,0.0018404166786993303,0.3174793033369374,8.054302693406314,0.6331261907212851,4.04252900126751
3,4,151.1229534684976,Semantic_CMR,0.6749735662982266,0.6716387965354081,0.970100413691721,0.4983573121964816,0.7267410719787314,0.4805737572572304,0.24559188001001786,5.2422168887298355,0.0072503981247953875,0.29051432705162483,9.989744540089724,0.4392495166733231,3.5465050671517497
5,4,196.61120324610553,Semantic_CMR,0.6813846331114837,0.07126666495018369,0.8970307675615941,0.2127156255476491,0.4612497842420153,0.3308550541680083,0.9083338085459403,11.616831651409662,0.0028549704267747944,0.15426442469814194,9.310560359255792,0.9739250280804475,0.5664827536324051
6,4,114.93446944335624,Semantic_CMR,0.4759932307899045,0.028703579355896014,0.9837116265086285,0.3787668455883069,0.18563023839297516,0.46919102003198565,46.57032628977886,1.1781527497848288,0.006424289342929379,0.34704646770689074,4.216989698342688,0.3829781488733207,3.342751554794505
7,4,130.60602902966548,Semantic_CMR,0.7475189947825333,0.06870902512217814,0.8012648784238559,0.22843424062436424,0.10783421780241675,0.25250562796164466,1.4876469278325644,70.28046978476861,0.023760100155411745,0.217079804367593,9.95745090448552,0.5928101503528076,1.405103167233868
8,4,47.44229913214249,Semantic_CMR,0.48117882107565557,0.011657221902443171,0.611852547116124,0.4787960589555337,0.5040454397266241,0.06989804995666143,9.209746168249424,0.8617877501446642,0.1317591211526038,0.11028874006486866,8.856598798447106,0.8743086915609837,0.13690741896460334
9,4,136.59642095709415,Semantic_CMR,0.7088567590874787,0.20458710978269506,0.9923318637389161,0.09427272801139164,0.3681054391873005,0.5206729125338141,0.38695491691591144,47.151917557721625,0.03513613399614052,0.052217524024493756,9.828786381199311,0.905162295726808,0.4798646403919866
10,4,139.3142288139534,Semantic_CMR,0.6204764562585119,0.10503384507065461,0.9990087840680805,0.44087960602580045,0.6074162036028246,0.8243327419534026,2.0385913841831993,34.80427828783156,0.011229136790482486,0.26376779637527115,9.85144634807746,0.444405225682282,6.103111005141741
11,4,128.2784653620951,Semantic_CMR,0.8000610628815255,0.09122978202795073,0.9980687012239696,0.17216156983124548,0.45623779814746773,0.5261923246446504,0.6093924174140994,47.5028413148181,0.008568785189047079,0.1749840298066454,9.685666081067222,0.9384767063450795,1.542902260410214
12,4,69.27366886902058,Semantic_CMR,0.9210868888037151,0.12772887324648968,0.9932088910737484,0.08266246099723257,0.7895913829165288,0.7372197893650387,0.4861280021394805,57.54058010245379,0.004336093901599503,0.5685800443894227,9.775135797576914,0.9868871157408974,0.8197527579880513
13,4,121.44901383571523,Semantic_CMR,0.9638547395420113,0.1382098662814225,0.9939336399616814,0.007139783040651326,0.29170222803459733,0.22254878653495463,25.082781368456665,0.45557081091865825,0.00435783702782272,0.3254576363471928,9.142429989060615,0.5427028776868421,3.69030434563193
