subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,feature_sensitivity,context_sensitivity,learn_first
1,80,1438.1494529392594,ICMR_2_0_1,0.6528632384080099,0.0018252304585433961,0.3184812808720546,0.06294454224451415,0.9999999999999998,0.07777989886489026,34.56462565712061,3.12876615389418,0.01578413503230065,0.438476461932619,2.3098977673247765,0.9820724961613845,1,1,True
2,80,2248.070361209627,ICMR_2_0_1,0.6096187518342857,2.220446049250313e-16,0.7082672147754225,0.34079645866984154,0.6180577620743433,0.14300066866219133,2.8981283605449826,23.913082520098826,0.0028313368229630036,0.44235626477082746,4.5087928758703075,0.9999999999999998,1,1,True
3,80,2183.767281033107,ICMR_2_0_1,0.6629541198128227,0.0011384951257419013,0.7522169989027468,0.15764177279270786,0.9999999999999998,0.14047079666357792,6.4302569836882215,24.11174124152521,0.007195483657906049,0.3687208746574927,3.0367535932335588,0.9775391532173925,1,1,True
4,80,1635.218389210174,ICMR_2_0_1,0.792126436084826,0.028675642137175238,0.7215947978993349,0.05553575174771856,0.9999999999999998,0.19006453639765317,8.881848155878824,81.67960364657378,0.027771627088504752,0.3383238496062131,1.5315699901951088,2.0764332205418274e-06,1,1,True
5,80,2075.1803245574415,ICMR_2_0_1,0.6282792903307239,0.0017621439117234342,0.7089938125781325,0.7370547543776033,0.18018127992032482,0.09070989346134611,2.9159283445233823,94.35004406093597,0.014334913906086426,0.2978023744455913,4.719902024712154,0.9996905123560498,1,1,True
6,80,1734.4757843523876,ICMR_2_0_1,0.9337496743098985,2.220446049250313e-16,0.8626302964966609,0.15820962328565646,0.9999999999999998,0.36563481617575694,2.220446049250313e-16,22.109856863317486,0.01833140374425355,0.3474933734773042,2.587905418329921,2.220446049250313e-16,1,1,True
7,80,2300.9890997652383,ICMR_2_0_1,0.8060571361665324,0.06474677022524027,0.7242624250799196,0.15182256890152884,0.9999999999999998,0.32930478233429017,5.169795373047391,47.80863227180724,0.01042546364263627,0.3176180073621902,2.422781944273398,2.220446049250313e-16,1,1,True
8,80,2069.2508012245294,ICMR_2_0_1,0.5844741464497293,2.220446049250313e-16,0.6377152312795646,0.8782922845414144,0.4689993890900585,0.13604823716398118,4.009253587525426,38.48814215643546,0.009959472644589538,0.3754431307189066,4.447444131732767,0.9999999999999998,1,1,True
9,80,1712.4231578616127,ICMR_2_0_1,0.7265482573361739,2.220446049250313e-16,0.8186831765886182,0.105463881024497,0.9999999999999998,0.256288781608783,3.6698130680303898,92.42892626263027,0.021031985898748558,0.3125086092838087,2.406977463122588,0.5993882180811504,1,1,True
10,80,2072.327151137546,ICMR_2_0_1,0.5902462787382126,0.023951952030599976,0.891642098575162,0.10254377650376308,0.9999999999999998,0.0796866370283028,13.629688386314859,61.8869176501047,0.017104638212257776,0.2962799631204295,2.2831280110936913,0.8861964782604553,1,1,True
11,80,1795.2255561632314,ICMR_2_0_1,0.44505010052332156,2.220446049250313e-16,0.632504745891627,0.5083573168150699,0.9286038366239913,0.13366443335397957,3.5055257724135207,64.5006915871847,0.0247556772197384,0.25305587524463463,5.88900783567999,0.9999989738388589,1,1,True
12,80,1794.7693455790775,ICMR_2_0_1,0.5249862631446907,2.220446049250313e-16,0.01433008120010915,0.21141680101476318,0.5601467936411277,0.07783186150932343,6.543823793552302,80.06728834438253,0.023454686944348747,0.2859486713345662,4.45751969633703,0.9999993732546079,1,1,True
13,80,1919.944752020532,ICMR_2_0_1,0.6608198009057535,2.220446049250313e-16,0.7276042135119696,0.7774667714381225,0.30248317882067766,0.1745821058120328,0.8587973375111506,65.73783117298532,0.022064420008103793,0.267300392614449,4.340229710642868,0.9999999999999998,1,1,True
14,80,2077.479071745072,ICMR_2_0_1,0.7268180154974366,0.04950059175326747,0.705545451538545,0.13005022672356228,0.9999999999999998,0.18036209992780416,4.861144089688195,55.64437525092825,0.00795011140209042,0.3985882798616263,2.5049394243538288,0.15465335689402482,1,1,True
15,80,2127.2882538974613,ICMR_2_0_1,0.5727894913480276,0.10726662018354761,0.37098118232013605,0.22331111557974043,0.9999999999999998,2.220446049250313e-16,1.629076919690284,33.458014426870164,0.012361556498003731,0.33109338198439975,3.881258949695528,0.9645415726781367,1,1,True
