subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,1_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,1_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_semantic_scale
1,8,299.99656706285816,free_4_delay_drift_rate_Semantic_CMR,0.7521677920397555,0.5172095547375901,0.5365140495039566,0.7545161950839656,0.3966180218298123,0.26690835807216373,0.37482503310669696,0.6172187401139446,0.8671278338613178,94.76111184618793,0.0027084324515680436,0.6259800564194453,0.15530099274255882,4.9534991276753555,9.573375912487823,0.011877985226489474,0.8265931842681977,0.13324054640712202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,311.51378659658576,free_4_delay_drift_rate_Semantic_CMR,0.3939733215989562,0.1025553063766445,0.8542843903040975,0.5088045101190868,0.7802246545056523,0.9775664258337051,0.4113825554607003,0.5056071707893305,10.21640709641136,0.782184920312865,0.004843309088637948,0.35489321763661774,0.24255409205664336,3.3759194450314607,4.084822202346709,0.48460670329874056,0.8385843862377056,4.970950446757461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,331.01783414423915,free_4_delay_drift_rate_Semantic_CMR,0.19899458335121442,0.44024439824374734,0.11016063130505219,0.030081345370559832,0.17426338358180826,0.11650236150455906,0.4138172819981113,0.14895808676266198,0.6543642547436821,69.66154580278437,0.0027470713628869026,0.37091224174303367,0.31243799254480714,7.196133942061638,6.207180244848747,0.5404117666965954,0.20870426166125192,0.27885178228172636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,410.9989670540505,free_4_delay_drift_rate_Semantic_CMR,0.7622402630765384,0.37590911229242036,0.6321121804389709,0.8472679902848193,0.29720145270264575,0.6757944181176235,0.11023582286820449,0.7010634547308042,0.8692270810827338,43.18347985825511,0.003001680402959006,0.19213947045876978,0.12733170409529748,6.06243360684379,6.751218804188282,0.6555522640793201,0.7419959261870356,0.16893700408623324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,231.524456030104,free_4_delay_drift_rate_Semantic_CMR,0.7000286925976362,0.13630045360590526,0.9169287413882872,0.9387166368406306,0.9859479355535152,0.6796734692410668,0.4967060507475184,0.6539625025271492,30.6660661738387,1.130699645730651,0.004247194942542831,0.3923450873647596,0.47902451763327747,2.4168830264258654,3.2738761361884494,0.9787993896049307,0.6045017204851111,0.5158310444179133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,271.01114276021167,free_4_delay_drift_rate_Semantic_CMR,0.9982876797733242,0.4142750440988954,0.6411448287047232,0.1354449943202019,0.2246241544943352,0.7771316569230398,0.41480835492145296,0.666216371470558,3.0387220569221114,76.63515015944995,0.0058328003244689786,0.35982529874010805,0.3018340948720253,0.7400942130299413,2.5973656664698535,0.380540104668304,0.08403368559736601,5.464083270922448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.21365868506015,free_4_delay_drift_rate_Semantic_CMR,0.6323987189926159,0.08587469450176866,0.30171099910197463,0.6896539032399036,0.1584239250357123,0.759314800707192,0.2254131720209009,0.4226412354437973,62.80129257721955,1.8962776951673561,0.10088880884210732,0.27898641126044055,0.18968695879657194,1.8597782193859942,1.325763338599828,0.6255716547170442,0.7163593035127497,2.103711845966656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.5286068190753,free_4_delay_drift_rate_Semantic_CMR,0.5294956391997835,0.17635123147475956,0.7154939718521524,0.9483964217266327,0.08671560700045539,0.34662394516035167,0.36189485712171476,0.49414068539235834,0.14129208473269017,60.0289165537633,0.01687489164375472,0.17987447670062284,0.10852354132608788,6.969280665796109,8.689002329145552,0.5278829077092384,0.6216907078170217,0.47423529275334975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.61639776626308,free_4_delay_drift_rate_Semantic_CMR,0.6742909366215879,0.05804774571209931,0.6379916385398812,0.9813310862514755,0.15196758688324746,0.3195709939097243,0.5791525211649919,0.3215581726673503,1.3519392986767258,33.4255583946319,0.006171971681635469,0.4159719119286862,0.29996977701856764,3.1411385053165253,3.909712574657015,0.04585686260829691,0.621793095511064,1.4410619683559167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.7810080182639,free_4_delay_drift_rate_Semantic_CMR,0.9149978039566231,0.2050837073562255,0.6471465916984567,0.9896978215719094,0.26875369986048603,0.7597656838153686,0.4892708489862637,0.7463320805052681,1.4742622843904343,9.372246448082947,0.007695274168312116,0.29272698649463536,0.26788758773650745,3.1713424798295837,4.4390463694959585,0.008785342712602895,0.6007530764793159,1.3787135648242588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
