index,subject,bin,prob,source
7,41,1.0,,data
8,41,1.0,,data
9,41,1.0,,data
0,42,0.0,0.09655172413793103,data
1,42,0.0,,data
2,42,0.0,,data
3,42,1.0,0.01932367149758454,data
4,42,1.0,,data
5,42,1.0,,data
6,42,1.0,,data
7,42,1.0,,data
8,42,1.0,,data
9,42,1.0,,data
0,43,0.0,0.05853658536585366,data
1,43,0.0,,data
2,43,0.0,,data
3,43,1.0,0.03773584905660377,data
4,43,1.0,,data
5,43,1.0,,data
6,43,1.0,,data
7,43,1.0,,data
8,43,1.0,,data
9,43,1.0,,data
0,44,0.0,0.046511627906976744,data
1,44,0.0,,data
2,44,0.0,,data
3,44,1.0,0.0297029702970297,data
4,44,1.0,,data
5,44,1.0,,data
6,44,1.0,,data
7,44,1.0,,data
8,44,1.0,,data
9,44,1.0,,data
0,45,0.0,0.07335907335907337,data
1,45,0.0,,data
2,45,0.0,,data
3,45,1.0,0.02847571189279732,data
4,45,1.0,,data
5,45,1.0,,data
6,45,1.0,,data
7,45,1.0,,data
8,45,1.0,,data
9,45,1.0,,data
0,46,0.0,0.09246575342465753,data
1,46,0.0,,data
2,46,0.0,,data
3,46,1.0,0.03,data
4,46,1.0,,data
5,46,1.0,,data
6,46,1.0,,data
7,46,1.0,,data
8,46,1.0,,data
9,46,1.0,,data
0,47,0.0,0.06374501992031872,data
1,47,0.0,,data
2,47,0.0,,data
3,47,1.0,0.03684210526315789,data
4,47,1.0,,data
5,47,1.0,,data
6,47,1.0,,data
7,47,1.0,,data
8,47,1.0,,data
9,47,1.0,,data
0,48,0.0,0.07027027027027027,data
1,48,0.0,,data
2,48,0.0,,data
3,48,1.0,0.03278688524590164,data
4,48,1.0,,data
5,48,1.0,,data
6,48,1.0,,data
7,48,1.0,,data
8,48,1.0,,data
9,48,1.0,,data
0,49,0.0,0.062146892655367235,data
1,49,0.0,,data
2,49,0.0,,data
3,49,1.0,0.02926829268292683,data
4,49,1.0,,data
5,49,1.0,,data
6,49,1.0,,data
7,49,1.0,,data
8,49,1.0,,data
9,49,1.0,,data
0,50,0.0,0.09183673469387756,data
1,50,0.0,,data
2,50,0.0,,data
3,50,1.0,0.0290519877675841,data
4,50,1.0,,data
5,50,1.0,,data
6,50,1.0,,data
7,50,1.0,,data
8,50,1.0,,data
9,50,1.0,,data
0,51,0.0,0.08203125,data
1,51,0.0,,data
2,51,0.0,,data
3,51,1.0,0.02772963604852686,data
4,51,1.0,,data
5,51,1.0,,data
6,51,1.0,,data
7,51,1.0,,data
8,51,1.0,,data
9,51,1.0,,data
0,52,0.0,0.06201550387596899,data
1,52,0.0,,data
