subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,1_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,301.99950500640836,free_3_shared_support_Semantic_CMR,0.7673242740832591,0.6629570262533868,0.48900486351748473,0.7963189730157465,0.6258284750259886,0.3480256729823677,0.6846161659483734,0.48136641361374677,0.8391715375366502,62.9539725536753,0.004304909930751222,0.5108215631151563,0.12611953974586942,3.813644735852044,6.829710480591263,0.49448691742209294,0.13265177961681385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,308.1588609704154,free_3_shared_support_Semantic_CMR,0.6283623595629857,0.6640839311952389,0.4951819801302783,0.4227547153425939,0.4280299363978143,0.6618201576843721,0.0554018715051528,0.4967158444691223,2.1948586037785134,76.29954900265841,0.00019172198258532447,0.6617198714496482,0.44871302960479564,3.774684151076494,5.070436278219277,0.332461502917219,0.872713030091866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,330.92361443630494,free_3_shared_support_Semantic_CMR,0.581560840300058,0.0464384185030598,0.26752959239648366,0.5968657853552745,0.45257003817993413,0.34070024458129267,0.7540976834762366,0.22333663517439561,2.4423151144759174,18.82208772298895,0.005658616082652224,0.35715441293084016,0.28636142521603425,5.251858543812251,4.037295077960725,0.5805237047241315,0.46635821617993756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.9723947252294,free_3_shared_support_Semantic_CMR,0.7742600646161727,0.09910200272327091,0.6915694275006322,0.9235572680815463,0.22962409504512415,0.7566018832957745,0.8551980879135335,0.6824598417922343,1.5539783420493478,60.75422255683806,0.0010509724956076494,0.25492752006841624,0.19362503671066378,4.005515151332205,9.349662623692431,0.7712357743959977,0.257175507362323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,233.1373088435687,free_3_shared_support_Semantic_CMR,0.6839144980551666,0.4600989320934929,0.94050830594181,0.9841270054476365,0.5032341181173996,0.5248799955747205,0.8793287981226807,0.5218463591462521,45.13757794905815,0.8111921915724523,0.0011272510215211695,0.49598358063367787,0.5955262174759746,1.4031804351623856,2.0792744821502613,0.5435277195645287,0.6749593403466312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,266.67437079517634,free_3_shared_support_Semantic_CMR,0.9385096685191278,0.24469006384333009,0.8700522360524643,0.9458791182380099,0.38244306229967684,0.29638410667574977,0.33540058389508254,0.2109742155608542,3.324026165963248,68.78931003537649,0.00407570607649556,0.34859990539522057,0.3528918573029662,3.8224215172389293,4.934426778145382,0.2819627338058431,0.3223299706513917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,100.05925100215836,free_3_shared_support_Semantic_CMR,0.4933094650488624,0.058795131011703694,0.3532697074206625,0.7785612483099785,0.025773798830277972,0.2531619935670533,0.7547402258649681,0.09599242740858888,14.028457885422071,1.196468268564864,0.12384071451218898,0.2862233315327547,0.13877164485770344,2.5877392709736173,3.5739434833092467,0.32265797653838146,0.34787208773041733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,247.6163316415574,free_3_shared_support_Semantic_CMR,0.5393185797055079,0.06679710925852916,0.7832934854981523,0.9806284128036832,0.1890484356509018,0.1564688362138213,0.6358499392894765,0.45313834201342323,0.3174976149219262,57.67072507935168,0.008306954673128197,0.23373548184860393,0.15584191346917997,7.494980633743063,9.9041594512001,0.5965262923489768,0.5142524616595363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.1007252011405,free_3_shared_support_Semantic_CMR,0.7220376864922564,0.017461388148247603,0.5055918722758077,0.982904617854249,0.058149554621720057,0.28998657087113267,0.8706047472294913,0.3792889777880829,2.772123628895848,77.88999662909619,0.005379407131885228,0.43242788919270936,0.2913296670432928,2.867211302939439,4.383217336422481,0.035418517817979334,1.8617165536655458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,243.51823508426435,free_3_shared_support_Semantic_CMR,0.980451735980482,0.3973104864964123,0.9366277331255981,0.9733164084103003,0.13398725018919488,0.3662042398549012,0.049523792473747774,0.890191432167577,1.5933817341095633,37.635469074935145,0.02261193357273833,0.10873677435258866,0.18918635734987976,2.768105702486791,6.383668976072899,0.21213540608830722,0.3092507295542344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,99.7181080986849,free_3_shared_support_Semantic_CMR,0.5063725845540816,0.012731784570488458,0.5095420713377864,0.9341488714086934,0.09363036314034584,0.021544933698282254,0.44802521426302094,0.6995584118315227,0.03693932686543633,73.09851305167032,0.029840523945997233,0.3488936690277553,0.3078241265703934,9.862653900913351,9.906390478477183,0.9755894419570763,1.8952356416057854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,224.98902434855657,free_3_shared_support_Semantic_CMR,0.7207581404547182,0.0490049646852414,0.5721932762680286,0.8614844917069546,0.3824052662343696,0.7431829853987248,0.6133562797152206,0.18323321194624825,9.242273974558927,0.610754550305991,0.011592968757867195,0.4843504537120191,0.2799580989099839,3.9401476852606128,5.281598377481098,0.2725841961426646,1.8977635490580314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,305.76863997175093,free_3_shared_support_Semantic_CMR,0.6691941838394033,0.08109296805425525,0.7709102197053939,0.6196742579111802,0.7744609751922759,0.7474330934378407,0.1402720451942503,0.4330888244336838,13.88438706424077,21.020581119179756,0.03555769549989091,0.15250260579741148,0.057057023305575605,3.267670215515291,4.411583956338413,0.5375269111918266,3.656021541351979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,339.68434376976063,free_3_shared_support_Semantic_CMR,0.8022074063031691,0.10220476454052849,0.2838610330885506,0.8515009308931085,0.2578749483285554,0.3421356757487607,0.480013743607869,0.3620298433671415,2.1105776801243596,35.22032134144729,0.0009665347857944006,0.4209803214889398,0.30034322981709477,2.823265783637011,3.628665759969564,0.29309816387274196,0.6506924820845681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,176.17223443492668,free_3_shared_support_Semantic_CMR,0.7112081038863663,0.015052951368082546,0.018967333516870966,0.7785678761685638,0.18581610412252753,0.4555900024216665,0.6375118108630451,0.7850970566237072,9.110378502766167,45.025751745055,0.03657766390096784,0.193569627399091,0.19289432792765382,2.8286875824264355,3.5110436185768226,0.3381298227046724,2.020457837094334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.5736875499981,free_3_shared_support_Semantic_CMR,0.9133516088629459,0.08621318854126142,0.31244119230232714,0.8889441150825301,0.6758467425200395,0.6567784631908455,0.11041676135140238,0.7685204630408154,8.590292308765669,5.379302448037791,0.013211246050995384,0.2743514544857808,0.17391965789308728,8.636671420064966,9.858302756731089,0.10593266548887587,0.2125348834687335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,243.97513729941733,free_3_shared_support_Semantic_CMR,0.6993299866557676,0.12634278366377732,0.4355380969399726,0.4522347859468575,0.11776903254324837,0.6517974774557921,0.8566298230650201,0.898807994163518,2.7908629164180154,47.22854858879785,0.01393175580807488,0.23201347861776497,0.2560365521590025,2.6444797012167687,8.688342395901755,0.22146358191377835,0.6940252032499139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.60996187266846,free_3_shared_support_Semantic_CMR,0.6123857902531931,0.23477022826761262,0.6037636493617686,0.6564274799730007,0.20476271240720897,0.17620207017495731,0.4659764643895265,0.5954804939616057,9.792272004095757,67.85099977542137,0.01591578639592558,0.337766157586724,0.16642118539026793,0.9919718092388023,1.8283630056141726,0.4355636811291368,3.2093309298166637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,263.3385538644112,free_3_shared_support_Semantic_CMR,0.6444478136133165,0.7034252959376736,0.25333412858071336,0.8683173246373304,0.29680588282391507,0.6804943868922515,0.3978337473537183,0.9757875331008632,0.20072261189658747,59.269744240326176,0.021001449823338292,0.22987321448644416,0.16488989781564722,5.5329125904739005,8.077199754552822,0.6327620023094775,0.6199170507288789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,299.07452168366035,free_3_shared_support_Semantic_CMR,0.5190646028594368,0.00907394334299283,0.48617203847952817,0.6134782960074356,0.19126372778098577,0.11659545402439803,0.6198300760687865,0.7716206766772367,29.58248798648757,67.83481324967764,0.003386105076688406,0.3773685693515123,0.3494853386839498,2.9193728473865455,2.150337151981475,0.035541716867510176,1.1879197221211486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
