subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate
1,8,313.56974273791303,free_1_semantic_scale_Semantic_CMR,0.8293647436696436,0.25311685404275186,0.5559228225621844,0.8563524814873267,0.057082253467462596,0.12117177067443552,0.39163924748669127,3.31577922096497,67.19774466069589,0.048888274532139786,0.02067955177571168,2.4366396316849404,0.586082533041824,0.2553671008192424,0.0940844920116426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,315.23454852932497,free_1_semantic_scale_Semantic_CMR,0.6089643566058879,0.008525661172778455,0.8085484753391093,0.4186862446401653,0.5823952332376855,0.9412183796530694,0.2924882103575916,58.93860381513829,0.587359129425788,0.0059914166894039144,0.20686646731952607,2.2825912536746262,0.42675460505017965,3.872115691145747,9.671110059517652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,330.4330910067,free_1_semantic_scale_Semantic_CMR,0.4695437665928562,0.016711171445683293,0.05907868956151413,0.8026340020053626,0.7427589359149418,0.6498861453826938,0.3212182240118293,2.6420731013393564,53.209846934298476,0.0007546267808246077,0.4948886033895983,5.779741164212842,0.7084376225789896,0.2496559602964039,1.1694930195620756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.22098411388447,free_1_semantic_scale_Semantic_CMR,0.7469879230409612,0.041260414380864696,0.6167717335281921,0.898538649922767,0.05633890254247448,0.31575462109945396,0.495818345452635,1.4264136172817672,24.745101857210607,0.007193356351905267,0.13032623456366998,3.3176883811242086,0.9100772214835384,0.1994253715403298,0.2602663073263134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,239.26723312570408,free_1_semantic_scale_Semantic_CMR,0.5046414024458578,0.3575266488177743,0.9719178062361301,0.9632506355644153,0.6152594574475969,0.06938597945911645,0.6084019185548147,67.97094276272634,1.1023741948845966,0.006327708506633889,0.38656481815261223,1.1546552704661481,0.9653756185344707,0.9675188846507528,0.9110198423838103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.722360361269,free_1_semantic_scale_Semantic_CMR,0.9099403649083185,0.028727922284943728,0.9445809622193824,0.29503809988802787,0.48281163845645664,0.20027579346685392,0.5445024734958948,10.897569361129802,41.32960770520692,0.00560325774900638,0.33009944211439923,3.907795017154091,0.1493370552926044,0.06407433318844427,2.4838686743998033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,109.55758932401534,free_1_semantic_scale_Semantic_CMR,0.6198709261604205,0.3196600423394947,0.6960308825284168,0.33373792928556495,0.17661653578476771,0.2767707477797735,0.8161894335509428,7.202956842907391,1.1226485189566384,0.16751963511879173,0.15984795977422656,2.4053419259924143,0.2224415016908824,1.2557658734694492,7.994974711589302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,248.9546184054136,free_1_semantic_scale_Semantic_CMR,0.5633808047866747,0.12898871363266812,0.6919447756923884,0.9606384239459421,0.13374588952933458,0.3051096351242023,0.5513635536151014,0.1648890696275842,65.51365899879298,0.032861786085557954,0.09903636906383007,9.272885627021678,0.7589013706001976,0.8090501517054127,0.3802440162023153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,229.74034102868842,free_1_semantic_scale_Semantic_CMR,0.7221645602793183,0.037753894659333764,0.22105469770048225,0.6211497723396451,0.17221467654935907,0.470877450876024,0.2518200664281215,1.0047941286252282,97.30167716392347,0.003850481954769225,0.3398654472120537,4.320506854330362,0.35255009324941666,1.209692280273317,5.529321211792646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.94006114274234,free_1_semantic_scale_Semantic_CMR,0.9106531299585514,0.09679610052216475,0.754766424833485,0.6945637569444593,0.5174498083193759,0.7067046103373453,0.4488937365991865,1.9556006834218493,97.93931094786382,0.007981528508840152,0.30494009613417816,3.227923674014299,0.00010313678751106004,0.6367027125274554,8.02571228563267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,97.0659707099511,free_1_semantic_scale_Semantic_CMR,0.5178154731541886,0.05616735814386975,0.7848374588633193,0.8633359674235881,0.041476046298691616,0.515809467673615,0.7313190547980076,0.19930058776785842,72.71796254856748,0.006793100845687128,0.5442379302885678,9.92499001458283,0.9371063273081861,3.4243057939005355,1.3940572334933048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,232.33225587828767,free_1_semantic_scale_Semantic_CMR,0.9618722613333731,0.24424209338461578,0.13866630100757898,0.9395430643373041,0.2041983822241199,0.9716069853239213,0.36673880584171925,23.929928713026307,74.08469200733511,0.03683584219578162,0.14972775277757044,2.3034383435878683,0.4731292797481666,8.358984840595806,9.114236421727284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,8,304.2189938289157,free_1_semantic_scale_Semantic_CMR,0.4098496701463644,0.9269935175797159,0.11768391292705141,0.95136450605728,0.6120778627520704,0.1787076137576987,0.9695707821454783,2.2189090150637734,0.5854434628278798,0.02098343974966179,0.10461730016298829,3.487819407760927,0.07448847642449956,1.7273196375163966,6.3160811624995805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8,341.9497507440997,free_1_semantic_scale_Semantic_CMR,0.8588555553114837,0.4949575362327238,0.234719222661518,0.9892750838883801,0.6170023251760609,0.7554247758030757,0.7805275210871014,0.9654740731875967,60.07386997325242,0.0021258616652868358,0.29495006645614735,3.901135888145668,0.10131097826897653,1.3564955444326412,0.5886451804287409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8,174.5670568520656,free_1_semantic_scale_Semantic_CMR,0.5579442264403104,0.03875632801608209,0.07593510239766338,0.8181826510877637,0.05153043921625072,0.7150035496305266,0.6528582280741957,12.027128294112487,26.425254066141747,0.04752846176556441,0.21496586867518452,1.6257175326134528,0.16617223950754006,2.7529415298161988,1.5738764088540966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8,271.13558288197135,free_1_semantic_scale_Semantic_CMR,0.876882376352947,0.005068804987254205,0.6062317833317228,0.9628085349999874,0.43817075786717075,0.3053434023985594,0.21727385090865525,17.500381278718848,11.13167635465279,0.00900092485223758,0.23474956379620426,6.324928417814071,0.18096832942319713,0.14796046443697453,0.19025098752367597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,8,245.34257794282985,free_1_semantic_scale_Semantic_CMR,0.8155692412527875,0.08632015175909591,0.6592998342574794,0.4459129418895709,0.09160397332033515,0.5199863933156912,0.47129642100206237,3.3875342089954756,2.1372788422614235,0.009130695740705685,0.24921271874644813,1.9561029329196122,0.013616930665493188,0.4184451286227189,1.8375037003524919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8,267.1316363376359,free_1_semantic_scale_Semantic_CMR,0.5369049197093371,0.058037488318546784,0.14742991940693537,0.9605765350315147,0.34516234887263275,0.6758198410954837,0.17430847555541681,10.32020994896808,36.295578908927865,0.029966990827844715,0.14387168113659166,2.2853484051235777,0.23481636491953342,1.141004168004259,0.3938388480111413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8,269.8573809627006,free_1_semantic_scale_Semantic_CMR,0.7833708956511931,0.08452520208613529,0.30706834717267273,0.8500642616506082,0.5193942821905416,0.18566791669016752,0.36791872826513133,2.300695572722624,0.4330939470787669,0.014922046110148302,0.24165426312841198,2.5151882647209884,0.632309304203098,1.9708039305832608,1.915419341673505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8,302.7857573235811,free_1_semantic_scale_Semantic_CMR,0.6402563877868814,0.010027303941716248,0.7487161515194642,0.5915245919278599,0.16591742234292278,0.6281922086138712,0.7595836335148037,31.54852108522142,69.40603385495919,0.0009160006634313933,0.45637285014815276,1.5713551288186736,0.17863095267200657,0.5018025148742025,4.9458198304888015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8,289.3230547135079,free_1_semantic_scale_Semantic_CMR,0.9236633791659727,0.2344797264752898,0.7230441749440146,0.2207295594401738,0.16486118494856394,0.9111843941712807,0.42211897963159783,16.679489192939833,38.22540471391748,0.017695248376818684,0.15505958045011603,1.825664728356494,0.37584261413921966,0.664688313820438,4.159183617865064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8,202.85588926204366,free_1_semantic_scale_Semantic_CMR,0.9397304970798503,0.051153953478292546,0.6569443402515679,0.15800597158435375,0.19952316384437063,0.6120963260350274,0.9065690660111037,37.77768901844384,26.537489545378534,0.013518559734459978,0.33360783301934926,1.265744036809489,0.033950334264873705,2.026646599326102,8.612693381453514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8,184.60056319315424,free_1_semantic_scale_Semantic_CMR,0.8818779643866361,0.31573973191128335,0.2927700342331727,0.6598077417756132,0.024590862810995706,0.7754710629640315,0.7644536072171007,0.7698365065046104,28.97130494622508,0.03920027043685148,0.23204175102011249,1.300085614113157,0.11198023925563705,0.13700828922746133,3.080177696768441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8,255.74677293845883,free_1_semantic_scale_Semantic_CMR,0.276348121186586,0.2773590651778344,0.06978809587852389,0.28063566840820736,0.1610229374592997,0.9168388334142906,0.6302599882524057,1.28338689833316,3.0590639664171717,0.031000043612251643,0.1754165810101435,3.377223418914062,0.1279320874132312,0.07288734545623608,4.286095524913225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,288.37526987643514,free_1_semantic_scale_Semantic_CMR,0.7624134372328933,0.05809688330738022,0.847308686073355,0.32956774949271506,0.0907361417737041,0.7931073767941386,0.494110787488286,4.7363871306655625,66.04470789817822,0.004688487736226876,0.28515982959624786,3.0176153602459306,0.3360013858323492,0.6519921623696332,3.798903273591894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8,339.9348293463014,free_1_semantic_scale_Semantic_CMR,0.6464629049682025,0.3880875822894971,0.9356246429785928,0.8466418150699677,0.37293859084660885,0.07660208353374037,0.9884260599716588,2.299642009387945,20.128198344878534,0.0038450212983174303,0.219248421985192,6.931777957252133,0.1815051747012248,0.9630448296414507,0.7377803420526909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,8,261.098706329029,free_1_semantic_scale_Semantic_CMR,0.7175079682374748,0.4396792770364393,0.6942464081227724,0.9086818935718488,0.3541314421432485,0.6320940965444342,0.5602812955338431,2.8201103614396956,95.45396734714046,0.02477511560667428,0.08872335352772787,6.458310825157927,0.9727987970009105,0.3672123845811015,0.072482634090699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8,253.881717904963,free_1_semantic_scale_Semantic_CMR,0.88343165254119,0.1394338756405526,0.3490528350861481,0.717688128384614,0.21597836380302438,0.9117800504457902,0.5469453057729831,2.5589773334203727,76.44093632214508,0.008151519331543788,0.24572410923464094,3.241483972839696,0.1969801412495612,0.32000203250433223,1.7598065005427523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,8,263.8549775453759,free_1_semantic_scale_Semantic_CMR,0.633496349130243,0.7301628375468295,0.24740241721792416,0.25735534660183024,0.6209385220232859,0.6799257926571095,0.8808412975826656,1.8113556746922512,60.358030683149536,0.005499629158743968,0.32986635000113296,3.1197412480414006,0.09105233076209313,2.4701430469896084,4.415334759875936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,8,273.1552965380189,free_1_semantic_scale_Semantic_CMR,0.1975730227851768,0.18036996361086316,0.30186879304442604,0.4062534909383845,0.2077374668782369,0.2907362997083019,0.9404447599598823,0.675336487689838,82.11008373379745,0.001871354110124058,0.44142795116781164,2.9394088014216755,0.7809541590305437,2.5065611781826913,2.6244090416176213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8,229.38239826938948,free_1_semantic_scale_Semantic_CMR,0.5620437112721629,0.22718578007295603,0.7295973818548077,0.2773952304129167,0.008757585331457818,0.888379739172646,0.4307872659402566,2.7471139019750765,12.553146804494752,0.0082043613538339,0.3540064541502588,1.6485535164775444,0.04018251704466047,2.2498792348784704,0.43069894710948375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8,316.54007963861386,free_1_semantic_scale_Semantic_CMR,0.7575576567828224,0.1359938570739809,0.7343265527137376,0.6688525989433065,0.5003724376318864,0.9583280404491423,0.8631990966181239,1.2524756009114082,54.3573657114952,0.0025018918475984316,0.3129269488544495,4.494646782331952,0.5240796029445853,2.386027081767065,2.051148684575432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,8,197.71232571580083,free_1_semantic_scale_Semantic_CMR,0.6481988160207806,0.09470606130053133,0.026304838844486367,0.34322258220967405,0.09342590378619409,0.5413942377782788,0.5196098906404468,0.9128204143468253,96.18742010065938,0.00464064698078076,0.5266925227458028,2.110390320738299,0.2928202845855551,0.0640882071660025,0.2848741958258296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8,280.29779057981705,free_1_semantic_scale_Semantic_CMR,0.5946646743975746,0.9131020431014056,0.11533167079946599,0.9456325284801255,0.8718493353529924,0.13842010274741529,0.9357022673407658,8.177245251609008,46.503320112376315,0.01718656192554796,0.21511562554368346,2.1145397649728266,0.549551158413879,0.3239725520262642,8.147692630869871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,261.5944817233532,free_1_semantic_scale_Semantic_CMR,0.37936228519844367,0.14095008475970422,0.009373335870863475,0.2493497544152914,0.20114614435942602,0.9171314404358646,0.7494893184556687,9.098186873322064,21.239244126072478,0.0028420321778329094,0.5444221513099006,1.8368344277921294,0.03904900898682573,3.4313560357393467,2.6328028053450545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,8,361.5963338962312,free_1_semantic_scale_Semantic_CMR,0.6583055762704374,0.11283498751427667,0.3118886246491177,0.9988368907222398,0.659392533808276,0.44775144538457545,0.1371703096930778,4.578633479758679,63.19117687734196,0.006836981764055616,0.19334540960152946,5.463264148452547,0.316856972910753,1.840521980526586,0.7828426871571761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,277.79357501092284,free_1_semantic_scale_Semantic_CMR,0.7585774066862581,0.5186291188250626,0.7488817819836333,0.7648635048561848,0.33786620722510496,0.2495895612223772,0.8488248921515251,0.12051757830518994,21.98111561475048,0.010207248115118805,0.23095504214831397,8.152233645209456,0.8263630267268487,0.15442802158061575,0.3174201489991155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8,221.88101713608364,free_1_semantic_scale_Semantic_CMR,0.7954123699160572,0.7417219256674058,0.10743571824408693,0.9928614354294012,0.846887111963869,0.04473396694641063,0.44904172423811256,1.6616783647141347,28.827561068839536,0.03750830402133454,0.1029223415896876,8.545829943089503,0.6317936932778885,1.6316053349320758,0.5191049246153421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
