subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,semantic_scale
1,4,188.5198089934191,Base_CMR,0.8672639800888298,0.19279184254362092,0.8301177682594243,0.2605002783663848,0.6632509928876561,0.4336025168592945,6.163041846186751,1.2301244601168762,0.013774345051453807,0.041780270717172385,5.312370681801012,0.5907536781371583,0.0
2,4,183.57864783137774,Base_CMR,0.8965183900472531,0.08284139091475023,0.834577383910883,0.784179120816995,0.8130997122914305,0.3450450361112322,45.49940583128525,0.4773134061813522,0.00020606793938043877,0.4534662288790985,1.8038416583298487,0.4225504650330262,0.0
3,4,154.50440779495617,Base_CMR,0.7906036065498794,0.34496563627480537,0.9856951617397347,0.5708297484999281,0.5112877731223426,0.49777341390244484,0.712895013092421,19.00284320990992,0.0023250750814444165,0.35869797317084995,2.1870175327681,0.1540670177680395,0.0
5,4,199.8401783082836,Base_CMR,0.747125758744418,0.022401560098113504,0.7001198852835909,0.2902694484304358,0.050046264655486616,0.6738254941613496,1.3310169877864695,33.57808806241832,0.023698176191453924,0.050721688608048154,8.453832633357873,0.9767621710388017,0.0
6,4,112.98398247169638,Base_CMR,0.850539817647612,0.19763967826545137,0.9883121153125168,0.9164638789984714,0.7285121172664105,0.45865461955999115,92.12578119251032,1.376809111798714,0.0018490204523831655,0.5185463274193252,2.0269518811493583,0.9641931185369769,0.0
7,4,133.8539945338556,Base_CMR,0.9424776835003544,0.12990538856252037,0.9573738274714966,0.6822488521872875,0.8804547730489145,0.42177101037240794,2.7733532545628634,19.403687337858145,0.010881447462613991,0.246760908931539,5.4590014019284805,0.003994232989262159,0.0
8,4,48.04216421913321,Base_CMR,0.511973258640753,0.002926025457552661,0.6789929510404837,0.4216305933388401,0.9848053193796268,0.0164133995111429,11.80769906170812,1.0548664045553409,0.18920448080102648,0.07136518073284837,6.765061702457151,0.6580960604794618,0.0
9,4,144.39215936958698,Base_CMR,0.8352695389817257,0.2548426009452184,0.9991115012315087,0.2808439648580025,0.328785572896117,0.635620255922688,0.16741605794197767,40.39538159093441,0.007129453134861741,0.1371698575310898,5.788242180093338,0.6208122200115298,0.0
10,4,143.1694904927523,Base_CMR,0.9706275541794674,0.35828019878013667,0.9585476749736459,0.1431641474403766,0.9014806255076886,0.38550295070318624,1.5784662260579196,10.228417587274599,0.0028272399791535174,0.3789327418792974,2.3994095643857616,0.588909285322251,0.0
11,4,133.2392050145526,Base_CMR,0.9711419254986169,0.3130696068268123,0.9585371452529037,0.3630885465297777,0.09978358069352172,0.694697108547884,0.686591407668061,69.98780933641588,0.006436854620905708,0.2837722774022753,5.621273471438732,0.5432197301906149,0.0
12,4,86.46760370058088,Base_CMR,0.8841350611877987,0.22409512011968535,0.9979787285972358,0.710702765022571,0.8837002175870996,0.7491951628651874,0.7716647331990671,73.63305869085595,0.0007030381384515172,0.8249497511169661,7.910289272841559,0.9160775279601154,0.0
13,4,132.87620504619028,Base_CMR,0.9775335452144807,0.7965587813669593,0.9936370528058145,0.33388942898665575,0.7521716632748776,0.3457221120411212,14.854035176124583,0.5933810242154252,0.0056128805003253235,0.3088398459353856,2.694901904120772,0.3984983505346836,0.0
14,4,150.54284932225244,Base_CMR,0.9674781315210068,0.20281023630899886,0.7760455915913603,0.2901745812858436,0.29265420335136294,0.9784143910950898,2.096189399443645,10.795706952827288,0.020231610025167712,0.13354446473984716,7.867071783420167,0.9051694357576257,0.0
15,4,194.58784661295758,Base_CMR,0.9354434750897929,0.45351842384139573,0.9761457466106829,0.34646916053041216,0.4622406749971168,0.9070023895500625,0.13368545269419485,20.345261554787736,0.0017476387193783305,0.26609632697628616,4.196886758627391,0.7737125074241159,0.0
16,4,77.25484920052536,Base_CMR,0.35262995061372976,0.03596581940048016,0.8854460015890881,0.00012357746197455555,0.8498119858438546,0.8527286048869807,2.392581673200155,1.5365050455691573,0.026146372523445927,0.3076647397173051,2.3672555181905808,0.16305524043488084,0.0
17,4,144.30140860058665,Base_CMR,0.951075999668392,0.42630107998012756,0.9377100779019272,0.6300244313525805,0.6048047459342444,0.6591963073533172,4.701513273595644,2.4520178202959073,0.007238709063988047,0.23808443059871642,9.83207148391287,0.45392280429889437,0.0
18,4,128.19228706894643,Base_CMR,0.903788847378072,0.04998926547414445,0.5411702285010723,0.08597284294305768,0.7083704225141431,0.3695634896542762,4.453142166981166,53.12225469131011,0.026769540855406282,0.2013379133696267,2.6857748702311794,0.4247872342053933,0.0
19,4,160.51897785197949,Base_CMR,0.6490282483883376,0.4982449942447083,0.9940379993404139,0.48704871606751277,0.4106343384152022,0.3506601186236412,2.8286368263180464,33.804262058587994,0.005578112112732958,0.26130154226512925,3.007606952800044,0.8878971667210664,0.0
20,4,138.98044751561656,Base_CMR,0.8915732592729895,0.7560616298090814,0.9214541711186084,0.5147586231110484,0.9858900089651411,0.5659758642224273,0.09327527984335404,77.2041710590981,0.00313413223781428,0.3519696476248457,6.319102533497308,0.8832278491821486,0.0
21,4,160.58121336546668,Base_CMR,0.7949665028676711,0.1968864859474797,0.49343284393504094,0.9246165233436179,0.7666411734650718,0.13377638595452396,10.119564685772374,47.93692508688848,0.004316365637016872,0.32686336165262997,8.459255724181716,0.6018996305228377,0.0
22,4,158.5175701073052,Base_CMR,0.880258546767342,0.998651892162309,0.9899642998264921,0.7944094358648872,0.48007701142292736,0.22215432117097322,1.1467778019016919,0.3655836010635909,0.01694636088017415,0.14606106595872426,4.990311216788682,0.8599455695464184,0.0
23,4,104.43156265766353,Base_CMR,0.9624573666625104,0.8986241078223423,0.9647602089010512,0.19004312819095148,0.5317326812212742,0.5956354222299636,0.16257110813040754,8.392371640521944,0.012394242238365882,0.3503598617197037,3.7746493999901105,0.7167595421302652,0.0
