index,subject,bin,prob,source
0,1,0.14614426422510807,0.0,data
1,1,0.4486219465942385,0.06172839506172839,data
2,1,0.5468879293720912,0.08536585365853659,data
3,1,0.6104864290582146,0.014705882352941176,data
4,1,0.6544794796468884,0.057971014492753624,data
5,1,0.6867871363008801,0.02564102564102564,data
6,1,0.7154716404156019,0.0125,data
7,1,0.7448696515167181,0.07042253521126761,data
8,1,0.7808570393586242,0.045454545454545456,data
9,1,1.0,0.030303030303030304,data
0,2,0.14614426422510807,0.14285714285714285,data
1,2,0.4486219465942385,0.1574074074074074,data
2,2,0.5468879293720912,0.03225806451612903,data
3,2,0.6104864290582146,0.03488372093023256,data
4,2,0.6544794796468884,0.0,data
5,2,0.6867871363008801,0.05063291139240506,data
6,2,0.7154716404156019,0.02702702702702703,data
7,2,0.7448696515167181,0.02654867256637168,data
8,2,0.7808570393586242,0.038834951456310676,data
9,2,1.0,0.009433962264150943,data
0,3,0.14614426422510807,0.0,data
1,3,0.4486219465942385,0.07547169811320754,data
2,3,0.5468879293720912,0.050505050505050504,data
3,3,0.6104864290582146,0.044444444444444446,data
4,3,0.6544794796468884,0.04040404040404041,data
5,3,0.6867871363008801,0.02830188679245283,data
6,3,0.7154716404156019,0.03125,data
7,3,0.7448696515167181,0.04854368932038835,data
8,3,0.7808570393586242,0.07142857142857142,data
9,3,1.0,0.021505376344086023,data
0,5,0.14614426422510807,0.16666666666666666,data
1,5,0.4486219465942385,0.125,data
2,5,0.5468879293720912,0.08088235294117647,data
3,5,0.6104864290582146,0.0896551724137931,data
4,5,0.6544794796468884,0.057692307692307696,data
5,5,0.6867871363008801,0.0125,data
6,5,0.7154716404156019,0.055944055944055944,data
7,5,0.7448696515167181,0.050955414012738856,data
8,5,0.7808570393586242,0.032679738562091505,data
9,5,1.0,0.043478260869565216,data
0,6,0.14614426422510807,0.0,data
1,6,0.4486219465942385,0.04938271604938271,data
2,6,0.5468879293720912,0.08333333333333333,data
3,6,0.6104864290582146,0.06451612903225806,data
4,6,0.6544794796468884,0.024691358024691357,data
5,6,0.6867871363008801,0.06097560975609756,data
6,6,0.7154716404156019,0.047058823529411764,data
7,6,0.7448696515167181,0.04807692307692308,data
8,6,0.7808570393586242,0.033707865168539325,data
9,6,1.0,0.013513513513513514,data
0,7,0.14614426422510807,0.09090909090909091,data
1,7,0.4486219465942385,0.12222222222222222,data
2,7,0.5468879293720912,0.0392156862745098,data
3,7,0.6104864290582146,0.0,data
4,7,0.6544794796468884,0.06930693069306931,data
5,7,0.6867871363008801,0.05154639175257732,data
6,7,0.7154716404156019,0.04854368932038835,data
7,7,0.7448696515167181,0.042105263157894736,data
8,7,0.7808570393586242,0.034482758620689655,data
9,7,1.0,0.010869565217391304,data
0,8,0.14614426422510807,0.0,data
1,8,0.4486219465942385,0.0684931506849315,data
2,8,0.5468879293720912,0.037037037037037035,data
3,8,0.6104864290582146,0.06779661016949153,data
4,8,0.6544794796468884,0.014925373134328358,data
5,8,0.6867871363008801,0.04918032786885246,data
6,8,0.7154716404156019,0.043478260869565216,data
7,8,0.7448696515167181,0.0125,data
8,8,0.7808570393586242,0.0136986301369863,data
9,8,1.0,0.04054054054054054,data
0,9,0.14614426422510807,0.125,data
1,9,0.4486219465942385,0.125,data
2,9,0.5468879293720912,0.11428571428571428,data
3,9,0.6104864290582146,0.09166666666666666,data
4,9,0.6544794796468884,0.05737704918032787,data
5,9,0.6867871363008801,0.02127659574468085,data
6,9,0.7154716404156019,0.024193548387096774,data
7,9,0.7448696515167181,0.013422818791946308,data
8,9,0.7808570393586242,0.024193548387096774,data
9,9,1.0,0.008771929824561403,data
0,10,0.14614426422510807,0.2,data
1,10,0.4486219465942385,0.1125,data
2,10,0.5468879293720912,0.058823529411764705,data
3,10,0.6104864290582146,0.041666666666666664,data
4,10,0.6544794796468884,0.021505376344086023,data
5,10,0.6867871363008801,0.046511627906976744,data
6,10,0.7154716404156019,0.013888888888888888,data
7,10,0.7448696515167181,0.02857142857142857,data
8,10,0.7808570393586242,0.02127659574468085,data
9,10,1.0,0.058823529411764705,data
0,11,0.14614426422510807,,data
1,11,0.4486219465942385,0.1125,data
2,11,0.5468879293720912,0.05063291139240506,data
3,11,0.6104864290582146,0.08571428571428572,data
4,11,0.6544794796468884,0.023529411764705882,data
5,11,0.6867871363008801,0.022222222222222223,data
6,11,0.7154716404156019,0.03,data
7,11,0.7448696515167181,0.0273972602739726,data
8,11,0.7808570393586242,0.010869565217391304,data
9,11,1.0,0.06521739130434782,data
0,12,0.14614426422510807,0.08333333333333333,data
1,12,0.4486219465942385,0.2222222222222222,data
2,12,0.5468879293720912,0.07692307692307693,data
3,12,0.6104864290582146,0.06666666666666667,data
4,12,0.6544794796468884,0.030303030303030304,data
5,12,0.6867871363008801,0.0,data
6,12,0.7154716404156019,0.0,data
7,12,0.7448696515167181,0.0,data
8,12,0.7808570393586242,0.0,data
9,12,1.0,0.0,data
0,13,0.14614426422510807,0.0,data
1,13,0.4486219465942385,0.11764705882352941,data
2,13,0.5468879293720912,0.1,data
3,13,0.6104864290582146,0.03225806451612903,data
4,13,0.6544794796468884,0.017543859649122806,data
5,13,0.6867871363008801,0.03125,data
