subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,1_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,1_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_delay_drift_rate,1_semantic_scale
1,8,304.2327987574986,free_3_learning_rate_Semantic_CMR,0.6905881690524328,0.42088830179898007,0.5340607425581665,0.77637440276131,0.3512271215637231,0.16758142979858126,0.8564981482414513,0.5426057173876986,1.1862723131295567,44.68954084869292,0.01796156405061189,0.3205625375569827,0.06816196058837054,6.309432677179898,8.772683493781756,0.4162804688697586,0.19875830435655129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,307.43571926705965,free_3_learning_rate_Semantic_CMR,0.6903594865496673,0.3820576935079446,0.434721198183762,0.31271463105938724,0.7654636802332953,0.16586751906873892,0.464111229355905,0.923163318205523,1.7330465058694813,0.45039278858694587,0.010268978379743887,0.30469614484391716,0.17783145650598708,6.511277981654456,9.021547014652844,0.47232475088620324,1.2050608983246351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,332.53538363205587,free_3_learning_rate_Semantic_CMR,0.40692689130665505,0.18587922966826342,0.27231272456661004,0.3319955749762032,0.5195851741087357,0.6631959260629711,0.44747939832329253,0.7374782683660883,1.6029993402368425,81.49385003937954,0.004310703948196936,0.3884314094015594,0.29438596079148,3.9419504223928716,6.668007241127193,0.27448305472642953,1.0118438202416162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,413.59021700725907,free_3_learning_rate_Semantic_CMR,0.7505592856898033,0.37613058275892164,0.5510289126788227,0.799741696251698,0.14286400015317713,0.8406859654935281,0.9862981922355842,0.43693475658735337,0.7760708228163153,87.88402679273568,0.006728788451744794,0.15972929435007366,0.09649766404881976,4.84565596859009,4.567502363545061,0.7943683888156224,0.20795395901568092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,232.62682283274216,free_3_learning_rate_Semantic_CMR,0.5556201890396288,0.44860804390518705,0.8336918371294849,0.9614465694297367,0.7790321602334797,0.2832006528693902,0.2717722457949005,0.721080488197195,8.38707193168768,0.7602817817352584,0.003760474746022556,0.46247691757204906,0.4110290275541405,2.6489663774754977,5.278114680840203,0.3108940629248475,0.47474769568029945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,272.55787056712006,free_3_learning_rate_Semantic_CMR,0.9815365204107882,0.07573679722202042,0.883944976478874,0.2764009639471625,0.4855203352266838,0.575870241844897,0.43845994001317057,0.1531568260226261,15.334838575563943,0.2578050899517095,0.010989010434619306,0.2377988580559549,0.2729933915461018,0.6143872830356116,3.2958320210869303,0.013189921156195772,4.373927116775715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.90443886913985,free_3_learning_rate_Semantic_CMR,0.4876632710276958,0.029112131443809974,0.3762741143609406,0.45318417490785345,0.10781807721010533,0.45321296804776434,0.5586472403180133,0.3204693686468081,25.011380535870288,25.138970832275852,0.08710534513065005,0.2509303970019223,0.1456357450081427,2.429384565350221,1.3737144808103645,0.5072311245346202,5.332335332354906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,249.34306190464218,free_3_learning_rate_Semantic_CMR,0.58544541090767,0.1867477442649239,0.8056061972566975,0.9885489196855048,0.17441486223230118,0.5938550909862941,0.38738872680983216,0.5481160415333858,0.3732373916190497,24.363366956597126,0.0074037974777603766,0.24664959010175647,0.14960167447497685,6.0339911256204894,9.375924873831716,0.6867794789081519,0.5694490522025752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.25334723143544,free_3_learning_rate_Semantic_CMR,0.7315071145698508,0.007891538416068322,0.33338852169378397,0.9547726029694154,0.2026012434165968,0.34150738249137114,0.15061690755138174,0.3581089366899646,2.0816829189153836,30.320624430364795,0.005808716918501267,0.4062190065725577,0.27561896206843084,4.714839172970152,4.103350576609156,0.16613880429033495,0.6835927679591443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.73962589620282,free_3_learning_rate_Semantic_CMR,0.8374970311082834,0.20957349898828237,0.8795682103869484,0.965498375324913,0.4379849057244235,0.42982235049478024,0.6299118780395943,0.48676428682680173,1.054108626071148,88.05714810961993,0.008968682715189802,0.31308863174830215,0.2238412943959016,2.7884826717253537,4.367881225396149,0.10289016848357885,0.8493727894303742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
