subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate
1,48,1891.3578989308633,PrototypeCMR,0.7981233044939658,0.9777425292373187,0.9317179418920818,0.06303558909336655,0.9999999999999998,0.20865906790599267,0.5537251127260969,44.0324121764152,0.0015282399990145532,0.25630171798856316,1.8830585454989814,0.49385931447641823
2,48,1412.6451492626186,PrototypeCMR,0.8687527840352836,0.024968724204414965,0.9650590315146375,0.03276611247634597,2.220446049250313e-16,0.30500180962238893,21.719802895364612,0.6286436002392245,0.022127018051170108,0.1665465066153569,0.8909809798380777,0.9830417466759059
3,48,2160.209922806974,PrototypeCMR,0.8406627952973641,0.08226619602971377,0.9466904902984676,0.02840341192584501,0.9999999999999998,0.31483513737789154,6.880785684904613,57.45240093460326,0.009492634283189947,0.13674482825888898,1.0233659638159676,0.9264616657977369
4,48,1087.0733036775755,PrototypeCMR,0.9190058753988859,0.007289457662220237,0.9921279375776922,0.002611307971278642,0.0564385659386991,0.3664729768270348,100.0,47.57011228415154,0.05583045216935789,0.12502741873515374,0.4893729079320333,1.5467929601324547e-09
5,48,2049.0123028950134,PrototypeCMR,0.6460944132072418,0.9983556752410349,0.8916624932211898,0.03520034489518545,0.9999999999999998,0.2580175038410663,1.2084955246652929,49.49547153525902,0.006253671515545195,0.19228664887474337,1.278988182116778,0.9223255017334839
6,48,2077.5598030371875,PrototypeCMR,0.8708957634558181,0.053896641612211485,0.9980622873552275,0.025977509778962737,2.220446049250313e-16,0.38454061897336034,5.863252658550805,96.55471367850808,0.0031147853956641474,0.23531639609867994,0.955483065379809,2.220446049250313e-16
7,48,1002.6451950715555,PrototypeCMR,0.9885498017652692,0.2569889677244908,0.9912937649824765,1.2575034760711581e-05,0.10762733741262813,0.22042473873033144,11.179351988097704,14.634624584611087,0.07554971765941924,0.11821629683990686,0.24437089158173017,0.7347583880929489
8,48,1977.0062889694962,PrototypeCMR,0.9704679921169622,0.0798533221445215,0.9834613421322523,0.005084448830814422,2.220446049250313e-16,0.11118101758050078,59.95603053350778,1.5746274618055303,0.017717979534397518,0.12348998243194262,0.430911480134233,0.9525235918540219
10,48,1521.5531210455056,PrototypeCMR,0.7935561073709525,0.02018337512576638,0.9891334805803296,0.027775977468809804,0.4295393361775331,0.28444920055156925,7.7395491745840115,0.5926876432579228,0.03660852504656194,0.06189565907464007,1.206689234032363,0.9544157916364912
11,48,2478.96289769651,PrototypeCMR,0.8693915232017154,0.9949143831528898,0.9887168243603346,0.0061350362774833,0.23682845746151593,0.14633992620309308,2.111326132637839,77.11541161079442,0.0005966997993651879,0.31279641794717755,0.3984413937352956,0.38408953679094915
12,48,1897.7806941034692,PrototypeCMR,0.8498218883934917,0.9858011417457397,0.8992245686771102,0.06509030487737401,0.9999999999999998,0.3106126094309487,0.14409178736657866,56.750629911063676,0.001544879428613177,0.1678289778867999,2.489691540427818,0.3587245585930585
13,48,2149.866192183492,PrototypeCMR,0.8995669185724222,0.0271292400371221,0.9935212170710065,0.005417568663002607,2.220446049250313e-16,0.25809603619590343,12.406346351249418,31.048958223578556,0.008396346009881652,0.16518632029275568,0.47020526947556995,0.9999943765041678
14,48,2746.6205794870775,PrototypeCMR,0.8901606560628081,0.06675281285570027,0.9658476458635732,0.00813681521955276,2.220446049250313e-16,0.2762970221490291,15.464329120994487,82.74759975922426,0.002672272663626945,0.1785662327561371,0.43148200780426166,0.021069896301581032
15,48,1646.6440108258223,PrototypeCMR,0.8121034092692018,0.27760040751301734,0.9652427163658643,0.053617097639492135,2.220446049250313e-16,0.3649515789443155,6.764240811739262,67.52781434203024,0.0025741094481012868,0.2733724176169557,1.7492570838083246,0.809843320769009
16,48,1956.5991759477392,PrototypeCMR,0.7745843976466006,0.3700751855779454,0.9228680600376813,0.19656883867113034,6.231612849570224e-05,0.5401994178677917,3.324963032097939,70.49906603598878,0.004323403222591114,0.24834931657559764,1.8519341769848598,0.9246171613839519
17,48,1728.9642958047205,PrototypeCMR,0.9046290448782777,0.09230502938202,0.9648093971952956,0.014365512672749148,2.220446049250313e-16,0.3943991545012617,1.6371124530189287,44.31839463643459,0.00457580808429785,0.22416873001859705,1.0941881925410735,0.9993250511470986
18,48,1699.680265244411,PrototypeCMR,0.7032435964029845,0.9548024702860847,0.9439508928248649,0.2017034265993397,0.9999999999999998,0.23504013075454194,2.7590143879495326,0.41597191243555387,0.001605804690024055,0.2862899622081321,2.814331277358051,0.29012736524812405
19,48,1710.6513231588233,PrototypeCMR,0.8520233686098593,0.9967271852386597,0.9237875238418576,0.0500206724540446,0.9999999999999998,0.48003095996999945,2.220446049250313e-16,20.60723081771426,0.004791947319191636,0.19780756718540213,1.7512853097907493,0.9749666869539451
20,48,1295.1355242316013,PrototypeCMR,0.8183810676051223,0.9001351971028769,0.8483491717002808,0.89430991935496,0.21491121630616022,0.5092397040194746,0.2717666312831116,4.669370814857887,0.015854604740665728,0.2564633677330187,5.1043684403975,0.871775576365078
21,48,2052.068147644636,PrototypeCMR,0.9045641454416655,0.8741173424630191,0.9685568962112561,0.013210472160845333,2.220446049250313e-16,0.5172594828054906,5.3254970138315665,50.290921569199284,0.004896022811770949,0.22029145887318458,0.6188841266709832,0.6049886903188405
22,48,1175.3947078870028,PrototypeCMR,0.956274676103359,0.9923369206429283,0.9909134715283378,0.0011833972106964877,2.220446049250313e-16,0.3746798764658583,4.063824685800852,19.821335295685305,0.05293695878158572,0.11935993150522514,0.3635359744377335,0.33554627877405396
23,48,1376.2418852984058,PrototypeCMR,0.9497603510291486,0.9971755145690069,0.9941719785240741,0.003889772049124311,2.220446049250313e-16,0.2038298772279779,1.2864632794499085,29.777829026186396,0.014746012518557039,0.26156351331788785,0.4242764045366144,0.4593275496405369
24,48,1446.2184979835852,PrototypeCMR,0.657373356616313,0.5875214398467091,0.9999999999999998,0.7049885932486091,0.5286821511760758,0.745312194025334,3.2017076180753423,14.594867963631199,0.024890128388325945,0.20581248358111412,2.6945429710424644,0.4918664777423807
25,48,1822.3764202609923,PrototypeCMR,0.9202230185331447,0.1959285564540734,0.9822989991736226,0.0232054171259725,2.220446049250313e-16,0.38688651474742336,12.111569827281732,0.5885548571045258,0.007640341619309133,0.20707304084885766,0.8459678305300424,2.220446049250313e-16
27,48,1085.774739344982,PrototypeCMR,0.6488196288619754,0.032318208784099765,0.8846867268750408,0.017436136370409756,0.9999999999999998,0.2963683386264054,1.9848158460818208,19.02932328062665,0.01297710794373887,0.3563399032886205,1.3981246977917068,0.9933021973734132
28,48,1087.0921928244325,PrototypeCMR,0.8174603967388604,0.08376558396374169,0.9750830605005392,0.031279875800760776,0.9999999999999998,0.5102540223328099,1.2502052999429845,17.377515026180603,0.058909144851823005,0.1273500906349784,0.8700513383706394,0.9993047488982096
29,48,1641.9577312036163,PrototypeCMR,0.7319673038543665,0.005697605669516355,0.967832622139212,0.41823355685057145,0.4244021973840047,0.5238643349388855,0.8625005708361957,54.33469018428817,0.0056987568592927595,0.20612342464447003,5.336333266273823,0.999983412328429
30,48,1244.9709087031515,PrototypeCMR,0.7104579215805491,0.0008288615556409698,0.92780723031592,0.06586817660623036,0.9999999999999998,0.11679438044879648,17.374731972129705,92.38947145834018,0.020540820958091385,0.2901605428262909,0.7906212208262366,0.9364412480625501
31,48,1380.2126221935819,PrototypeCMR,0.8993730797366882,0.012844280784864113,0.9642098240266064,0.009477599338908961,2.220446049250313e-16,0.9893662545857146,1.7582626418183214,3.5039290788131146,0.037156910905607334,0.14161384756930612,0.6584620793743383,2.220446049250313e-16
32,48,2027.9982776406575,PrototypeCMR,0.8483073349029118,0.04061171633924327,0.9233909303736355,0.055304838124892904,0.9999999999999998,0.33614701515761636,5.076332345837475,46.955676865101395,0.005361855710864762,0.17200020906298946,1.5349942971193236,0.9799844052926696
33,48,1579.2476129276702,PrototypeCMR,0.8339436732462581,0.06209894770268323,0.9355779904103659,0.016768981958367995,2.220446049250313e-16,0.2673359476417221,22.809102773244877,0.41046800634220504,0.01724121443777577,0.1859143031263802,0.56793102477054,0.9931892964571147
34,48,1727.3027693485249,PrototypeCMR,0.814278780655393,0.1253213477829732,0.9532342878127313,0.03138075622093869,0.9702772661996828,0.2902705688353565,4.9298817715615835,0.3322238162724815,0.00696995989063301,0.1602659865064877,1.4197568088309547,0.989722966029309
35,48,1913.3164213283446,PrototypeCMR,0.8906396682000006,0.061235773600271055,0.9764476469791963,0.019367706348151305,0.4136235319810174,0.4875059827284437,1.7045340924196213,35.71608537697726,0.006683816077554244,0.1897477328439687,0.9994021540991168,0.9986231405522294
36,48,1598.2785086339686,PrototypeCMR,0.9642860602723793,0.8252138849081502,0.9990726098085969,2.7149579520429546e-05,0.5514259359907782,0.5098949540229815,39.56520258843799,50.720321699849826,0.022813856715782965,0.14775570261604654,0.20111640001752837,0.9999988295677559
37,48,859.211567019415,PrototypeCMR,0.9193320710933113,0.12914150687138737,0.9984908859575902,0.0030396301963146397,2.220446049250313e-16,0.33775160756940226,100.0,43.674859366622066,0.04350485997785474,0.2663785865777931,0.5300817000823219,2.220446049250313e-16
