subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,1_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_recall_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_decay,1_stop_probability_scale,1_stop_probability_growth,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,308.75973677630736,free_primacy_scale_Semantic_CMR,0.7547539085259609,0.3889986410231752,0.7890996233842592,0.32791051635109103,0.2902864469344312,0.3631074153614283,0.15120856562002416,10.772160982496906,0.08083617118144559,0.03961937216886641,0.057534044296073894,2.8289524134043758,0.05817242761811686,0.4741696772415649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,314.33082712975624,free_primacy_scale_Semantic_CMR,0.7738691251440036,0.014284529720968053,0.6467044316675146,0.4855610609024136,0.2644959300015328,0.7305439204902388,46.34610598323026,11.260624473826368,64.09632967885595,0.0011864859042967635,0.3567481443300826,3.2083164698220163,0.12131535176071828,1.0516944066480667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,336.7541728000984,free_primacy_scale_Semantic_CMR,0.517065112760501,0.027772734081222494,0.41872196285609026,0.5507145639831073,0.3661177464583824,0.45546149042158224,7.350081446328524,7.354349974734255,87.13313688389107,0.0013802045159618803,0.43367760901743235,1.227629989529352,0.012760324870497719,2.2502825797881885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,414.6365382262231,free_primacy_scale_Semantic_CMR,0.7596690407128321,0.10311234218295962,0.7544248168729918,0.5523081371632171,0.892159295561266,0.8550326323061721,17.502211983348978,40.93005653729932,0.010004515290127358,0.00443597888017655,0.15157268469193053,2.471250530254927,0.829643394227012,4.27287137242433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,228.55178940045414,free_primacy_scale_Semantic_CMR,0.7365758408617733,0.19565651914036541,0.9994822193233561,0.8231517898185823,0.36567705950545887,0.44949914776434097,9.2507010180382,24.38888043500993,0.9292065635586724,0.001831140936257858,0.5425001092682589,3.6574990971228285,0.3841867559438249,0.1953818659144666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,275.9129773406385,free_primacy_scale_Semantic_CMR,0.6465238840644019,0.0632191503185609,0.8818759295578646,0.8032934595841427,0.7475325596993433,0.8950076665077942,26.16592864763245,4.724449154754936,0.8850464768788058,0.0036484425664385367,0.34917551552478976,2.405685645379283,0.46944017253087855,3.9264216449042944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.31315819894638,free_primacy_scale_Semantic_CMR,0.4558626322615875,0.04059064716808558,0.20696115945599114,0.4500968034729432,0.08504185536592496,0.2646609439953459,43.956339436406864,11.843886740828822,1.1279977092071434,0.12806015060126014,0.20307607465979505,3.038215105540152,0.19753376069366602,2.34189526246958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,253.8199920254304,free_primacy_scale_Semantic_CMR,0.6157113934438729,0.10470717808968905,0.8325437251739829,0.23597082291315152,0.6385924541368937,0.49149064917824564,0.4679426532365696,0.6151015269333726,38.29659848291396,0.002923157836763779,0.20957127611879223,9.724847257583539,0.737957381195319,0.6079747508653046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,230.49749982811554,free_primacy_scale_Semantic_CMR,0.7699343804176286,0.030167485695821405,0.7860417377225704,0.15571342082445414,0.33929049014940077,0.11430564552878399,5.655292596598049,5.894503444538919,75.33051748221959,0.01445850955949977,0.2517419607221094,3.6566526155625465,0.11354286166731321,1.0458530563050301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,242.85808909649688,free_primacy_scale_Semantic_CMR,0.7723235913793078,0.024334228252200035,0.5963747008389169,0.33674944240078086,0.8579534520391305,0.10409038154408957,11.811262358033044,57.77311272664499,0.15294432633523572,0.02081498370613338,0.21666662647255572,2.5389856126388666,0.0004070565251621029,4.637286865028997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
