subject,trial_count,likelihood,model,0_encoding_drift_rate,0_start_drift_rate,0_recall_drift_rate,1_recall_drift_rate,0_shared_support,0_item_support,0_learning_rate,0_primacy_scale,0_primacy_decay,0_stop_probability_scale,0_stop_probability_growth,1_stop_probability_growth,0_choice_sensitivity,0_delay_drift_rate,0_semantic_scale,1_encoding_drift_rate,1_start_drift_rate,1_shared_support,1_item_support,1_learning_rate,1_primacy_scale,1_primacy_decay,1_stop_probability_scale,1_choice_sensitivity,1_delay_drift_rate,1_semantic_scale
1,8,301.5034828725701,free_1_stop_probability_growth_Semantic_CMR,0.6766893247362733,0.06287345907657732,0.44178105298786396,0.8015407367358046,0.2986799565478063,0.6004048627293767,0.49023504221352643,2.092234665415134,0.42248608090488204,0.009773648475106145,0.4409649530092512,0.09498537554736597,6.408226670500046,0.6019040580031187,0.2574338107111416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,309.17452603148257,free_1_stop_probability_growth_Semantic_CMR,0.48822366497991365,0.8909516263590294,0.9883077866994414,0.12668366882386373,0.3148040703053062,0.5183818735671925,0.14508675865810094,0.9608636680174882,82.87518107099503,0.004291262680449215,0.39656422020820337,0.2775125072822986,2.7855461003038373,0.2639814707021292,0.7600866347789612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,335.50443097600214,free_1_stop_probability_growth_Semantic_CMR,0.5606165803409404,0.5736862203833418,0.18361375596328472,0.7571012183618738,0.07380321504049497,0.7716748309214537,0.7178985371348363,2.5880821513179058,55.47047354180252,0.0075720132533266815,0.3286223183588106,0.26896515642020447,1.891686007923279,0.7566047527067503,0.6316867573660003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,412.13093482166823,free_1_stop_probability_growth_Semantic_CMR,0.7453849614370845,0.06838763680591281,0.48343392637429294,0.6578208064286171,0.27287780044389676,0.42502451983473066,0.6957981400493155,0.8865563956183351,50.48100772383233,0.0031161439530963397,0.20582953310406626,0.1544363653509322,9.002926924391058,0.9378937116205045,0.2646318608780138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8,243.4653819171329,free_1_stop_probability_growth_Semantic_CMR,0.7867318514124902,0.17141719211593687,0.6304832946468288,0.5777137807943905,0.30583081504094467,0.6897709563996274,0.1897683835693184,72.700327714079,0.7560771822896584,0.01386223621336019,0.28641203660385983,0.2872538526546915,1.3594168348811486,0.7989107210706046,1.7860089245930446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,265.97201255394475,free_1_stop_probability_growth_Semantic_CMR,0.8284050416714387,0.0038692445758509303,0.8466598276940404,0.7895190309346521,0.6819706665383617,0.05218294130541665,0.2799477097786829,4.751193731954445,25.49114500337947,0.00226370859009098,0.47497266077832156,0.38964918254410025,6.6064117755010825,0.021343498387552153,0.25873469855501996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,107.92079735689828,free_1_stop_probability_growth_Semantic_CMR,0.4289013603394093,0.05587244090854041,0.6535376546237798,0.4608008557462911,0.06404415844674431,0.7062179189222332,0.15360431567304222,18.749141549768154,88.88793168558409,0.062065965437765054,0.4813249243676217,0.15577142901025148,1.9864065615420938,0.052278157150741314,1.0056333580733148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,250.1317752167892,free_1_stop_probability_growth_Semantic_CMR,0.6225067469476195,0.16322180337963932,0.67787759908582,0.9627144707128314,0.22483698735693436,0.7153416946396944,0.5541725686243817,0.36310700471718604,34.35436452471412,0.009900132927044225,0.1932828490134746,0.12850377785117661,9.091130370491523,0.6607021313983038,0.48675941185668137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,227.55112402046262,free_1_stop_probability_growth_Semantic_CMR,0.703315193199118,0.322463063308922,0.7980593434998526,0.9707497205938868,0.19242680710843832,0.6403509639000606,0.10262218484136018,1.1532155324906797,20.23936073850323,0.0022167668873895045,0.490464060352908,0.39210065536167876,3.910735327911461,0.08159509019472917,0.9269962375147416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8,245.44964837599392,free_1_stop_probability_growth_Semantic_CMR,0.9961341222133357,0.21721420324312046,0.1729625190002269,0.39233578382365353,0.0835284714123164,0.7848736780535749,0.687596695322666,1.6036883081285396,18.739884647842608,0.013654698400928644,0.2446654473197878,0.2280147603131928,2.3887356025822526,0.5851974230291009,6.598138532574511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8,95.92376916222874,free_1_stop_probability_growth_Semantic_CMR,0.5353297912837246,0.0025546515125604574,0.6865631917303229,0.9077280649159387,0.006168394335199778,0.2656536911266889,0.7711233305709578,0.016975584861953052,54.66582907095574,0.003719815348997957,0.5944814504690639,0.5768283757801838,9.80955543827444,0.975725394523502,1.8293135257684598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,226.9918375007998,free_1_stop_probability_growth_Semantic_CMR,0.7982260386547839,0.6934291273004579,0.6701967220288348,0.9002814618854489,0.4871431710818235,0.9798175668368567,0.24229274932441802,1.087665317148769,46.041699082876384,0.013597420452658826,0.47901869773099914,0.20763800745339367,3.095355031336121,0.049063393872939065,1.9718067734012115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
