subject,list,item,input,output,study,recall,repeat,intrusion,first_input,prior_list,prior_input,list_length
63,1,57,58,,True,False,0,False,58,,,60
63,1,58,59,,True,False,0,False,59,,,60
63,1,59,60,,True,False,0,False,60,,,60
63,2,0,1,11.0,True,True,0,False,1,,,60
63,2,1,2,,True,False,0,False,2,,,60
63,2,2,3,,True,False,0,False,3,,,60
63,2,3,4,,True,False,0,False,4,,,60
63,2,4,5,3.0,True,True,0,False,5,,,60
63,2,5,6,,True,False,0,False,6,,,60
63,2,6,7,,True,False,0,False,7,,,60
63,2,7,8,,True,False,0,False,8,,,60
63,2,8,9,,True,False,0,False,9,,,60
63,2,9,10,,True,False,0,False,10,,,60
63,2,10,11,,True,False,0,False,11,,,60
63,2,11,12,,True,False,0,False,12,,,60
63,2,12,13,,True,False,0,False,13,,,60
63,2,13,14,,True,False,0,False,14,,,60
63,2,14,15,,True,False,0,False,15,,,60
63,2,15,16,,True,False,0,False,16,,,60
63,2,16,17,,True,False,0,False,17,,,60
63,2,17,18,,True,False,0,False,18,,,60
63,2,18,19,,True,False,0,False,19,,,60
63,2,19,20,,True,False,0,False,20,,,60
63,2,20,21,4.0,True,True,0,False,21,,,60
63,2,21,22,2.0,True,True,0,False,22,,,60
63,2,22,23,12.0,True,True,0,False,23,,,60
63,2,23,24,,True,False,0,False,24,,,60
63,2,24,25,,True,False,0,False,25,,,60
63,2,25,26,9.0,True,True,0,False,26,,,60
63,2,26,27,,True,False,0,False,27,,,60
63,2,27,28,,True,False,0,False,28,,,60
63,2,28,29,,True,False,0,False,29,,,60
63,2,29,30,,True,False,0,False,30,,,60
63,2,30,31,,True,False,0,False,31,,,60
63,2,31,32,,True,False,0,False,32,,,60
63,2,32,33,,True,False,0,False,33,,,60
63,2,33,34,,True,False,0,False,34,,,60
63,2,34,35,,True,False,0,False,35,,,60
63,2,35,36,,True,False,0,False,36,,,60
63,2,36,37,,True,False,0,False,37,,,60
63,2,37,38,,True,False,0,False,38,,,60
63,2,38,39,,True,False,0,False,39,,,60
63,2,39,40,,True,False,0,False,40,,,60
63,2,40,41,,True,False,0,False,41,,,60
63,2,41,42,,True,False,0,False,42,,,60
63,2,42,43,10.0,True,True,0,False,43,,,60
63,2,43,44,,True,False,0,False,44,,,60
63,2,44,45,5.0,True,True,0,False,45,,,60
63,2,45,46,,True,False,0,False,46,,,60
63,2,46,47,,True,False,0,False,47,,,60
63,2,47,48,,True,False,0,False,48,,,60
63,2,48,49,6.0,True,True,0,False,49,,,60
63,2,49,50,,True,False,0,False,50,,,60
63,2,50,51,8.0,True,True,0,False,51,,,60
63,2,51,52,,True,False,0,False,52,,,60
63,2,52,53,,True,False,0,False,53,,,60
63,2,53,54,,True,False,0,False,54,,,60
63,2,54,55,,True,False,0,False,55,,,60
63,2,55,56,7.0,True,True,0,False,56,,,60
63,2,56,57,1.0,True,True,0,False,57,,,60
63,2,57,58,,True,False,0,False,58,,,60
63,2,58,59,,True,False,0,False,59,,,60
