subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,sampling_rule,mfc_familiarity_scale,mcf_familiarity_scale,drift_familiarity_scale,context_sensitivity,feature_sensitivity
191,84,1903.126674129073,InstanceCMR,0.8804153613028234,2.220446049250313e-16,0.7849519819643271,0.07324351798857276,0.866535151280184,0.672359695172356,0.44583218768527183,8.849502261702433,0.005203927817817497,0.34660774242159026,7.066197184729225,0.10429621618625971,,0,0,0,1,1
192,84,1772.8910304783694,InstanceCMR,0.9310762176460659,0.02246873542588537,0.7968143453306562,0.008318456006259745,0.9999999999999998,0.33941789908106856,1.5591180035134133,83.85436268373306,0.011249431010196258,0.3148020681429576,1.1977551970726048,2.220446049250313e-16,,0,0,0,1,1
193,84,2370.2866172121367,InstanceCMR,0.9999999999999998,0.14920402547709344,0.8937154815499879,2.220446049250313e-16,0.28284633187437036,0.10638698725311811,72.1847753486109,64.47983291961341,0.00012836904830432582,0.5874554450255813,0.07737406145972212,0.7134877042456931,,0,0,0,1,1
194,84,1672.9677595056555,InstanceCMR,0.7540448276327819,0.0019760137001690833,0.3918165817998783,0.0046139817199493845,0.5985363849373783,0.0026315411984513828,9.850293615342053,36.80281506753059,0.0026695742584050153,0.588387988052358,1.081989398573939,0.9968557033701834,,0,0,0,1,1
195,84,2218.608897335038,InstanceCMR,0.9999990121520228,0.08221476946950768,0.7821431298951601,6.786009425885931e-09,0.9077550530756331,0.7479866502402669,1.7016632605333768,3.331080633434075,0.010450456793056189,0.3081693841283716,0.13635658870837197,0.7337745924232715,,0,0,0,1,1
196,84,1793.6045286058793,InstanceCMR,0.8126936937747828,0.7309380156201769,0.9943712319228951,8.987396103695841e-05,0.006050034407152611,0.013411006093168656,1.0382012266220642,78.04984046764915,0.008111421261353852,0.33351319219152836,1.360328123908362,0.17554927632432865,,0,0,0,1,1
197,84,2038.9510787230013,InstanceCMR,0.9709062041930839,2.220446049250313e-16,0.9277656090458537,0.000568512705341525,0.8948316996967641,0.15432470205719787,16.102214398075702,87.7954435441926,0.001647511771077675,0.4340291874931596,0.5607794559164195,2.220446049250313e-16,,0,0,0,1,1
198,84,2208.3442005417537,InstanceCMR,0.8605709077014071,2.220446049250313e-16,0.7473366712484988,0.010519600788347199,0.6299222020215768,0.32648945521971096,2.796825477563607,0.8863059945301776,0.000424647660522788,0.5207564120889807,1.6160961585537559,0.5010410925349342,,0,0,0,1,1
199,84,1717.922780511173,InstanceCMR,0.9305883757730143,0.48280055710968256,0.9655914004429423,0.00012028946838680258,0.008278746036046463,0.007491293604164482,0.9813077993946784,43.99996953203935,0.017174775567116874,0.2663711067292344,1.3019594145640239,0.763228241843979,,0,0,0,1,1
200,84,1760.9114454033195,InstanceCMR,0.8980172660731114,2.220446049250313e-16,0.8376361331951324,0.024352309559731874,0.9999999999999998,0.35302102240352495,2.3643995362438726,0.9594864522879085,0.0034725013594761804,0.4185889688263313,2.419501426346215,0.06707033020208984,,0,0,0,1,1
201,84,1446.8395837103521,InstanceCMR,0.9155291823835056,2.220446049250313e-16,0.8059539987110819,0.025245996933194435,0.9999999999999998,0.37712822083713354,1.2423297735872052,66.85824329228872,0.021367520766865752,0.30110914548880874,2.3619171193563715,9.827596757441754e-08,,0,0,0,1,1
202,84,1835.7859573612263,InstanceCMR,0.8951456848958063,2.220446049250313e-16,0.9987042434266333,2.3571934892549e-06,0.08719938239990203,0.006038603371236205,54.29380872725915,18.513488520073988,0.0071979607438492025,0.3441509378089457,0.4069368167530055,0.03258597590664677,,0,0,0,1,1
207,84,1640.1825518649196,InstanceCMR,0.9461237657318994,2.220446049250313e-16,0.8835862271245151,0.042925681132688645,0.9999852746963184,0.41189082038811764,0.680448596593283,0.7099514848772428,0.015693003868505886,0.28787286873289597,3.38793099191619,0.026219518362763757,,0,0,0,1,1
209,84,1372.893334544322,InstanceCMR,0.9328504282365518,2.220446049250313e-16,0.8510092594498846,0.05190705445027698,0.9999999999999998,0.3961106639655374,0.8074094111508131,18.295067781094524,0.021720126080088883,0.3094604325679822,4.726050863042331,6.153301622818082e-09,,0,0,0,1,1
210,84,1675.4645115994906,InstanceCMR,0.9999652138401809,0.30712749784931254,0.8152242100981147,5.414999861430856e-05,0.5456357127861389,0.5962061218038047,34.407170798403506,31.959640971867394,0.0031702974928088943,0.5173210841475734,0.4818137500909865,0.2736408813394809,,0,0,0,1,1
211,84,1374.9050961903865,InstanceCMR,0.9217445153395375,0.01605354984232769,0.8135802042646456,0.008355601627555088,0.3638731847155753,0.21893718462099795,1.1979401655166846,1.369179927618223,0.0007003482303520139,0.4029867228850382,3.9749888491646184,0.9999577252295893,,0,0,0,1,1
212,84,1582.7804596439535,InstanceCMR,0.786722298696191,2.220446049250313e-16,0.9487211780475424,0.004858810285628591,0.7983234131984178,0.057679267465102595,3.9344970602926472,60.58868445313222,0.014732621129690548,0.34156959170467144,1.1503999030937109,0.9999999999999998,,0,0,0,1,1
215,84,1669.3601069150068,InstanceCMR,0.8383878342289112,2.220446049250313e-16,0.6306126833693397,0.011143238266416056,0.9999999999999998,0.12110704895032336,3.590145082486868,82.39215983788976,0.007138249870107857,0.4440000028270623,1.2431399490357733,0.9484988705542189,,0,0,0,1,1
227,84,1739.0684255521473,InstanceCMR,0.9458564188286844,0.031695048675694636,0.9659454575809903,4.266957335130483e-05,0.006792440342594197,0.005282395851357709,3.530231821358243,84.74031871163515,0.012421758163190485,0.28370365903526895,1.005530391206975,0.9970508885416598,,0,0,0,1,1
228,84,1503.2074789277074,InstanceCMR,0.8038112704866823,0.6600419198474737,0.925671349818215,0.00017296779949766154,0.002742592356605196,0.001266227833763663,0.7448043762766416,0.8573581153916051,0.003912007726758561,0.5359602759653722,3.377867483846803,0.8842937097893013,,0,0,0,1,1
229,84,1883.4636362723743,InstanceCMR,0.9709902069000472,0.0011689449085757406,0.9902689806293844,0.0001957554504446702,0.9886118101976028,0.054322035158920895,23.620739160540477,26.183856470704004,0.0058413129206451786,0.37787800049931614,0.40553318656111603,0.5911504692673217,,0,0,0,1,1
