subject,trial_count,likelihood,model,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity,delay_drift_rate,sampling_rule,mfc_familiarity_scale,mcf_familiarity_scale,drift_familiarity_scale,context_sensitivity,feature_sensitivity
63,28,699.197475078036,PrototypeCMR,0.871549041522815,0.5899744285937741,0.8140235938112591,0.9006185607471195,0.1242320556533758,0.744301508274078,0.28946153175029343,42.88626684159881,0.00328169693430913,0.38129290037760644,9.461905740017453,0.018383509172376297,0,0,0,0,,
64,28,509.92678108824725,PrototypeCMR,0.6776427732259573,2.220446049250313e-16,0.9999999999999998,0.2200801285580006,2.220446049250313e-16,0.6673372706395716,1.0982853398880972,46.06953313549139,0.0026477539774175407,0.28437829898198047,6.083764926590838,0.7047537090933879,0,0,0,0,,
65,28,506.9880728457299,PrototypeCMR,0.8555261726182456,0.17587653836788095,0.7005366351447924,0.3028071462436997,0.9999999999999998,0.43076479537975865,2.2270301568898407,3.0928297449065347,0.005149675939895055,0.4052936901854514,5.033090603460273,0.22380030897081457,0,0,0,0,,
66,28,620.8528326440606,PrototypeCMR,0.7656951698008753,0.22802594051465472,0.8856750668908125,0.6384523218212947,2.220446049250313e-16,0.42541391172768217,1.8631138191182506,0.5823312979826629,0.0007234604731786495,0.47060960989089273,7.812209492218155,0.6974467501840409,0,0,0,0,,
67,28,632.5491264988132,PrototypeCMR,0.7526376473851122,2.220446049250313e-16,0.9161342275369151,0.5197825945249864,0.572634490065809,0.5828225928489628,1.717022880664829,44.738607013594795,0.0006387524574892841,0.47562404786905627,7.486357235614832,0.0645845504582166,0,0,0,0,,
69,28,637.7958398731724,PrototypeCMR,0.9065648688611653,0.006078727984725576,0.9314042176807278,0.040903536369564945,0.9999999999999998,0.19053215136371113,27.868674225293194,32.04089248070452,0.005149822743066377,0.33505405587820897,1.1937725170510787,2.220446049250313e-16,0,0,0,0,,
70,28,508.3408476207135,PrototypeCMR,0.9336400056419225,0.14295380030388055,0.8922502288460377,0.45880438185126476,2.220446049250313e-16,0.9999999999999998,0.5873248755348301,42.38639589444934,0.01073067860947956,0.36072153778600946,7.776049596017432,1.9110252294322368e-08,0,0,0,0,,
73,28,655.2191108633915,PrototypeCMR,0.815797303305241,0.45012564968070057,0.8996392648205321,0.6428719011017157,0.9181574088824624,0.5606612433293755,1.643573073747911,26.857819485643585,0.006546769122503662,0.31266753692120985,6.20413823318004,0.6073716202768666,0,0,0,0,,
74,28,595.509144713976,PrototypeCMR,0.8461151727437624,2.220446049250313e-16,0.7404984650449252,0.45752804845853134,0.047158851312458075,0.5483729231126885,2.4236057535416533,1.8524084110856074,0.0002980371598330757,0.4960445451515965,9.821255134482094,0.9999999999999998,0,0,0,0,,
75,28,434.2478049298883,PrototypeCMR,0.7769104414054259,0.08397526844883146,0.7322994212735627,0.3373767045169685,0.9962681915469461,0.16642634131368658,4.367193285662555,22.81570687991343,0.010390607350671951,0.4377705479856459,5.17421911929448,0.21722641898967304,0,0,0,0,,
76,28,645.1001027462481,PrototypeCMR,0.7663376335494333,0.004417568246723413,0.785175160097805,0.2897554212685862,0.04778972645519037,0.672345626868534,0.4993861364497152,54.374699738580425,0.0002775841009471236,0.46334727517820995,5.9978727279850625,0.9999767921061137,0,0,0,0,,
77,28,642.705966679441,PrototypeCMR,0.8054224145230264,0.017750876954207108,0.8879756532227012,0.40838432985278333,0.6248106950430434,0.4283030513803997,1.6193297014361652,84.87049820689185,0.0009551268414181585,0.463577693867384,5.467298086599097,0.39777327351838493,0,0,0,0,,
79,28,544.3758218521712,PrototypeCMR,0.8574470622729098,2.220446049250313e-16,0.8962229650714358,0.30760257249430323,2.220446049250313e-16,0.844149025433285,1.0416901923025632,0.6491599658243616,0.0022052636072625404,0.3572546653920979,6.448806242892516,2.220446049250313e-16,0,0,0,0,,
